Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.34	Class2
同德路	08:04:50	08:05:20	215.34	Class2
石碶	08:07:04	08:07:34	215.34	Class2
雅渡	08:08:54	08:09:24	216.24	Class2
庙堰	08:11:43	08:12:13	215.24	Class4
钟公庙	08:13:49	08:14:19	215.54	Class3
鄞州区政府	08:15:45	08:16:15	215.54	Class2
钱湖南路	08:18:23	08:18:53	222.1	Class2
南高教园区	08:20:29	08:20:59	218.52	Class2
下应路	08:22:49	08:23:19	222.9	Class2
大洋江	08:25:05	08:25:35	215.54	Class3
泗港	08:27:02	08:27:32	221.3	Class2
曹隘	08:29:42	08:30:12	220.22	Class3
柳隘	08:32:00	08:32:30	220.7	Class3
海晏北路	08:34:02	08:34:32	217.04	Class3
民安东路	08:35:55	08:36:25	228.5	Class2
会展中心	08:37:44	08:38:14	216.14	Class3
院士路	08:40:09	08:40:39	217.94	Class3
盎孟港	08:42:10	08:42:40	228.0	Class3
三官堂	08:44:52	08:45:22	215.44	Class2
兴庄路	08:47:01	08:47:31	222.6	Class2
兴海南路	08:48:58	08:49:28	215.34	Class2
梅堰	08:50:50	08:51:20	217.42	Class3
永茂路	08:56:18	08:56:48	215.64	Class2
镇海大道	08:59:09	08:59:39	215.44	Class2
骆驼桥	09:01:35	09:01:35	216.32	Class2
