Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:02:01	08:02:31	215.34	Class4
同德路	08:05:02	08:05:32	215.44	Class3
石碶	08:07:16	08:07:46	215.44	Class2
雅渡	08:09:08	08:09:38	215.34	Class3
庙堰	08:11:47	08:12:17	216.34	Class2
钟公庙	08:13:50	08:14:20	225.9	Class2
鄞州区政府	08:15:46	08:16:16	215.64	Class2
钱湖南路	08:18:35	08:19:05	228.0	Class4
南高教园区	08:20:45	08:21:15	217.52	Class3
下应路	08:23:09	08:23:39	215.54	Class3
大洋江	08:25:30	08:26:00	216.24	Class4
泗港	08:27:27	08:27:57	216.44	Class2
曹隘	08:30:07	08:30:37	216.34	Class3
柳隘	08:32:23	08:32:53	243.1	Class2
海晏北路	08:34:20	08:34:50	215.84	Class2
民安东路	08:36:15	08:36:45	234.8	Class3
会展中心	08:38:04	08:38:34	221.5	Class3
院士路	08:40:26	08:40:56	220.8	Class2
盎孟港	08:42:32	08:43:02	216.54	Class4
三官堂	08:45:14	08:45:44	218.4	Class2
兴庄路	08:47:23	08:47:53	215.74	Class2
兴海南路	08:49:24	08:49:54	215.64	Class3
梅堰	08:51:12	08:51:42	216.34	Class2
永茂路	08:56:40	08:57:10	215.54	Class2
镇海大道	08:59:31	09:00:01	215.24	Class2
骆驼桥	09:01:57	09:01:57	215.74	Class2
