Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:55	08:02:25	215.24	Class3
同德路	08:04:56	08:05:26	215.82	Class3
石碶	08:07:20	08:07:50	215.34	Class4
雅渡	08:09:10	08:09:40	215.34	Class2
庙堰	08:11:52	08:12:22	215.94	Class3
钟公庙	08:13:55	08:14:25	215.24	Class2
鄞州区政府	08:15:51	08:16:21	215.34	Class2
钱湖南路	08:18:33	08:19:03	215.64	Class3
南高教园区	08:20:43	08:21:13	216.44	Class3
下应路	08:23:03	08:23:33	216.72	Class2
大洋江	08:25:14	08:25:44	216.82	Class2
泗港	08:27:11	08:27:41	216.04	Class2
曹隘	08:29:51	08:30:21	215.24	Class3
柳隘	08:32:14	08:32:44	216.94	Class4
海晏北路	08:34:11	08:34:41	215.64	Class2
民安东路	08:36:04	08:36:34	223.5	Class2
会展中心	08:37:50	08:38:20	216.94	Class2
院士路	08:40:12	08:40:42	217.44	Class2
盎孟港	08:42:10	08:42:40	219.4	Class2
三官堂	08:44:59	08:45:29	218.84	Class3
兴庄路	08:47:08	08:47:38	215.24	Class2
兴海南路	08:49:14	08:49:44	215.64	Class4
梅堰	08:51:06	08:51:36	217.42	Class3
永茂路	08:56:34	08:57:04	215.84	Class2
镇海大道	08:59:25	08:59:55	217.02	Class2
骆驼桥	09:01:51	09:01:51	215.34	Class2
