Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:02:01	08:02:31	215.34	Class4
同德路	08:04:59	08:05:29	215.82	Class2
石碶	08:07:18	08:07:48	216.42	Class3
雅渡	08:09:08	08:09:38	215.94	Class2
庙堰	08:11:47	08:12:17	215.24	Class2
钟公庙	08:13:50	08:14:20	215.24	Class2
鄞州区政府	08:15:50	08:16:20	219.62	Class3
钱湖南路	08:18:28	08:18:58	215.64	Class2
南高教园区	08:20:34	08:21:04	222.5	Class2
下应路	08:22:58	08:23:28	224.8	Class3
大洋江	08:25:09	08:25:39	216.04	Class2
泗港	08:27:11	08:27:41	215.44	Class3
曹隘	08:29:49	08:30:19	216.32	Class2
柳隘	08:32:07	08:32:37	216.74	Class3
海晏北路	08:34:09	08:34:39	216.82	Class3
民安东路	08:36:04	08:36:34	217.82	Class3
会展中心	08:37:50	08:38:20	216.12	Class2
院士路	08:40:12	08:40:42	219.02	Class2
盎孟港	08:42:18	08:42:48	217.32	Class4
三官堂	08:45:00	08:45:30	216.42	Class2
兴庄路	08:47:09	08:47:39	222.6	Class2
兴海南路	08:49:06	08:49:36	218.04	Class2
梅堰	08:50:54	08:51:24	215.44	Class2
永茂路	08:56:22	08:56:52	216.84	Class2
镇海大道	08:59:20	08:59:50	217.02	Class3
骆驼桥	09:01:46	09:01:46	215.24	Class2
