Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:04:50	08:05:20	215.34	Class2
石碶	08:07:04	08:07:34	215.34	Class2
雅渡	08:09:00	08:09:30	217.04	Class4
庙堰	08:11:42	08:12:12	216.34	Class3
钟公庙	08:13:53	08:14:23	227.8	Class4
鄞州区政府	08:15:53	08:16:23	215.94	Class3
钱湖南路	08:18:31	08:19:01	217.22	Class2
南高教园区	08:20:41	08:21:11	217.52	Class3
下应路	08:23:05	08:23:35	215.84	Class3
大洋江	08:25:21	08:25:51	215.54	Class3
泗港	08:27:23	08:27:53	238.5	Class3
曹隘	08:30:03	08:30:33	220.1	Class3
柳隘	08:32:19	08:32:49	215.72	Class2
海晏北路	08:34:16	08:34:46	217.04	Class2
民安东路	08:36:11	08:36:41	215.24	Class3
会展中心	08:37:57	08:38:27	220.12	Class2
院士路	08:40:22	08:40:52	217.42	Class3
盎孟港	08:42:23	08:42:53	215.54	Class3
三官堂	08:45:05	08:45:35	215.54	Class2
兴庄路	08:47:14	08:47:44	217.44	Class2
兴海南路	08:49:20	08:49:50	215.64	Class4
梅堰	08:51:08	08:51:38	215.54	Class2
永茂路	08:56:36	08:57:06	216.84	Class2
镇海大道	08:59:27	08:59:57	215.74	Class2
骆驼桥	09:01:53	09:01:53	215.84	Class2
