Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:55	08:02:25	215.24	Class3
同德路	08:04:56	08:05:26	215.44	Class3
石碶	08:07:20	08:07:50	215.34	Class4
雅渡	08:09:12	08:09:42	215.74	Class3
庙堰	08:12:01	08:12:31	224.3	Class4
钟公庙	08:14:04	08:14:34	216.14	Class2
鄞州区政府	08:16:00	08:16:30	215.84	Class2
钱湖南路	08:18:49	08:19:19	215.64	Class4
南高教园区	08:20:55	08:21:25	218.52	Class2
下应路	08:23:15	08:23:45	218.22	Class2
大洋江	08:25:31	08:26:01	218.82	Class3
泗港	08:27:28	08:27:58	216.74	Class2
曹隘	08:30:15	08:30:45	216.44	Class4
柳隘	08:32:38	08:33:08	216.74	Class4
海晏北路	08:34:35	08:35:05	216.14	Class2
民安东路	08:36:30	08:37:00	224.2	Class3
会展中心	08:38:16	08:38:46	216.44	Class2
院士路	08:40:41	08:41:11	217.14	Class3
盎孟港	08:42:42	08:43:12	215.74	Class3
三官堂	08:45:24	08:45:54	215.54	Class2
兴庄路	08:47:43	08:48:13	216.04	Class4
兴海南路	08:49:40	08:50:10	215.24	Class2
梅堰	08:51:28	08:51:58	216.34	Class2
永茂路	08:56:56	08:57:26	215.54	Class2
镇海大道	08:59:47	09:00:17	215.54	Class2
骆驼桥	09:02:13	09:02:13	215.64	Class2
