站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,117.6,117.6,30.0,147.6,1429.22,1428.0,43.75,65.22,43.73,2353,63.92,1081,64.18,64.99,14333.06,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,151.1,151.1,30.0,181.1,2020.88,2017.0,48.15,65.0,48.13,3023,63.5,1764,64.11,64.64,18086.0,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,108.9,108.9,30.0,138.9,1330.7,1332.0,43.99,69.18,43.97,2179,67.91,833,68.37,68.98,12929.93,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,84.25,84.25,30.0,114.25,828.14,827.0,35.39,69.8,35.37,1686,67.65,154,67.62,69.66,12988.47,216.04,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,131.6,131.6,30.0,161.6,1860.44,1860.0,50.89,76.48,50.87,2633,75.04,1166,75.42,76.14,21711.13,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,96.6,96.6,30.0,126.6,1087.38,1086.0,40.52,69.94,40.5,1933,67.98,579,68.27,69.82,13910.2,216.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,90.2,90.2,30.0,120.2,985.66,984.0,39.34,75.97,39.32,1805,73.29,141,72.39,75.67,13142.37,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,133.05,133.05,30.0,163.05,1812.0,1811.0,49.03,70.4,49.01,2662,69.79,1292,70.16,70.29,17600.85,217.52,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,100.35,100.35,30.0,130.35,1168.96,1155.0,41.94,69.17,41.91,2008,68.56,655,69.02,69.14,14102.31,217.62,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,115.25,115.25,30.0,145.25,1453.1,1452.0,45.39,69.83,45.37,2306,68.97,928,69.4,69.65,18884.68,217.52,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,105.25,105.25,30.0,135.25,1213.87,1214.0,41.52,63.71,41.5,2106,63.2,824,63.54,63.59,11971.68,217.62,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,91.95,91.95,30.0,121.95,958.37,957.0,37.52,61.24,37.5,1840,59.48,632,60.0,60.98,11526.18,217.72,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,135.25,135.25,30.0,165.25,1799.99,1798.0,47.91,77.31,47.89,2706,76.44,932,77.11,77.16,22726.56,218.3,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,106.7,106.7,30.0,136.7,1307.63,1307.0,44.12,75.62,44.1,2135,73.31,463,74.31,75.32,21057.54,218.2,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,89.15,89.15,30.0,119.15,980.98,980.0,39.61,75.54,39.59,1784,72.77,358,73.11,75.39,14561.17,218.6,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,84.25,84.25,30.0,114.25,865.7,865.0,36.99,72.8,36.97,1686,70.92,221,72.2,72.71,15571.59,218.72,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,76.8,76.8,30.0,106.8,725.69,724.0,34.02,67.94,33.99,1537,66.3,196,67.5,67.86,12388.12,218.6,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,115.9,115.9,30.0,145.9,1552.47,1562.0,48.22,77.09,48.2,2319,76.51,835,77.01,77.04,14954.47,218.5,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
院士路-盎孟港,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,90.55,90.55,30.0,120.55,995.46,994.0,39.58,77.05,39.55,1812,75.07,245,76.58,77.01,19042.8,217.6,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx
盎孟港-三官堂,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,137.15,137.15,30.0,167.15,1878.23,1877.0,49.3,69.68,49.28,2744,69.17,1386,69.45,69.55,18204.75,216.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx
三官堂-兴庄路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,101.8,101.8,30.0,131.8,1080.17,1081.0,38.2,56.21,38.18,2037,55.57,884,55.98,56.16,10924.99,216.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx
兴庄路-兴海南路,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,91.6,91.6,30.0,121.6,959.82,958.0,37.72,63.56,37.7,1833,60.88,585,61.0,63.27,12208.11,216.04,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx
兴海南路-梅堰,39,38,07/0670638,70638,5014,UP,双休日平峰,0.0,82.3,82.3,30.0,112.3,833.79,833.0,36.47,72.48,36.45,1647,71.21,267,72.02,72.41,12749.67,215.94,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx
