站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,25.0,117.45,12947.63,13422.51,13477.15,历史原始实测能耗,474.88,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class4,159.0,25.0,151.75,16531.83,17522.3,17482.78,历史原始实测能耗,990.47,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,25.0,112.05,13125.73,13071.5,12809.41,历史原始实测能耗,-54.23,real,class3,class3,60,60,strong,energy_first,215.34
石碶-雅渡,class2,80.0,25.0,81.85,11046.12,13041.46,12955.87,历史原始实测能耗,1995.34,real,class2,class2,38,38,strong,energy_first,215.34
雅渡-庙堰,class4,139.0,25.0,131.4,18155.36,21037.35,20027.64,历史原始实测能耗,2881.99,real,class4,class4,10,10,strong,energy_first,215.34
庙堰-钟公庙,class4,101.0,25.0,95.75,10856.06,13754.66,13658.81,历史原始实测能耗,2898.6,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.54
钟公庙-鄞州区政府,class4,95.0,25.0,90.3,7979.13,10268.27,10141.05,历史原始实测能耗,2289.14,real,class4,class4,1,1,weak,energy_first,215.64
鄞州区政府-钱湖南路,class4,139.0,25.0,132.5,15251.4,17377.92,16864.37,历史原始实测能耗,2126.52,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,215.74
钱湖南路-南高教园区,class4,105.0,25.0,100.55,11805.48,13706.01,13386.84,历史原始实测能耗,1900.53,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.84
南高教园区-下应路,class4,120.0,25.0,113.3,16654.79,18303.06,17964.08,历史原始实测能耗,1648.27,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,216.24
下应路-大洋江,class3,106.0,25.0,106.95,11307.4,11924.55,11620.09,历史原始实测能耗,617.15,real,class3,class3,65,65,strong,energy_first,216.24
大洋江-泗港,class4,96.0,25.0,91.2,9563.59,11631.5,11372.44,历史原始实测能耗,2067.91,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.14
泗港-曹隘,class4,137.0,25.0,135.05,22963.08,23419.64,23235.89,历史原始实测能耗,456.56,real,class4,class4,82,82,strong,energy_first,215.94
曹隘-柳隘,class4,113.0,25.0,106.15,15966.43,20883.83,20729.08,历史原始实测能耗,4917.4,real,class4,class4,1,1,weak,energy_first,215.84
柳隘-海晏北路,class4,96.0,25.0,91.65,10271.9,12154.23,12171.46,历史原始实测能耗,1882.33,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,215.84
海晏北路-民安东路,class4,89.0,25.0,83.95,12400.94,15644.04,15403.19,历史原始实测能耗,3243.1,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,216.94
民安东路-会展中心,class4,83.0,25.0,76.6,6921.21,12320.41,12249.25,历史原始实测能耗,5399.2,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,216.94
会展中心-院士路,class4,121.0,25.0,114.4,13348.19,14944.44,14761.59,历史原始实测能耗,1596.25,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,216.84
院士路-盎孟港,class4,96.0,25.0,90.8,14014.45,19846.03,19714.68,历史原始实测能耗,5831.58,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.04
盎孟港-三官堂,class4,146.0,25.0,137.5,16364.23,16758.3,16383.7,历史原始实测能耗,394.07,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,215.84
三官堂-兴庄路,class4,109.0,25.0,103.75,9943.92,10404.0,10283.95,历史原始实测能耗,460.08,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,215.64
兴庄路-兴海南路,class4,96.0,25.0,92.2,9478.56,11002.42,10881.38,历史原始实测能耗,1523.86,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.54
兴海南路-梅堰,class4,86.0,25.0,80.85,9561.25,12168.13,12156.45,历史原始实测能耗,2606.88,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.34
梅堰-永茂路,class4,329.0,25.0,328.35,26636.43,26160.33,26432.6,历史原始实测能耗,-476.1,real,class4,class4,26,26,strong,energy_first,216.14
永茂路-镇海大道,class4,156.0,25.0,141.6,15542.69,17812.63,17501.31,历史原始实测能耗,2269.94,real,class4,class4,1,1,weak,energy_first,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.9,17268.28,20304.84,19930.85,历史原始实测能耗,3036.56,real,class4,class4,1,1,weak,energy_first,215.24
--- 总计 ---,节能率: 12.96%,3149.0,625.0,3774.8,355906.08,408884.36,403595.91,历史原始实测能耗,52978.28,,,,,,,energy_first,
