trip_no,comparison,section_index,站间区间,区间载重(t),载重来源,全局趟次ID,历史segment,历史来源run_id,归一化区间里程(km),载重里程(t·km),规划OT区间里程(km),历史OT区间里程(km),规划OT区间机械能(kWh),历史OT区间机械能(kWh),规划单位能耗[kWh/(t·km)],历史单位能耗[kWh/(t·km)],区间节能率(%)
15,standard_dp,1,布政-张家潭,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,766.0,1.42837,307.442359,1.428,1.428,13.42766667,12.63680556,0.0436753957,0.0411030074,-6.258394
15,standard_dp,2,张家潭-同德路,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,767.0,2.02095,434.989278,2.017,2.017,16.87230556,16.31586111,0.0387878654,0.0375086512,-3.410451
15,standard_dp,3,同德路-石碶,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,768.0,1.33091,286.465068,1.331,1.331,12.97044444,12.10202778,0.0452775779,0.0422460855,-7.175795
15,standard_dp,4,石碶-雅渡,215.44,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,769.0,0.82726,178.224894,0.827,0.827,10.29733333,9.52836111,0.0577771886,0.0534625712,-8.070351
15,standard_dp,5,雅渡-庙堰,215.44,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,770.0,1.86075,400.87998,1.86,1.86,20.79183333,20.45211111,0.0518654819,0.0510180406,-1.661062
15,standard_dp,6,庙堰-钟公庙,215.64,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,771.0,1.08754,234.517126,1.086,1.086,12.76969444,12.91616667,0.0544510104,0.0550755798,1.134022
15,standard_dp,7,钟公庙-鄞州区政府,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,772.0,0.98433,212.162488,0.984,0.984,8.39388889,9.68722222,0.0395634919,0.0456594486,13.35092
15,standard_dp,8,鄞州区政府-钱湖南路,215.84,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,773.0,1.81216,391.136614,1.811,1.811,17.15511111,16.14955556,0.04385964,0.0412887849,-6.226522
15,standard_dp,9,钱湖南路-南高教园区,215.94,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,774.0,1.1694,252.520236,1.155,1.155,13.68219444,13.54591667,0.0541825664,0.0536428956,-1.006043
15,standard_dp,10,南高教园区-下应路,215.94,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,775.0,1.45208,313.562155,1.452,1.452,17.36269444,17.12533333,0.0553724171,0.0546154345,-1.386023
15,standard_dp,11,下应路-大洋江,215.84,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,776.0,1.21365,261.954216,1.214,1.214,11.08675,11.02569444,0.0423232356,0.0420901584,-0.553757
15,standard_dp,12,大洋江-泗港,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,777.0,0.95843,206.580002,0.958,0.958,10.92069444,10.88033333,0.0528642382,0.0526688606,-0.370955
15,standard_dp,13,泗港-曹隘,215.64,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,778.0,1.79927,387.994583,1.798,1.798,22.47936111,23.39502778,0.0579373066,0.0602973052,3.913937
15,standard_dp,14,曹隘-柳隘,215.34,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,779.0,1.3083,281.729322,1.308,1.308,16.18266667,20.53502778,0.0574404771,0.0728892102,21.194815
15,standard_dp,15,柳隘-海晏北路,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,780.0,0.98102,211.154745,0.98,0.98,11.47002778,11.38777778,0.0543204832,0.0539309585,-0.722266
15,standard_dp,16,海晏北路-民安东路,216.12,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,781.0,0.8649,186.922188,0.866,0.866,13.46152778,14.91152778,0.0720167462,0.0797739848,9.72402
15,standard_dp,17,民安东路-会展中心,216.52,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,782.0,0.72548,157.08093,0.724,0.724,9.67277778,11.84305556,0.0615783075,0.0753946108,18.32532
15,standard_dp,18,会展中心-院士路,216.42,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,783.0,1.55211,335.907646,1.5619,1.562,14.684,14.70041667,0.0437143964,0.043763269,0.111675
15,standard_dp,19,院士路-盎孟港,216.02,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,784.0,0.99433,214.795167,0.9941,0.994,16.55433333,17.01191667,0.0770703252,0.0792006493,2.689781
15,standard_dp,20,盎孟港-三官堂,215.84,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,785.0,1.87801,405.349678,1.876,1.876,15.50583333,15.27652778,0.0382529805,0.0376872823,-1.501032
15,standard_dp,21,三官堂-兴庄路,215.74,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,786.0,1.0806,233.128644,1.082,1.082,10.0145,10.51722222,0.0429569693,0.0451133848,4.77999
15,standard_dp,22,兴庄路-兴海南路,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,787.0,0.95878,206.655441,0.958,0.958,16.24855556,11.17975,0.0786263137,0.054098503,-45.339167
15,standard_dp,23,兴海南路-梅堰,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,788.0,0.83377,179.710786,0.8331,0.833,11.61494444,12.12227778,0.0646313152,0.0674543697,4.185132
15,standard_dp,24,梅堰-永茂路,215.34,traceable_standard_plan_MASS,UP015_20240702_210016_R766,9.0,789.0,3.67622,791.637215,3.6759,3.676,29.22197222,26.33269444,0.0369133382,0.0332635884,-10.972207
15,standard_dp,25,永茂路-镇海大道,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,790.0,2.13274,459.050958,2.1311,2.1311,15.94719444,16.07163889,0.0347394863,0.035010577,0.774311
15,standard_dp,26,镇海大道-骆驼桥,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,791.0,1.59719,343.779176,1.5929,1.593,15.36236111,17.76377778,0.0446867123,0.0516720588,13.518615
15,dwell5_dp,1,布政-张家潭,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,766.0,1.42837,307.442359,1.428,1.428,13.42766667,12.63680556,0.0436753957,0.0411030074,-6.258394
15,dwell5_dp,2,张家潭-同德路,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,767.0,2.02095,434.989278,2.017,2.017,16.61519444,16.31586111,0.0381967908,0.0375086512,-1.834616
15,dwell5_dp,3,同德路-石碶,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,768.0,1.33091,286.465068,1.331,1.331,12.97044444,12.10202778,0.0452775779,0.0422460855,-7.175795
15,dwell5_dp,4,石碶-雅渡,215.44,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,769.0,0.82726,178.224894,0.827,0.827,10.29736111,9.52836111,0.0577773444,0.0534625712,-8.070643
15,dwell5_dp,5,雅渡-庙堰,215.44,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,770.0,1.86075,400.87998,1.86,1.86,18.72544444,20.45211111,0.0467108496,0.0510180406,8.442486
15,dwell5_dp,6,庙堰-钟公庙,215.64,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,771.0,1.08754,234.517126,1.086,1.086,12.76969444,12.91616667,0.0544510104,0.0550755798,1.134022
15,dwell5_dp,7,钟公庙-鄞州区政府,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,772.0,0.98433,212.162488,0.984,0.984,8.39388889,9.68722222,0.0395634919,0.0456594486,13.35092
15,dwell5_dp,8,鄞州区政府-钱湖南路,215.84,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,773.0,1.81216,391.136614,1.811,1.811,15.57080556,16.14955556,0.0398091229,0.0412887849,3.58369
15,dwell5_dp,9,钱湖南路-南高教园区,215.94,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,774.0,1.1694,252.520236,1.155,1.155,13.68219444,13.54591667,0.0541825664,0.0536428956,-1.006043
15,dwell5_dp,10,南高教园区-下应路,215.94,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,775.0,1.45208,313.562155,1.452,1.452,17.36269444,17.12533333,0.0553724171,0.0546154345,-1.386023
15,dwell5_dp,11,下应路-大洋江,215.84,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,776.0,1.21365,261.954216,1.214,1.214,11.08675,11.02569444,0.0423232356,0.0420901584,-0.553757
15,dwell5_dp,12,大洋江-泗港,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,777.0,0.95843,206.580002,0.9579,0.958,10.92072222,10.88033333,0.0528643727,0.0526688606,-0.37121
15,dwell5_dp,13,泗港-曹隘,215.64,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,778.0,1.79927,387.994583,1.7981,1.798,22.47933333,23.39502778,0.057937235,0.0602973052,3.914056
15,dwell5_dp,14,曹隘-柳隘,215.34,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,779.0,1.3083,281.729322,1.308,1.308,16.18266667,20.53502778,0.0574404771,0.0728892102,21.194815
15,dwell5_dp,15,柳隘-海晏北路,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,780.0,0.98102,211.154745,0.98,0.98,11.47002778,11.38777778,0.0543204832,0.0539309585,-0.722266
15,dwell5_dp,16,海晏北路-民安东路,216.12,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,781.0,0.8649,186.922188,0.866,0.866,13.46152778,14.91152778,0.0720167462,0.0797739848,9.72402
15,dwell5_dp,17,民安东路-会展中心,216.52,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,782.0,0.72548,157.08093,0.724,0.724,9.67277778,11.84305556,0.0615783075,0.0753946108,18.32532
15,dwell5_dp,18,会展中心-院士路,216.42,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,783.0,1.55211,335.907646,1.5619,1.562,14.684,14.70041667,0.0437143964,0.043763269,0.111675
15,dwell5_dp,19,院士路-盎孟港,216.02,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,784.0,0.99433,214.795167,0.994,0.994,16.55433333,17.01191667,0.0770703252,0.0792006493,2.689781
15,dwell5_dp,20,盎孟港-三官堂,215.84,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,785.0,1.87801,405.349678,1.8761,1.876,15.50580556,15.27652778,0.0382529119,0.0376872823,-1.50085
15,dwell5_dp,21,三官堂-兴庄路,215.74,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,786.0,1.0806,233.128644,1.082,1.082,10.01452778,10.51722222,0.0429570884,0.0451133848,4.779726
15,dwell5_dp,22,兴庄路-兴海南路,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,787.0,0.95878,206.655441,0.958,0.958,16.24855556,11.17975,0.0786263137,0.054098503,-45.339167
15,dwell5_dp,23,兴海南路-梅堰,215.54,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,788.0,0.83377,179.710786,0.833,0.833,11.61494444,12.12227778,0.0646313152,0.0674543697,4.185132
15,dwell5_dp,24,梅堰-永茂路,215.34,traceable_standard_plan_MASS,UP015_20240702_210016_R766,9.0,789.0,3.67622,791.637215,3.6761,3.676,26.37558333,26.33269444,0.0333177658,0.0332635884,-0.162873
15,dwell5_dp,25,永茂路-镇海大道,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,790.0,2.13274,459.050958,2.131,2.1311,12.96988889,16.07163889,0.0282537018,0.035010577,19.299525
15,dwell5_dp,26,镇海大道-骆驼桥,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,791.0,1.59719,343.779176,1.5929,1.593,15.36236111,17.76377778,0.0446867123,0.0516720588,13.518615
15,energy_first,1,布政-张家潭,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,766.0,1.42837,307.442359,1.428,1.428,13.42766667,12.63680556,0.0436753957,0.0411030074,-6.258394
15,energy_first,2,张家潭-同德路,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,767.0,2.02095,434.989278,2.017,2.017,18.08505556,16.31586111,0.0415758651,0.0375086512,-10.843402
15,energy_first,3,同德路-石碶,215.24,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,768.0,1.33091,286.465068,1.331,1.331,12.97044444,12.10202778,0.0452775779,0.0422460855,-7.175795
15,energy_first,4,石碶-雅渡,215.44,traceable_standard_plan_MASS,UP015_20240702_210016_R766,14.0,769.0,0.82726,178.224894,0.827,0.827,10.29733333,9.52836111,0.0577771886,0.0534625712,-8.070351
