Segment_ID,等级,时长
0,class2,87.15
1,class3,88.1
2,class3,89.2
3,class3,89.35
4,class2,87.3
5,class2,87.2
6,class3,88.25
7,class2,86.65
8,class2,87.05
9,class3,89.05
10,class3,89.1
11,class3,88.15
12,class2,87.2
13,class3,89.15
14,class1,82.55
15,class2,87.3
16,class2,87.1
17,class3,88.55
18,class3,89.15
19,class2,87.4
20,class2,86.2
21,class3,89.05
22,class3,88.05
23,class3,89.1
24,class2,87.15
25,class3,88.2
26,class1,83.65
27,class3,88.4
28,class3,88.5
29,class2,87.7
30,class3,88.3
31,class2,87.7
32,class3,88.6
33,class1,83.7
