站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,29.05,29.0,0.05,116.3,12947.63,12741.01,12627.01,历史原始实测能耗,-206.62,real,class3,class3,80,80,strong,real_only,215.24,UP012_20240702_141702_R603,11.0,603.0
张家潭-同德路,class3,151.0,29.0,29.0,0.0,151.5,17915.88,17587.78,17616.87,历史原始实测能耗,-328.1,real,class3,class3,54,54,strong,real_only,215.24,UP012_20240702_141702_R603,11.0,604.0
同德路-石碶,class3,109.0,35.0,35.0,0.0,110.95,13094.43,11959.92,11699.46,历史原始实测能耗,-1134.51,real,class3,class3,60,60,strong,real_only,215.24,UP012_20240702_141702_R603,11.0,605.0
石碶-雅渡,class2,80.0,30.0,30.0,0.0,81.25,11046.12,11841.74,11740.73,历史原始实测能耗,795.62,real,class2,class2,38,38,strong,real_only,215.34,UP012_20240702_141702_R603,11.0,606.0
雅渡-庙堰,class4,139.0,29.0,29.0,0.0,132.75,18173.81,20254.03,19413.82,历史原始实测能耗,2080.22,real,class4,class4,10,10,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,607.0
庙堰-钟公庙,class3,96.0,30.0,30.0,0.0,96.7,12482.54,13489.83,13479.27,历史原始实测能耗,1007.29,real,class3,class3,84,84,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,608.0
钟公庙-鄞州区政府,class4,95.0,39.0,39.0,0.0,90.65,7971.63,10015.27,9966.49,历史原始实测能耗,2043.64,real,class4,class4,1,1,weak,real_only,215.54,UP012_20240702_141702_R603,11.0,609.0
鄞州区政府-钱湖南路,class3,132.1,30.0,30.0,0.0,131.65,16051.29,16319.98,15768.05,历史原始实测能耗,268.69,real,class3,class3,62,62,strong,real_only,215.64,UP012_20240702_141702_R603,11.0,610.0
钱湖南路-南高教园区,class3,100.0,35.0,35.0,0.0,99.95,13575.18,13765.64,13411.53,历史原始实测能耗,190.46,real,class3,class3,63,63,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,611.0
南高教园区-下应路,class3,114.0,30.0,30.0,0.0,113.7,18386.62,19336.95,19005.81,历史原始实测能耗,950.33,real,class3,class3,63,63,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,612.0
下应路-大洋江,class3,106.0,30.0,30.0,0.0,105.3,11247.34,11500.42,11257.44,历史原始实测能耗,253.08,real,class3,class3,65,65,strong,real_only,215.74,UP012_20240702_141702_R603,11.0,613.0
大洋江-泗港,class3,92.0,29.0,29.0,0.0,92.3,10720.52,10862.25,10596.89,历史原始实测能耗,141.73,real,class3,class3,99,99,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,614.0
泗港-曹隘,class4,137.0,31.0,31.0,0.0,134.7,22926.77,23679.39,23511.75,历史原始实测能耗,752.62,real,class4,class4,82,82,strong,real_only,215.64,UP012_20240702_141702_R603,11.0,615.0
曹隘-柳隘,class4,113.0,29.0,29.0,0.0,106.65,15929.87,20893.22,20680.8,历史原始实测能耗,4963.35,real,class4,class4,1,1,weak,real_only,215.44,UP012_20240702_141702_R603,11.0,616.0
柳隘-海晏北路,class3,92.0,44.0,44.0,0.0,90.3,11441.6,14567.07,14554.41,历史原始实测能耗,3125.47,real,class3,class3,35,35,strong,real_only,215.34,UP012_20240702_141702_R603,11.0,617.0
海晏北路-民安东路,class3,85.0,30.0,30.0,0.0,83.8,14760.31,15742.86,15519.16,历史原始实测能耗,982.55,real,class3,class3,41,41,strong,real_only,216.72,UP012_20240702_141702_R603,11.0,618.0
民安东路-会展中心,class3,79.0,30.0,30.0,0.0,76.65,11612.34,12947.32,12913.89,历史原始实测能耗,1334.98,real,class3,class3,8,8,strong,real_only,216.52,UP012_20240702_141702_R603,11.0,619.0
会展中心-院士路,class3,115.0,29.0,29.0,0.0,114.35,14930.33,14921.66,14726.63,历史原始实测能耗,-8.67,real,class3,class3,104,104,strong,real_only,216.32,UP012_20240702_141702_R603,11.0,620.0
院士路-盎孟港,class3,91.0,30.0,30.0,0.0,90.7,17872.78,19839.46,19763.01,历史原始实测能耗,1966.68,real,class3,class3,99,99,strong,real_only,216.44,UP012_20240702_141702_R603,11.0,621.0
盎孟港-三官堂,class2,132.0,35.0,35.0,0.0,137.5,17648.81,16559.61,16249.08,历史原始实测能耗,-1089.2,real,class2,class2,52,52,strong,real_only,216.44,UP012_20240702_141702_R603,11.0,622.0
三官堂-兴庄路,class2,99.0,31.0,31.0,0.0,104.05,11575.01,10432.47,10279.45,历史原始实测能耗,-1142.54,real,class2,class2,46,46,strong,real_only,216.14,UP012_20240702_141702_R603,11.0,623.0
兴庄路-兴海南路,class2,87.0,30.0,30.0,0.0,91.4,15846.08,12238.06,12122.25,历史原始实测能耗,-3608.02,real,class2,class2,30,30,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,624.0
兴海南路-梅堰,class3,82.0,35.0,35.0,0.0,82.0,11320.35,13140.81,13045.14,历史原始实测能耗,1820.46,real,class3,class3,73,73,strong,real_only,215.54,UP012_20240702_141702_R603,11.0,625.0
梅堰-永茂路,class3,313.0,27.0,27.0,0.0,329.25,29934.44,26139.14,26339.12,历史原始实测能耗,-3795.3,real,class3,class3,20,20,strong,real_only,215.54,UP012_20240702_141702_R603,7.0,626.0
永茂路-镇海大道,class2,141.0,28.0,28.0,0.0,142.35,17129.64,17949.13,17534.85,历史原始实测能耗,819.49,real,class2,class2,59,59,strong,real_only,215.44,UP012_20240702_141702_R603,11.0,627.0
镇海大道-骆驼桥,class4,128.0,0.0,0.0,0.0,116.45,17274.17,20165.48,19886.09,历史原始实测能耗,2891.31,real,class4,class4,1,1,weak,real_only,215.34,UP012_20240702_141702_R603,11.0,628.0
--- 总计 ---,节能率: 3.69%,3023.1,784.05,784.0,0.05,3807.1499999999996,393815.49,408890.5,403709.0,历史原始实测能耗,15075.01,,,,,,,real_only,,,,
