站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.42,29.0,-0.58,116.3,12947.63,12741.01,12627.01,历史原始实测能耗,-206.62,real,class3,class3,80,80,strong,energy_first,215.24,UP012_20240702_141702_R603,11.0,603.0
张家潭-同德路,class1,141.0,28.44,29.0,-0.56,151.5,17890.72,17587.78,17616.87,历史原始实测能耗,-302.94,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP012_20240702_141702_R603,11.0,604.0
同德路-石碶,class3,109.0,34.33,35.0,-0.67,110.95,13094.43,11959.92,11699.46,历史原始实测能耗,-1134.51,real,class3,class3,60,60,strong,energy_first,215.24,UP012_20240702_141702_R603,11.0,605.0
石碶-雅渡,class2,80.0,29.43,30.0,-0.57,81.25,11046.12,11841.74,11740.73,历史原始实测能耗,795.62,real,class2,class2,38,38,strong,energy_first,215.34,UP012_20240702_141702_R603,11.0,606.0
雅渡-庙堰,class2,129.0,28.45,29.0,-0.55,132.75,20522.53,20254.03,19413.82,历史原始实测能耗,-268.5,real,class2,class2,32,32,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,607.0
庙堰-钟公庙,class4,101.0,29.43,30.0,-0.57,96.7,10856.06,13489.83,13479.27,历史原始实测能耗,2633.77,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,608.0
钟公庙-鄞州区政府,class4,95.0,38.26,39.0,-0.74,90.65,7971.63,10015.27,9966.49,历史原始实测能耗,2043.64,real,class4,class4,1,1,weak,energy_first,215.54,UP012_20240702_141702_R603,11.0,609.0
鄞州区政府-钱湖南路,class3,132.1,29.43,30.0,-0.57,131.65,16051.29,16319.98,15768.05,历史原始实测能耗,268.69,real,class3,class3,62,62,strong,energy_first,215.64,UP012_20240702_141702_R603,11.0,610.0
钱湖南路-南高教园区,class4,105.0,34.33,35.0,-0.67,99.95,11774.49,13765.64,13411.53,历史原始实测能耗,1991.15,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,611.0
南高教园区-下应路,class4,120.0,29.43,30.0,-0.57,113.7,16566.96,19336.95,19005.81,历史原始实测能耗,2769.99,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,612.0
