站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
曹隘-柳隘,class3,108.0,16541.66,73.3086,real,class3,class3,38,38,strong,real_only,UP050_20240709_083231_R2671,49,2684,traceability
曹隘-柳隘,class4,113.0,12507.08,61.633,real,class4,class4,1,1,weak,real_only,UP050_20240709_083231_R2671,49,2684,traceability
曹隘-柳隘,class5,119.0,10871.28,54.6398,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP050_20240709_083231_R2671,49,2684,traceability
柳隘-海晏北路,class3,92.0,11848.76,64.8124,real,class3,class3,35,35,strong,real_only,UP050_20240709_083231_R2671,49,2685,traceability
柳隘-海晏北路,class4,96.0,10525.4,55.7057,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated,UP050_20240709_083231_R2671,49,2685,traceability
海晏北路-民安东路,class3,85.0,14700.53,67.8617,real,class3,class3,41,41,strong,real_only,UP050_20240709_083231_R2671,49,2686,traceability
海晏北路-民安东路,class4,89.0,13066.94,54.6404,extrapolated_adjacent,class3,class3,0,41,generated,allow_extrapolated,UP050_20240709_083231_R2671,49,2686,traceability
民安东路-会展中心,class2,76.0,16299.75,79.546,real,class2,class2,96,96,strong,real_only,UP050_20240709_083231_R2671,48,2687,traceability
民安东路-会展中心,class3,79.0,12228.81,60.2777,real,class3,class3,8,8,strong,real_only,UP050_20240709_083231_R2671,48,2687,traceability
民安东路-会展中心,class4,83.0,7943.61,48.5512,extrapolated_adjacent,class3,class3,0,8,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2687,traceability
会展中心-院士路,class3,115.0,14665.99,77.6321,real,class3,class3,104,104,strong,real_only,UP050_20240709_083231_R2671,48,2688,traceability
会展中心-院士路,class4,121.0,13009.04,67.4907,extrapolated_adjacent,class3,class3,0,104,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2688,traceability
院士路-盎孟港,class3,91.0,16982.2,72.2139,real,class3,class3,99,99,strong,real_only,UP050_20240709_083231_R2671,48,2689,traceability
院士路-盎孟港,class4,96.0,13843.26,56.5362,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2689,traceability
盎孟港-三官堂,class2,132.0,17956.8,76.317,real,class2,class2,52,52,strong,real_only,UP050_20240709_083231_R2671,48,2690,traceability
盎孟港-三官堂,class3,138.9,17464.43,68.9399,real,class3,class3,52,52,strong,real_only,UP050_20240709_083231_R2671,48,2690,traceability
盎孟港-三官堂,class4,146.0,16600.64,63.6563,extrapolated_adjacent,class3,class3,0,52,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2690,traceability
三官堂-兴庄路,class1,94.0,13559.76,76.0601,extrapolated_adjacent,class2,class2,0,46,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2691,traceability
三官堂-兴庄路,class2,99.0,12399.17,61.7533,real,class2,class2,46,46,strong,real_only,UP050_20240709_083231_R2671,48,2691,traceability
三官堂-兴庄路,class3,104.0,11376.15,53.7287,real,class3,class3,58,58,strong,real_only,UP050_20240709_083231_R2671,48,2691,traceability
三官堂-兴庄路,class4,109.0,10804.23,48.7312,extrapolated_adjacent,class3,class3,0,58,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2691,traceability
兴庄路-兴海南路,class2,87.0,16437.81,79.8469,real,class2,class2,30,30,strong,real_only,UP050_20240709_083231_R2671,48,2692,traceability
兴庄路-兴海南路,class4,96.0,9309.64,53.818,extrapolated_adjacent,class3,class3,0,72,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2692,traceability
兴海南路-梅堰,class3,82.0,11149.37,69.8334,real,class3,class3,73,73,strong,real_only,UP050_20240709_083231_R2671,48,2693,traceability
兴海南路-梅堰,class4,86.0,9466.73,53.8927,extrapolated_adjacent,class3,class3,0,73,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2693,traceability
梅堰-永茂路,class3,313.0,30317.12,67.3094,real,class3,class3,20,20,strong,real_only,UP050_20240709_083231_R2671,38,2694,traceability
梅堰-永茂路,class4,329.0,26178.84,57.9722,real,class4,class4,26,26,strong,real_only,UP050_20240709_083231_R2671,38,2694,traceability
梅堰-永茂路,class5,345.1,23513.58,52.7569,extrapolated_adjacent,class4,class4,0,26,generated,allow_extrapolated,UP050_20240709_083231_R2671,38,2694,traceability
永茂路-镇海大道,class2,141.0,18217.2,79.6934,real,class2,class2,59,59,strong,real_only,UP050_20240709_083231_R2671,48,2695,traceability
永茂路-镇海大道,class3,148.0,17344.49,72.5627,interpolated,class2,class2|class4,0,59,generated,allow_interpolated,UP050_20240709_083231_R2671,48,2695,traceability
永茂路-镇海大道,class4,156.0,16133.35,66.5855,real,class4,class4,1,1,weak,real_only,UP050_20240709_083231_R2671,48,2695,traceability
永茂路-镇海大道,class5,164.1,15191.85,61.0206,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2695,traceability
镇海大道-骆驼桥,class2,116.0,20049.73,79.6939,real,class2,class2,101,101,strong,real_only,UP050_20240709_083231_R2671,48,2696,traceability
镇海大道-骆驼桥,class3,122.0,19133.01,71.8166,real,class3,class3,1,1,weak,real_only,UP050_20240709_083231_R2671,48,2696,traceability
镇海大道-骆驼桥,class4,128.0,17132.07,65.0024,real,class4,class4,1,1,weak,real_only,UP050_20240709_083231_R2671,48,2696,traceability
镇海大道-骆驼桥,class5,134.0,15689.1,59.131,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP050_20240709_083231_R2671,48,2696,traceability
