send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,39,,07/0670638,38,0,2353,cruise-avg,63.92,43.73,63.92,1081,65.22,64.99,64.18,0,63.92,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip039,"<setPositionSpeed trainID=""priority_history_trip039"" speed=""63.92"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,39,,07/0670638,38,0,3023,cruise-avg,63.5,48.13,63.5,1764,65,64.64,64.11,0,63.5,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip039,"<setPositionSpeed trainID=""priority_history_trip039"" speed=""63.5"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,39,,07/0670638,38,0,2179,cruise-avg,67.91,43.97,67.91,833,69.18,68.98,68.37,0,67.91,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip039,"<setPositionSpeed trainID=""priority_history_trip039"" speed=""67.91"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,39,,07/0670638,38,0,1686,cruise-avg,67.65,35.37,67.65,154,69.8,69.66,67.62,0,67.65,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip039,"<setPositionSpeed trainID=""priority_history_trip039"" speed=""67.65"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,39,,07/0670638,38,0,2633,cruise-avg,75.04,50.87,75.04,1166,76.48,76.14,75.42,0,75.04,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip039,"<setPositionSpeed trainID=""priority_history_trip039"" speed=""75.04"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,39,,07/0670638,38,0,1933,cruise-avg,67.98,40.5,67.98,579,69.94,69.82,68.27,0,67.98,single-route,,,,,priority_history_trip039,,
7,钟公庙-鄞州区政府,39,,07/0670638,38,0,1805,cruise-avg,73.29,39.32,73.29,141,75.97,75.67,72.39,0,73.29,single-route,,,,,priority_history_trip039,,
8,鄞州区政府-钱湖南路,39,,07/0670638,38,0,2662,cruise-avg,69.79,49.01,69.79,1292,70.4,70.29,70.16,0,69.79,single-route,,,,,priority_history_trip039,,
9,钱湖南路-南高教园区,39,,07/0670638,38,0,2008,cruise-avg,68.56,41.91,68.56,655,69.17,69.14,69.02,0,68.56,single-route,,,,,priority_history_trip039,,
10,南高教园区-下应路,39,,07/0670638,38,0,2306,cruise-avg,68.97,45.37,68.97,928,69.83,69.65,69.4,0,68.97,single-route,,,,,priority_history_trip039,,
