send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,64,,07/1571563,63,0,2358,cruise-avg,63.75,43.65,63.75,1081,65,64.92,63.97,0,63.75,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""63.75"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,64,,07/1571563,63,0,3003,cruise-avg,64.12,48.46,64.12,1722,64.98,64.92,64.85,0,64.12,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""64.12"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,64,,07/1571563,63,0,2209,cruise-avg,66.47,43.37,66.47,856,67.24,67.09,66.8,0,66.47,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""66.47"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,64,,07/1571563,63,0,1588,cruise-avg,70.09,37.51,70.09,297,71.55,71.43,70.79,0,70.09,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""70.09"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,64,,07/1571563,63,0,2705,cruise-avg,70.25,49.53,70.25,1303,72.38,72.12,70.71,0,70.25,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""70.25"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,64,,07/1571563,63,0,1935,cruise-avg,67.69,40.46,67.69,578,69.68,69.62,67.91,0,67.69,single-route,,,,,priority_history_trip064,,
7,钟公庙-鄞州区政府,64,,07/1571563,63,0,1826,cruise-avg,66.41,38.86,66.41,505,67.17,67.12,67.06,0,66.41,single-route,,,,,priority_history_trip064,,
8,鄞州区政府-钱湖南路,64,,07/1571563,63,0,2622,cruise-avg,71.73,49.77,71.73,1225,72.48,72.28,72.1,0,71.73,single-route,,,,,priority_history_trip064,,
9,钱湖南路-南高教园区,64,,07/1571563,63,0,2006,cruise-avg,68.44,41.96,68.44,659,69.15,69.08,68.91,0,68.44,single-route,,,,,priority_history_trip064,,
10,南高教园区-下应路,64,,07/1571563,63,0,2308,cruise-avg,70.3,45.32,70.3,906,71.02,70.93,70.86,0,70.3,single-route,,,,,priority_history_trip064,,
11,下应路-大洋江,64,,07/1571563,63,0,2116,cruise-avg,64.58,41.31,64.58,792,65.41,65.36,64.92,0,64.58,single-route,,,,,priority_history_trip064,,
12,大洋江-泗港,64,,07/1571563,63,0,1836,cruise-avg,60.8,37.59,60.8,615,62.34,62.14,61.3,0,60.8,single-route,,,,,priority_history_trip064,,
13,泗港-曹隘,64,,07/1571563,63,0,2699,cruise-avg,76.5,48.01,76.5,856,77.27,77.14,77.06,0,76.5,single-route,,,,,priority_history_trip064,,
14,曹隘-柳隘,64,,07/1571563,63,0,2145,cruise-avg,73.25,43.9,73.25,465,75.64,75.27,74.27,0,73.25,single-route,,,,,priority_history_trip064,,
15,柳隘-海晏北路,64,,07/1571563,63,0,1786,cruise-avg,76.04,39.57,76.04,291,77.19,77.14,77.03,0,76.04,single-route,,,,,priority_history_trip064,,
16,海晏北路-民安东路,64,,07/1571563,63,0,1680,cruise-avg,71.07,37.07,71.07,236,72.54,72.49,72.28,0,71.07,single-route,,,,,priority_history_trip064,,
17,民安东路-会展中心,64,,07/1571563,63,0,1551,cruise-avg,66.23,33.72,66.23,200,67.83,67.75,67.34,0,66.23,single-route,,,,,priority_history_trip064,,
18,会展中心-院士路,64,,07/1571563,63,0,2321,cruise-avg,76.43,48.16,76.43,838,77.01,76.97,76.94,0,76.43,single-route,,,,,priority_history_trip064,,
19,院士路-盎孟港,64,,07/1571563,63,0,1797,cruise-avg,75.1,39.86,75.1,244,77.02,76.97,76.55,0,75.1,single-route,,,,,priority_history_trip064,,
20,盎孟港-三官堂,64,,07/1571563,63,0,2786,cruise-avg,67.94,48.53,67.94,1420,69.17,69.06,68.29,0,67.94,single-route,,,,,priority_history_trip064,,
21,三官堂-兴庄路,64,,07/1571563,63,0,2048,cruise-avg,55.47,37.98,55.47,888,56.24,56.18,55.99,0,55.47,single-route,,,,,priority_history_trip064,,
22,兴庄路-兴海南路,64,,07/1571563,63,0,1832,cruise-avg,60.79,37.69,60.79,603,63.38,63.02,60.99,0,60.79,single-route,,,,,priority_history_trip064,,
23,兴海南路-梅堰,64,,07/1571563,63,0,1637,cruise-avg,72.83,36.67,72.83,185,74.98,74.82,73.62,0,72.83,single-route,,,,,priority_history_trip064,,
24,梅堰-永茂路,64,,07/1871863,63,0,6376,cruise-avg,61.66,41.53,61.66,1803,62.6,62.17,62.03,0,61.66,single-route,,,,,priority_history_trip064,,
25,永茂路-镇海大道,64,,07/1571563,63,0,2865,cruise-avg,76.71,53.62,76.71,1342,77.16,77.06,77.04,0,76.71,single-route,,,,,priority_history_trip064,,
26,镇海大道-骆驼桥,64,,07/1571563,63,0,2356,cruise-avg,76.72,48.81,76.72,869,77.23,77.19,77.14,0,76.72,single-route,,,,,priority_history_trip064,,
