send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,35,,07/0670634,34,0,2354,cruise-avg,63.84,43.69,63.84,1088,64.31,64.23,64.16,0,63.84,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip035,"<setPositionSpeed trainID=""priority_history_trip035"" speed=""63.84"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,35,,07/0670634,34,0,3020,cruise-avg,63.46,48.18,63.46,1764,64.95,64.64,64.08,0,63.46,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip035,"<setPositionSpeed trainID=""priority_history_trip035"" speed=""63.46"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,35,,07/0670634,34,0,2172,cruise-avg,67.96,44.11,67.96,834,69.23,69.03,68.24,0,67.96,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip035,"<setPositionSpeed trainID=""priority_history_trip035"" speed=""67.96"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,35,,07/0670634,34,0,1583,cruise-avg,70.8,37.64,70.8,286,72.09,72.01,71.79,0,70.8,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip035,"<setPositionSpeed trainID=""priority_history_trip035"" speed=""70.8"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,35,,07/0670634,34,0,2674,cruise-avg,71.42,50.11,71.42,1281,72.54,72.38,71.85,0,71.42,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip035,"<setPositionSpeed trainID=""priority_history_trip035"" speed=""71.42"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,35,,07/0670634,34,0,1922,cruise-avg,67.92,40.71,67.92,579,69.84,69.71,68.14,0,67.92,single-route,,,,,priority_history_trip035,,
7,钟公庙-鄞州区政府,35,,07/0670634,34,0,1806,cruise-avg,70.41,39.27,70.41,348,74.76,74.52,71.05,0,70.41,single-route,,,,,priority_history_trip035,,
8,鄞州区政府-钱湖南路,35,,07/0670634,34,0,2638,cruise-avg,70.67,49.48,70.67,1254,71.43,71.31,71.2,0,70.67,single-route,,,,,priority_history_trip035,,
9,钱湖南路-南高教园区,35,,07/0670634,34,0,2014,cruise-avg,66.48,41.79,66.48,667,67.2,67.16,67.07,0,66.48,single-route,,,,,priority_history_trip035,,
10,南高教园区-下应路,35,,07/0670634,34,0,2302,cruise-avg,70.52,45.44,70.52,900,71.24,71.12,71,0,70.52,single-route,,,,,priority_history_trip035,,
11,下应路-大洋江,35,,07/0670634,34,0,2118,cruise-avg,62.9,41.29,62.9,830,63.95,63.83,63.46,0,62.9,single-route,,,,,priority_history_trip035,,
12,大洋江-泗港,35,,07/0670634,34,0,1821,cruise-avg,60.84,37.88,60.84,581,63.72,63.44,61.17,0,60.84,single-route,,,,,priority_history_trip035,,
13,泗港-曹隘,35,,07/0670634,34,0,2716,cruise-avg,76.54,47.7,76.54,859,77.29,77.17,77.12,0,76.54,single-route,,,,,priority_history_trip035,,
14,曹隘-柳隘,35,,07/0670634,34,0,2147,cruise-avg,73.34,43.87,73.34,462,75.72,75.43,74.3,0,73.34,single-route,,,,,priority_history_trip035,,
15,柳隘-海晏北路,35,,07/0670634,34,0,1792,cruise-avg,73.01,39.4,73.01,361,75.7,75.58,73.52,0,73.01,single-route,,,,,priority_history_trip035,,
16,海晏北路-民安东路,35,,07/0670634,34,0,1678,cruise-avg,70.89,37.13,70.89,220,72.79,72.69,72.1,0,70.89,single-route,,,,,priority_history_trip035,,
17,民安东路-会展中心,35,,07/0670634,34,0,1541,cruise-avg,66.1,33.92,66.1,205,67.66,67.59,67.21,0,66.1,single-route,,,,,priority_history_trip035,,
18,会展中心-院士路,35,,07/0670634,34,0,2315,cruise-avg,76.52,48.28,76.52,833,77.09,77.03,77,0,76.52,single-route,,,,,priority_history_trip035,,
