send_order,section,selected_class,planned_time_s,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_source,sample_reliability,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
11,下应路-大洋江,class3,106.0,62.6717,0,62.6717,mph,38.942389,real,strong,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,,"<setPositionSpeed speed=""38.942389"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""0""/>",
12,大洋江-泗港,class3,92.0,60.955,0,60.955,mph,37.875681,real,strong,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,,"<setPositionSpeed speed=""37.875681"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""0""/>",
13,泗港-曹隘,class4,137.0,75.5316,0,75.5316,mph,46.93316,real,strong,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,,"<setPositionSpeed speed=""46.93316"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""0""/>",
14,曹隘-柳隘,class4,113.0,61.633,0,61.633,mph,38.296971,real,weak,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,,"<setPositionSpeed speed=""38.296971"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""0""/>",
15,柳隘-海晏北路,class3,92.0,64.8124,0,64.8124,mph,40.272558,real,strong,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,,"<setPositionSpeed speed=""40.272558"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""0""/>",
16,海晏北路-民安东路,class3,85.0,67.8617,0,67.8617,mph,42.167305,real,strong,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,,"<setPositionSpeed speed=""42.167305"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""0""/>",
17,民安东路-会展中心,class3,79.0,60.2777,0,60.2777,mph,37.454826,real,strong,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,,"<setPositionSpeed speed=""37.454826"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""0""/>",
18,会展中心-院士路,class3,115.0,77.6321,0,77.6321,mph,48.238351,real,strong,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,,"<setPositionSpeed speed=""48.238351"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""0""/>",
19,院士路-盎孟港,class3,91.0,72.2139,0,72.2139,mph,44.871637,real,strong,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,,"<setPositionSpeed speed=""44.871637"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""0""/>",
20,盎孟港-三官堂,class3,139.0,68.9399,0,68.9399,mph,42.837268,real,strong,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,,"<setPositionSpeed speed=""42.837268"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""0""/>",
21,三官堂-兴庄路,class3,104.0,53.7287,0,53.7287,mph,33.385466,real,strong,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,,"<setPositionSpeed speed=""33.385466"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""0""/>",
22,兴庄路-兴海南路,class2,87.0,79.8469,0,79.8469,mph,49.614563,real,strong,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,,"<setPositionSpeed speed=""49.614563"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""0""/>",
23,兴海南路-梅堰,class3,82.0,69.8334,0,69.8334,mph,43.392463,real,strong,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,,"<setPositionSpeed speed=""43.392463"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" endRouteOffset=""0""/>",
24,梅堰-永茂路,class4,329.0,57.9722,0,57.9722,mph,36.022255,real,strong,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,,"<setPositionSpeed speed=""36.022255"" startRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" startRouteOffset=""0"" endRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" endRouteOffset=""0""/>",
25,永茂路-镇海大道,class4,156.0,66.5855,0,66.5855,mph,41.374312,real,weak,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0,,"<setPositionSpeed speed=""41.374312"" startRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" startRouteOffset=""0"" endRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" endRouteOffset=""0""/>",
26,镇海大道-骆驼桥,class4,128.0,65.0024,0,65.0024,mph,40.390619,real,weak,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],999999,,"<setPositionSpeed speed=""40.390619"" startRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" startRouteOffset=""0"" endRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" endRouteOffset=""999999""/>",end_offset_defaulted
