send_order,section,trip_no,run_id_filter,selection_mode,global_trip_id,traceability_segment,traceability_source_run_id,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,6,,traceability,UP006_20240701_171011_R274,5,274,07/0170105,5,0,2347,cruise-avg,62.74,43.82,62.74,1096,64.77,64.5,63.25,0,62.74,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""62.74"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,6,,traceability,UP006_20240701_171011_R274,5,275,07/0170105,5,0,3014,cruise-avg,62.72,48.27,62.72,1807,64.08,63.82,63.69,0,62.72,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""62.72"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,6,,traceability,UP006_20240701_171011_R274,5,276,07/0170105,5,0,2106,cruise-avg,73.9,45.51,73.9,668,76.66,76.52,74.3,0,73.9,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""73.9"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,6,,traceability,UP006_20240701_171011_R274,5,277,07/0170105,5,0,1576,cruise-avg,72.16,37.83,72.16,235,75.47,75.26,72.88,0,72.16,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""72.16"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,6,,traceability,UP006_20240701_171011_R274,5,278,07/0170105,5,0,2674,cruise-avg,71.47,50.09,71.47,1290,72.97,72.67,72.04,0,71.47,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""71.47"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,6,,traceability,UP006_20240701_171011_R274,5,279,07/0170105,5,0,1891,cruise-avg,74.29,41.4,74.29,424,77.61,77.53,74.76,0,74.29,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""74.29"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,6,,traceability,UP006_20240701_171011_R274,5,280,07/0170105,5,0,1783,cruise-avg,76.43,39.75,76.43,276,77.74,77.63,77.48,0,76.43,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""76.43"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,6,,traceability,UP006_20240701_171011_R274,5,281,07/0170105,5,0,2531,cruise-avg,77.24,51.54,77.24,1049,77.73,77.67,77.59,0,77.24,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""77.24"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,6,,traceability,UP006_20240701_171011_R274,5,282,07/0170105,5,0,1939,cruise-avg,76.8,43.42,76.8,466,77.66,77.59,77.47,0,76.8,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""76.8"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,6,,traceability,UP006_20240701_171011_R274,5,283,07/0170105,5,0,2207,cruise-avg,76.61,47.36,76.61,708,77.65,77.57,77.4,0,76.61,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,priority_history_trip006,"<setPositionSpeed trainID=""priority_history_trip006"" speed=""76.61"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
