send_order,section,trip_no,run_id_filter,selection_mode,global_trip_id,traceability_segment,traceability_source_run_id,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,42,,traceability,UP042_20240708_073251_R2252,41,2252,07/0870841,41,0,2337,cruise-avg,64.88,44.69,64.88,1063,66.68,66.44,65.37,0,64.88,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""64.88"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,42,,traceability,UP042_20240708_073251_R2252,41,2253,07/0870841,41,0,3017,cruise-avg,63.81,49.01,63.81,1787,65.15,64.93,64.81,0,63.81,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""63.81"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,42,,traceability,UP042_20240708_073251_R2252,41,2254,07/0870841,41,0,2124,cruise-avg,75.16,45.85,75.16,685,77.74,77.55,75.4,0,75.16,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""75.16"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,42,,traceability,UP042_20240708_073251_R2252,41,2255,07/0870841,41,0,1586,cruise-avg,72.06,38.15,72.06,286,73.53,73.46,73.38,0,72.06,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""72.06"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,42,,traceability,UP042_20240708_073251_R2252,41,2256,07/0870841,41,0,2675,cruise-avg,72.44,50.86,72.44,1291,73.91,73.71,73.01,0,72.44,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""72.44"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,42,,traceability,UP042_20240708_073251_R2252,41,2257,07/0870841,41,0,1890,cruise-avg,74.83,42.05,74.83,444,78.68,78.61,75.94,0,74.83,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""74.83"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,42,,traceability,UP042_20240708_073251_R2252,41,2258,07/0870841,41,0,1797,cruise-avg,71.31,40.03,71.31,408,73.62,73.49,71.58,0,71.31,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""71.31"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,42,,traceability,UP042_20240708_073251_R2252,41,2259,07/0870841,41,0,2570,cruise-avg,75.54,51.54,75.54,1141,76.91,76.68,76.11,0,75.54,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""75.54"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,42,,traceability,UP042_20240708_073251_R2252,41,2260,07/0870841,41,0,1942,cruise-avg,77.8,44.01,77.8,482,78.85,78.81,78.49,0,77.8,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""77.8"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,42,,traceability,UP042_20240708_073251_R2252,41,2261,07/0870841,41,0,2198,cruise-avg,78.24,48.27,78.24,719,78.85,78.77,78.73,0,78.24,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,priority_history_trip042,"<setPositionSpeed trainID=""priority_history_trip042"" speed=""78.24"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
