send_order,section,selected_class,planned_time_s,speed_method,speed_base_kmh,cruise_avg_speed_kmh,cruise_point_count,curve_peak_speed_kmh,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_path,curve_source,sample_reliability,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,class3,115.0,peak,67.1428,,,,67.1428,0,67.1428,kmh,67.1428,,real,strong,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""67.1428"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,class1,141.0,peak,73.6007,,,,73.6007,0,73.6007,kmh,73.6007,,extrapolated_adjacent,generated,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""73.6007"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,class3,109.0,peak,69.8832,,,,69.8832,0,69.8832,kmh,69.8832,,real,strong,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""69.8832"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,class2,80.0,peak,64.028,,,,64.028,0,64.028,kmh,64.028,,real,strong,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""64.028"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,class2,129.0,peak,79.0115,,,,79.0115,0,79.0115,kmh,79.0115,,real,strong,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""79.0115"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,class3,96.0,peak,69.1047,,,,69.1047,0,69.1047,kmh,69.1047,,real,strong,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""69.1047"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,class3,90.0,peak,68.6183,,,,68.6183,0,68.6183,kmh,68.6183,,real,strong,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""68.6183"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,class3,132.1,peak,71.1313,,,,71.1313,0,71.1313,kmh,71.1313,,real,strong,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""71.1313"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,class3,100.0,peak,70.3357,,,,70.3357,0,70.3357,kmh,70.3357,,real,strong,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""70.3357"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,class3,114.0,peak,70.8315,,,,70.8315,0,70.8315,kmh,70.8315,,real,strong,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,energy_first_dp_trip012,"<setPositionSpeed trainID=""energy_first_dp_trip012"" speed=""70.8315"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
