send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,48,,07/0870847,47,1,2335,cruise-avg,63.7,44.73,63.7,1092,65.55,65.27,64.2,0,63.7,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip048,"<setPositionSpeed trainID=""priority_history_trip048"" speed=""63.7"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,48,,07/0870847,47,1,3034,cruise-avg,63.69,48.76,63.69,1808,65.17,64.81,64.66,0,63.69,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip048,"<setPositionSpeed trainID=""priority_history_trip048"" speed=""63.69"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,48,,07/0870847,47,1,2204,cruise-avg,65.82,44.16,65.82,931,66.65,66.6,66.46,0,65.82,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip048,"<setPositionSpeed trainID=""priority_history_trip048"" speed=""65.82"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,48,,07/0870847,47,1,1678,cruise-avg,68.85,36.05,68.85,149,71.07,70.96,68.59,0,68.85,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip048,"<setPositionSpeed trainID=""priority_history_trip048"" speed=""68.85"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,48,,07/0870847,47,1,2624,cruise-avg,75.96,51.86,75.96,1157,78.04,77.55,76.54,0,75.96,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip048,"<setPositionSpeed trainID=""priority_history_trip048"" speed=""75.96"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,48,,07/0870847,47,1,1936,cruise-avg,66.51,41.05,66.51,601,69.63,69.44,66.63,0,66.51,single-route,,,,,priority_history_trip048,,
7,钟公庙-鄞州区政府,48,,07/0870847,47,1,1807,cruise-avg,67.27,39.82,67.27,513,68.13,68.06,67.86,0,67.27,single-route,,,,,priority_history_trip048,,
8,鄞州区政府-钱湖南路,48,,07/0870847,47,1,2654,cruise-avg,70.65,49.93,70.65,1307,71.61,71.41,71.25,0,70.65,single-route,,,,,priority_history_trip048,,
9,钱湖南路-南高教园区,48,,07/0870847,47,1,2032,cruise-avg,65.6,42.06,65.6,761,68.42,68.22,66.18,0,65.6,single-route,,,,,priority_history_trip048,,
10,南高教园区-下应路,48,,07/0870847,47,1,2292,cruise-avg,71.19,46.31,71.19,914,72.35,72.23,71.85,0,71.19,single-route,,,,,priority_history_trip048,,
