send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,64,,07/1571563,63,0,2358,max,65,43.65,63.75,1081,65,64.92,63.97,0,65,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""65"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,64,,07/1571563,63,0,3003,max,64.98,48.46,64.12,1722,64.98,64.92,64.85,0,64.98,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""64.98"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,64,,07/1571563,63,0,2209,max,67.24,43.37,66.47,856,67.24,67.09,66.8,0,67.24,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""67.24"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,64,,07/1571563,63,0,1588,max,71.55,37.51,70.09,297,71.55,71.43,70.79,0,71.55,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""71.55"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,64,,07/1571563,63,0,2705,max,72.38,49.53,70.25,1303,72.38,72.12,70.71,0,72.38,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip064,"<setPositionSpeed trainID=""priority_history_trip064"" speed=""72.38"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,64,,07/1571563,63,0,1935,max,69.68,40.46,67.69,578,69.68,69.62,67.91,0,69.68,single-route,,,,,priority_history_trip064,,
7,钟公庙-鄞州区政府,64,,07/1571563,63,0,1826,max,67.17,38.86,66.41,505,67.17,67.12,67.06,0,67.17,single-route,,,,,priority_history_trip064,,
8,鄞州区政府-钱湖南路,64,,07/1571563,63,0,2622,max,72.48,49.77,71.73,1225,72.48,72.28,72.1,0,72.48,single-route,,,,,priority_history_trip064,,
9,钱湖南路-南高教园区,64,,07/1571563,63,0,2006,max,69.15,41.96,68.44,659,69.15,69.08,68.91,0,69.15,single-route,,,,,priority_history_trip064,,
10,南高教园区-下应路,64,,07/1571563,63,0,2308,max,71.02,45.32,70.3,906,71.02,70.93,70.86,0,71.02,single-route,,,,,priority_history_trip064,,
11,下应路-大洋江,64,,07/1571563,63,0,2116,max,65.41,41.31,64.58,792,65.41,65.36,64.92,0,65.41,single-route,,,,,priority_history_trip064,,
12,大洋江-泗港,64,,07/1571563,63,0,1836,max,62.34,37.59,60.8,615,62.34,62.14,61.3,0,62.34,single-route,,,,,priority_history_trip064,,
13,泗港-曹隘,64,,07/1571563,63,0,2699,max,77.27,48.01,76.5,856,77.27,77.14,77.06,0,77.27,single-route,,,,,priority_history_trip064,,
14,曹隘-柳隘,64,,07/1571563,63,0,2145,max,75.64,43.9,73.25,465,75.64,75.27,74.27,0,75.64,single-route,,,,,priority_history_trip064,,
15,柳隘-海晏北路,64,,07/1571563,63,0,1786,max,77.19,39.57,76.04,291,77.19,77.14,77.03,0,77.19,single-route,,,,,priority_history_trip064,,
