send_order,section,trip_no,run_id_filter,matched_run_ids,matched_segments,quality_labels,row_count,method,historical_speed_kmh,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
13,泗港-曹隘,1,,07/0170100,0,0,2697,max,77.8,77.8,77.5808,77.5,0,77.8,single-route,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],999999,,"<setPositionSpeed speed=""77.8"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""999999""/>",
14,曹隘-柳隘,1,,07/0170100,0,0,2121,max,75.63,75.63,75.284,74.64,0,75.63,single-route,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],999999,,"<setPositionSpeed speed=""75.63"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""999999""/>",
15,柳隘-海晏北路,1,,07/0170100,0,0,1789,max,74.72,74.72,74.4712,71.13,0,74.72,single-route,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],999999,,"<setPositionSpeed speed=""74.72"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""999999""/>",
16,海晏北路-民安东路,1,,07/0170100,0,0,1679,max,72.99,72.99,72.9222,72.75,0,72.99,single-route,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],999999,,"<setPositionSpeed speed=""72.99"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""999999""/>",
17,民安东路-会展中心,1,,07/0170100,0,0,1533,max,67.96,67.96,67.86,67.558,0,67.96,single-route,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],999999,,"<setPositionSpeed speed=""67.96"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""999999""/>",
18,会展中心-院士路,1,,07/0170100,0,0,2299,max,77.53,77.53,77.45,77.41,0,77.53,single-route,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],999999,,"<setPositionSpeed speed=""77.53"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""999999""/>",
19,院士路-盎孟港,1,,07/0170100,0,0,1818,max,77.59,77.59,77.5,77.39,0,77.59,single-route,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],999999,,"<setPositionSpeed speed=""77.59"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""999999""/>",
20,盎孟港-三官堂,1,,07/0170100,0,0,2614,max,77.09,77.09,76.8774,76.58,0,77.09,single-route,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],999999,,"<setPositionSpeed speed=""77.09"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""999999""/>",
21,三官堂-兴庄路,1,,07/0170100,0,0,2030,max,56.09,56.09,56,55.9,0,56.09,single-route,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],999999,,"<setPositionSpeed speed=""56.09"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""999999""/>",
22,兴庄路-兴海南路,1,,07/0170100,0,0,1828,max,62.56,62.56,62.2419,61.23,0,62.56,single-route,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],999999,,"<setPositionSpeed speed=""62.56"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""999999""/>",
23,兴海南路-梅堰,1,,07/0170100,0,0,1647,max,72.62,72.62,72.457,71.79,0,72.62,single-route,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],999999,,"<setPositionSpeed speed=""72.62"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""999999""/>",
24,梅堰-永茂路,1,,07/0170100,0,0,6593,max,56.64,56.64,55.95,55.86,0,56.64,single-route,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],999999,,"<setPositionSpeed speed=""56.64"" startRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" startRouteOffset=""0"" endRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" endRouteOffset=""999999""/>",
25,永茂路-镇海大道,1,,07/0170100,0,0,2853,max,77.64,77.64,77.58,77.55,0,77.64,single-route,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],999999,,"<setPositionSpeed speed=""77.64"" startRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" startRouteOffset=""0"" endRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" endRouteOffset=""999999""/>",
26,镇海大道-骆驼桥,1,,07/0170100,0,0,2339,max,77.76,77.76,77.7,77.64,0,77.76,single-route,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],999999,,"<setPositionSpeed speed=""77.76"" startRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" startRouteOffset=""0"" endRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" endRouteOffset=""999999""/>",end_offset_defaulted
