send_order,section,selected_class,planned_time_s,speed_method,speed_base_kmh,cruise_avg_speed_kmh,cruise_point_count,curve_peak_speed_kmh,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_path,curve_source,sample_reliability,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,class3,115.0,cruise-avg,66.515758,66.515758,922,67.139964,67.1428,0,66.515758,kmh,66.515758,D:\energy_conservation\output\ato_generated_results_new_v4\布政-张家潭\class3_generated_curve.csv,real,strong,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""66.515758"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,class1,141.0,cruise-avg,72.071313,72.071313,1368,73.599142,73.6007,0,72.071313,kmh,72.071313,D:\energy_conservation\output\ato_generated_results_new_v4\张家潭-同德路\class1_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""72.071313"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,class3,109.0,cruise-avg,69.138068,69.138068,754,69.882037,69.8832,0,69.138068,kmh,69.138068,D:\energy_conservation\output\ato_generated_results_new_v4\同德路-石碶\class3_generated_curve.csv,real,strong,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""69.138068"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,class2,80.0,cruise-avg,63.474853,63.474853,367,64.029069,64.028,0,63.474853,kmh,63.474853,D:\energy_conservation\output\ato_generated_results_new_v4\石碶-雅渡\class2_generated_curve.csv,real,strong,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""63.474853"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,class3,131.9,cruise-avg,73.600323,73.600323,1073,75.510522,75.5114,0,73.600323,kmh,73.600323,D:\energy_conservation\output\ato_generated_results_new_v4\雅渡-庙堰\class3_generated_curve.csv,real,strong,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""73.600323"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,class3,96.0,cruise-avg,66.567603,66.567603,473,69.105365,69.1047,0,66.567603,kmh,66.567603,D:\energy_conservation\output\ato_generated_results_new_v4\庙堰-钟公庙\class3_generated_curve.csv,real,strong,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""66.567603"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,class5,99.0,cruise-avg,51.691363,51.691363,894,53.292178,53.292,0,51.691363,kmh,51.691363,D:\energy_conservation\output\ato_generated_results_new_v4\钟公庙-鄞州区政府\class5_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""51.691363"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,class2,128.0,cruise-avg,75.617507,75.617507,1013,77.106456,77.1065,0,75.617507,kmh,75.617507,D:\energy_conservation\output\ato_generated_results_new_v4\鄞州区政府-钱湖南路\class2_generated_curve.csv,real,strong,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""75.617507"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,class3,100.0,cruise-avg,67.594881,67.594881,541,70.336112,70.3357,0,67.594881,kmh,67.594881,D:\energy_conservation\output\ato_generated_results_new_v4\钱湖南路-南高教园区\class3_generated_curve.csv,real,strong,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""67.594881"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,class3,114.0,cruise-avg,70.087622,70.087622,806,70.832433,70.8315,0,70.087622,kmh,70.087622,D:\energy_conservation\output\ato_generated_results_new_v4\南高教园区-下应路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""70.087622"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
11,下应路-大洋江,class3,106.0,cruise-avg,61.935253,61.935253,811,62.671724,62.6717,0,61.935253,kmh,61.935253,D:\energy_conservation\output\ato_generated_results_new_v4\下应路-大洋江\class3_generated_curve.csv,real,strong,single-route,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""61.935253"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" endRouteOffset=""999999""/>",
12,大洋江-泗港,class3,92.0,cruise-avg,59.319844,59.319844,555,60.955164,60.955,0,59.319844,kmh,59.319844,D:\energy_conservation\output\ato_generated_results_new_v4\大洋江-泗港\class3_generated_curve.csv,real,strong,single-route,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],999999,energy_first_dp_trip015,"<setPositionSpeed trainID=""energy_first_dp_trip015"" speed=""59.319844"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""999999""/>",
