section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,0,1,07/0170100,0,2351,auto,43.728043,64.006705,1050,0.92,65.25,64.995,64.515,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,1,2,07/0170101,0,2271,auto,45.288639,73.371751,177,0.92,75.59,75.463,72.69,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,2,3,07/0170102,0,2350,auto,43.761179,62.799962,1042,0.92,64.57,64.3651,63.13,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,3,4,07/0170103,0,2352,auto,43.740132,63.845616,1088,0.92,65.65,65.41,64.2745,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,4,5,07/0170104,0,2327,auto,44.203911,64.00066,1030,0.92,64.9,64.77,64.36,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,5,6,07/0170105,0,2347,auto,43.821138,62.74417,1096,0.92,64.77,64.4962,63.25,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,6,7,07/0170106,0,2354,auto,43.694664,63.936053,1087,0.92,65.58,65.3294,64.41,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,8,9,07/0270208,0,2335,auto,44.036544,63.944886,1052,0.92,65.57,65.3566,64.423,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,9,10,07/0270209,0,2352,auto,43.726824,63.894324,1094,0.92,64.85,64.7649,64.44,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,10,11,07/0270210,0,2329,auto,44.161782,63.923844,1051,0.92,65.62,65.4072,64.47,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,11,12,07/0270211,0,2327,auto,44.183257,63.926149,1044,0.92,64.97,64.8274,64.437,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,12,13,07/0270212,0,2268,auto,45.353929,73.48309,178,0.92,75.66,75.55,72.8,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,13,14,07/0270213,0,2279,auto,45.118885,73.494489,176,0.92,75.65,75.58,72.763,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,15,16,07/0370315,0,2338,auto,43.983464,64.002726,1038,0.92,65.71,65.35,64.43,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,16,17,07/0370316,0,2320,auto,44.311547,63.943087,1040,0.92,64.78,64.69,64.35,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,17,18,07/0370317,0,2329,auto,44.142795,63.876982,1057,0.92,64.71,64.64,64.35,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,18,19,07/0370318,0,2323,auto,44.273715,65.112751,1054,0.92,66.14,65.88,65.62,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,19,20,07/0370319,0,2330,auto,44.129498,63.832092,1066,0.92,65.52,65.3242,64.28,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,20,21,07/0370320,0,2318,auto,44.358857,64.020302,1060,0.92,65.46,65.2549,64.46,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,21,22,07/0370321,0,2348,auto,43.808667,63.875189,1087,0.92,65.36,65.21,64.31,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,23,24,07/0470423,0,2337,auto,44.011318,62.634275,1104,0.92,64.51,64.2764,63.12,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,24,25,07/0470424,0,2334,auto,44.059756,63.721665,1063,0.92,65.13,64.95,64.13,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
