send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,66,,07/1571565,65,0,2337,max,66.21,44.01,65.19,1041,66.21,65.87,65.51,0,66.21,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip066,"<setPositionSpeed trainID=""priority_history_trip066"" speed=""66.21"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,66,,07/1571565,65,0,3017,max,64.97,48.24,63.45,1764,64.97,64.69,64.06,0,64.97,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip066,"<setPositionSpeed trainID=""priority_history_trip066"" speed=""64.97"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,66,,07/1571565,65,0,2117,max,77.05,45.29,76.03,628,77.05,76.96,76.56,0,77.05,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip066,"<setPositionSpeed trainID=""priority_history_trip066"" speed=""77.05"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,66,,07/1571565,65,0,1581,max,71.75,37.72,70.08,298,71.75,71.62,70.7,0,71.75,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip066,"<setPositionSpeed trainID=""priority_history_trip066"" speed=""71.75"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,66,,07/1571565,65,0,2647,max,74.8,50.6,73.74,1213,74.8,74.7,74.22,0,74.8,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip066,"<setPositionSpeed trainID=""priority_history_trip066"" speed=""74.8"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,66,,07/1571565,65,0,1896,max,77.06,41.26,73.88,439,77.06,76.93,74.29,0,77.06,single-route,,,,,priority_history_trip066,,
7,钟公庙-鄞州区政府,66,,07/1571565,65,0,1779,max,77.12,39.85,74.22,318,77.12,77.06,74.8,0,77.12,single-route,,,,,priority_history_trip066,,
8,鄞州区政府-钱湖南路,66,,07/1571565,65,0,2547,max,77.15,51.25,76.72,1068,77.15,77.08,77.04,0,77.15,single-route,,,,,priority_history_trip066,,
9,钱湖南路-南高教园区,66,,07/1571565,65,0,1952,max,77.13,43.13,76.33,481,77.13,77.08,76.96,0,77.13,single-route,,,,,priority_history_trip066,,
10,南高教园区-下应路,66,,07/1571565,65,0,2219,max,77.23,47.13,76.65,723,77.23,77.18,77.12,0,77.23,single-route,,,,,priority_history_trip066,,
11,下应路-大洋江,66,,07/1571565,65,0,2062,max,71.53,42.39,70.87,653,71.53,71.49,71.28,0,71.53,single-route,,,,,priority_history_trip066,,
12,大洋江-泗港,66,,07/1571565,65,0,1776,max,74.75,38.87,72.18,144,74.75,74.58,71.49,0,74.75,single-route,,,,,priority_history_trip066,,
13,泗港-曹隘,66,,07/1571565,65,0,2579,max,77.11,50.24,75.71,1072,77.11,77.07,76.68,0,77.11,single-route,,,,,priority_history_trip066,,
14,曹隘-柳隘,66,,07/1571565,65,0,2142,max,75.57,43.98,73.23,464,75.57,75.33,74.2,0,75.57,single-route,,,,,priority_history_trip066,,
15,柳隘-海晏北路,66,,07/1571565,65,0,1784,max,77.2,39.64,76.02,290,77.2,77.14,76.96,0,77.2,single-route,,,,,priority_history_trip066,,
