send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,46,,07/0870845,45,0,2352,max,65.54,44.43,63.66,1097,65.54,65.22,64.13,0,65.54,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip046,"<setPositionSpeed trainID=""priority_history_trip046"" speed=""65.54"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,46,,07/0870845,45,0,3032,max,64.96,48.77,63.77,1757,64.96,64.82,64.7,0,64.96,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip046,"<setPositionSpeed trainID=""priority_history_trip046"" speed=""64.96"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,46,,07/0870845,45,0,2086,max,78.6,46.67,77.38,641,78.6,78.47,78.12,0,78.6,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip046,"<setPositionSpeed trainID=""priority_history_trip046"" speed=""78.6"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,46,,07/0870845,45,0,1641,max,72.97,36.89,70.86,254,72.97,72.87,71.15,0,72.97,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip046,"<setPositionSpeed trainID=""priority_history_trip046"" speed=""72.97"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,46,,07/0870845,45,0,2602,max,78.35,52.29,77.48,1137,78.35,78.25,78.16,0,78.35,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip046,"<setPositionSpeed trainID=""priority_history_trip046"" speed=""78.35"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,46,,07/0870845,45,0,1886,max,78.71,42.15,74.94,412,78.71,78.58,75.78,0,78.71,single-route,,,,,priority_history_trip046,,
7,钟公庙-鄞州区政府,46,,07/0870845,45,0,1797,max,73.31,40.05,71.28,407,73.31,73.21,71.61,0,73.31,single-route,,,,,priority_history_trip046,,
8,鄞州区政府-钱湖南路,46,,07/0870845,45,0,2577,max,76.79,51.39,75.49,1144,76.79,76.57,76.07,0,76.79,single-route,,,,,priority_history_trip046,,
9,钱湖南路-南高教园区,46,,07/0870845,45,0,1936,max,78.85,44.17,77.99,472,78.85,78.81,78.66,0,78.85,single-route,,,,,priority_history_trip046,,
10,南高教园区-下应路,46,,07/0870845,45,0,2216,max,78.82,47.91,78.24,718,78.82,78.75,78.71,0,78.82,single-route,,,,,priority_history_trip046,,
