send_order,section,selected_class,planned_time_s,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_source,sample_reliability,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,class3,115.0,67.1428,0,67.1428,kmh,67.1428,real,strong,next-route-boundary,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,,"<setPositionSpeed speed=""67.1428"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""0""/>",
2,张家潭-同德路,class2,148.0,66.7619,0,66.7619,kmh,66.7619,real,strong,next-route-boundary,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,,"<setPositionSpeed speed=""66.7619"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""0""/>",
3,同德路-石碶,class3,109.0,69.8832,0,69.8832,kmh,69.8832,real,strong,next-route-boundary,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,,"<setPositionSpeed speed=""69.8832"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""0""/>",
4,石碶-雅渡,class2,80.0,64.028,0,64.028,kmh,64.028,real,strong,next-route-boundary,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,,"<setPositionSpeed speed=""64.028"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""0""/>",
5,雅渡-庙堰,class4,139.0,69.0026,0,69.0026,kmh,69.0026,real,strong,next-route-boundary,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,,"<setPositionSpeed speed=""69.0026"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""0""/>",
6,庙堰-钟公庙,class3,96.0,69.1047,0,69.1047,kmh,69.1047,real,strong,next-route-boundary,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,,"<setPositionSpeed speed=""69.1047"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""0""/>",
7,钟公庙-鄞州区政府,class4,95.0,59.8645,0,59.8645,kmh,59.8645,real,weak,next-route-boundary,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,,"<setPositionSpeed speed=""59.8645"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""0""/>",
8,鄞州区政府-钱湖南路,class3,132.0,71.1313,0,71.1313,kmh,71.1313,real,strong,next-route-boundary,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,,"<setPositionSpeed speed=""71.1313"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""0""/>",
9,钱湖南路-南高教园区,class3,100.0,70.3357,0,70.3357,kmh,70.3357,real,strong,next-route-boundary,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,,"<setPositionSpeed speed=""70.3357"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""0""/>",
10,南高教园区-下应路,class3,114.0,70.8315,0,70.8315,kmh,70.8315,real,strong,next-route-boundary,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,,"<setPositionSpeed speed=""70.8315"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" endRouteOffset=""0""/>",
11,下应路-大洋江,class3,106.0,62.6717,0,62.6717,kmh,62.6717,real,strong,next-route-boundary,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,,"<setPositionSpeed speed=""62.6717"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""0""/>",
12,大洋江-泗港,class3,92.0,60.955,0,60.955,kmh,60.955,real,strong,next-route-boundary,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,,"<setPositionSpeed speed=""60.955"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""0""/>",
13,泗港-曹隘,class4,137.0,75.5316,0,75.5316,kmh,75.5316,real,strong,next-route-boundary,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,,"<setPositionSpeed speed=""75.5316"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""0""/>",
14,曹隘-柳隘,class4,113.0,61.633,0,61.633,kmh,61.633,real,weak,next-route-boundary,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,,"<setPositionSpeed speed=""61.633"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""0""/>",
15,柳隘-海晏北路,class3,92.0,64.8124,0,64.8124,kmh,64.8124,real,strong,next-route-boundary,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,,"<setPositionSpeed speed=""64.8124"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""0""/>",
16,海晏北路-民安东路,class3,85.0,67.8617,0,67.8617,kmh,67.8617,real,strong,next-route-boundary,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,,"<setPositionSpeed speed=""67.8617"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""0""/>",
17,民安东路-会展中心,class3,79.0,60.2777,0,60.2777,kmh,60.2777,real,strong,next-route-boundary,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,,"<setPositionSpeed speed=""60.2777"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""0""/>",
18,会展中心-院士路,class3,115.0,77.6321,0,77.6321,kmh,77.6321,real,strong,next-route-boundary,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,,"<setPositionSpeed speed=""77.6321"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""0""/>",
19,院士路-盎孟港,class3,91.0,72.2139,0,72.2139,kmh,72.2139,real,strong,next-route-boundary,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,,"<setPositionSpeed speed=""72.2139"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""0""/>",
20,盎孟港-三官堂,class3,139.0,68.9399,0,68.9399,kmh,68.9399,real,strong,next-route-boundary,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,,"<setPositionSpeed speed=""68.9399"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""0""/>",
21,三官堂-兴庄路,class3,104.0,53.7287,0,53.7287,kmh,53.7287,real,strong,next-route-boundary,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,,"<setPositionSpeed speed=""53.7287"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""0""/>",
22,兴庄路-兴海南路,class2,87.0,79.8469,0,79.8469,kmh,79.8469,real,strong,next-route-boundary,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,,"<setPositionSpeed speed=""79.8469"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""0""/>",
23,兴海南路-梅堰,class3,82.0,69.8334,0,69.8334,kmh,69.8334,real,strong,next-route-boundary,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,,"<setPositionSpeed speed=""69.8334"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" endRouteOffset=""0""/>",
24,梅堰-永茂路,class4,329.0,57.9722,0,57.9722,kmh,57.9722,real,strong,next-route-boundary,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,,"<setPositionSpeed speed=""57.9722"" startRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" startRouteOffset=""0"" endRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" endRouteOffset=""0""/>",
