站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,26.1,116.7,12947.63,13263.14,13088.24,历史原始实测能耗,315.51,real,class3,class3,80,80,strong,real_only,215.24
张家潭-同德路,class2,148.0,26.1,151.2,17854.52,17454.88,17365.54,历史原始实测能耗,-399.64,real,class2,class2,8,8,strong,real_only,215.44
同德路-石碶,class3,109.0,26.1,106.0,13263.38,16425.24,16058.18,历史原始实测能耗,3161.86,real,class3,class3,60,60,strong,real_only,215.84
石碶-雅渡,class2,80.0,26.1,81.85,11002.9,13146.85,12986.26,历史原始实测能耗,2143.95,real,class2,class2,38,38,strong,real_only,219.09
雅渡-庙堰,class4,139.0,26.1,129.0,18677.09,22390.62,21420.6,历史原始实测能耗,3713.53,real,class4,class4,10,10,strong,real_only,220.8
庙堰-钟公庙,class3,96.0,26.1,93.9,13172.49,15263.71,15126.63,历史原始实测能耗,2091.22,real,class3,class3,84,84,strong,real_only,223.6
钟公庙-鄞州区政府,class4,95.0,26.1,88.7,8455.41,14233.17,14132.93,历史原始实测能耗,5777.76,real,class4,class4,1,1,weak,real_only,226.0
鄞州区政府-钱湖南路,class3,132.0,26.1,127.8,17618.82,20105.29,19791.94,历史原始实测能耗,2486.47,real,class3,class3,62,62,strong,real_only,229.1
钱湖南路-南高教园区,class3,100.0,26.1,97.05,14876.19,16518.59,16411.52,历史原始实测能耗,1642.4,real,class3,class3,63,63,strong,real_only,231.2
南高教园区-下应路,class3,114.0,26.1,110.65,19786.3,22448.28,22004.04,历史原始实测能耗,2661.98,real,class3,class3,63,63,strong,real_only,233.0
下应路-大洋江,class3,106.0,26.1,101.45,12869.92,14882.91,14844.35,历史原始实测能耗,2012.99,real,class3,class3,65,65,strong,real_only,234.3
大洋江-泗港,class3,92.0,26.1,92.0,11537.75,11787.96,11414.75,历史原始实测能耗,250.21,real,class3,class3,99,99,strong,real_only,234.1
泗港-曹隘,class4,137.0,26.1,134.65,24737.16,24805.96,24799.35,历史原始实测能耗,68.8,real,class4,class4,82,82,strong,real_only,235.1
曹隘-柳隘,class4,113.0,26.1,106.75,16844.09,23339.17,23089.95,历史原始实测能耗,6495.08,real,class4,class4,1,1,weak,real_only,239.6
柳隘-海晏北路,class3,92.0,26.1,88.95,12708.33,16397.68,16353.43,历史原始实测能耗,3689.35,real,class3,class3,35,35,strong,real_only,241.5
海晏北路-民安东路,class3,85.0,26.1,83.35,16955.33,17856.87,17729.22,历史原始实测能耗,901.54,real,class3,class3,41,41,strong,real_only,247.59
民安东路-会展中心,class3,79.0,26.1,76.75,12585.27,13003.76,12938.84,历史原始实测能耗,418.49,real,class3,class3,8,8,strong,real_only,238.31
会展中心-院士路,class3,115.0,26.1,114.6,15831.74,15757.66,15645.65,历史原始实测能耗,-74.08,real,class3,class3,104,104,strong,real_only,230.3
院士路-盎孟港,class3,91.0,26.1,90.4,18341.25,20528.78,20335.55,历史原始实测能耗,2187.53,real,class3,class3,99,99,strong,real_only,223.5
盎孟港-三官堂,class3,139.0,26.1,131.3,17332.51,19479.85,19119.55,历史原始实测能耗,2147.34,real,class3,class3,52,52,strong,real_only,218.2
三官堂-兴庄路,class3,104.0,26.1,98.25,10546.24,11524.24,11392.57,历史原始实测能耗,978.0,real,class3,class3,58,58,strong,real_only,216.44
兴庄路-兴海南路,class2,87.0,26.1,87.85,15872.82,14690.72,14574.63,历史原始实测能耗,-1182.1,real,class2,class2,30,30,strong,real_only,215.74
兴海南路-梅堰,class3,82.0,26.1,81.45,11320.35,13205.71,13202.82,历史原始实测能耗,1885.36,real,class3,class3,73,73,strong,real_only,215.54
梅堰-永茂路,class4,329.0,26.1,314.05,26433.13,29851.52,29934.89,历史原始实测能耗,3418.39,real,class4,class4,26,26,strong,real_only,215.54
永茂路-镇海大道,class4,156.0,26.1,142.75,15613.83,17821.92,17529.92,历史原始实测能耗,2208.09,real,class4,class4,1,1,weak,real_only,215.44
镇海大道-骆驼桥,class4,128.0,0.0,117.15,17280.37,20591.82,20151.03,历史原始实测能耗,3311.45,real,class4,class4,1,1,weak,real_only,215.44
--- 总计 ---,节能率: 11.45%,3063.0,652.5000000000001,3714.55,404464.82,456776.3,451442.38,历史原始实测能耗,52311.48,,,,,,,real_only,
