区间,历史最小重量(t),历史最大重量(t),重量跨度(t),所有记录过的重量值,记录样本数
海晏北路-民安东路,215.24,247.7,32.46,"215.24, 215.64, 215.74, 215.92, 215.94, 216.22, 216.24, 216.34, 216.54, 216.64, 216.82, 217.04, 217.22, 217.44, 217.62, 217.74, 217.82, 218.04, 218.32, 218.62, 219.32, 219.72, 221.2, 221.8, 223.5, 224.1, 224.2, 225.9, 228.5, 234.8, 247.7",31
民安东路-会展中心,215.24,240.1,24.86,"215.24, 215.64, 215.74, 215.84, 216.12, 216.14, 216.34, 216.44, 216.54, 216.64, 216.94, 217.02, 217.24, 217.62, 217.74, 217.82, 217.84, 218.12, 218.42, 218.82, 219.22, 219.32, 220.12, 221.5, 222.6, 223.6, 225.2, 228.0, 229.0, 230.1, 240.1",31
会展中心-院士路,215.24,232.2,16.96,"215.24, 215.64, 215.74, 215.84, 215.92, 215.94, 216.14, 216.22, 216.24, 216.44, 216.74, 216.82, 217.02, 217.14, 217.42, 217.44, 217.64, 217.72, 217.94, 218.02, 219.02, 220.0, 220.12, 220.72, 220.8, 228.4, 229.2, 230.1, 232.2",29
院士路-盎孟港,215.24,228.0,12.76,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 215.84, 215.94, 216.04, 216.14, 216.32, 216.34, 216.54, 216.74, 216.82, 216.94, 217.32, 217.54, 217.64, 217.92, 218.02, 219.22, 219.4, 225.2, 227.0, 227.2, 228.0",27
盎孟港-三官堂,215.24,228.7,13.46,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 215.94, 216.04, 216.14, 216.24, 216.32, 216.42, 216.44, 216.52, 216.54, 216.64, 216.74, 216.82, 216.94, 217.04, 218.4, 218.84, 219.02, 225.8, 228.2, 228.7",26
三官堂-兴庄路,215.24,224.3,9.06,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 215.84, 215.94, 216.04, 216.24, 216.34, 216.52, 216.54, 216.84, 216.94, 217.12, 217.44, 218.42, 218.52, 222.6, 222.8, 224.3",22
兴庄路-兴海南路,215.24,218.92,3.68,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 215.84, 216.04, 216.22, 216.24, 216.54, 216.72, 217.72, 217.82, 218.04, 218.72, 218.92",17
兴海南路-梅堰,215.24,217.82,2.58,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 216.04, 216.22, 216.34, 217.04, 217.22, 217.42, 217.82",13
梅堰-永茂路,215.24,217.92,2.68,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 215.84, 216.14, 216.32, 216.82, 216.84, 217.12, 217.42, 217.92",14
永茂路-镇海大道,215.24,217.12,1.88,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 216.04, 216.12, 216.42, 216.54, 216.92, 217.02, 217.12",13
镇海大道-骆驼桥,215.24,216.74,1.5,"215.24, 215.34, 215.44, 215.54, 215.64, 215.74, 215.84, 216.04, 216.32, 216.74",10
