站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,29.48,30.0,-0.52,116.85,12906.3,13448.76,13255.28,历史原始实测能耗,542.46,real,class3,class3,80,80,strong,energy_first,215.34,UP067_20240716_074738_R3654,66.0,3654.0
张家潭-同德路,class1,141.0,29.41,30.0,-0.59,151.5,18080.58,17940.65,17735.05,历史原始实测能耗,-139.93,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.84,UP067_20240716_074738_R3654,66.0,3655.0
同德路-石碶,class3,109.0,34.32,35.0,-0.68,105.8,13476.87,15801.19,15754.2,历史原始实测能耗,2324.32,real,class3,class3,60,60,strong,energy_first,216.72,UP067_20240716_074738_R3654,66.0,3656.0
石碶-雅渡,class2,80.0,28.43,29.0,-0.57,82.1,11030.85,13696.03,13350.53,历史原始实测能耗,2665.18,real,class2,class2,38,38,strong,energy_first,224.8,UP067_20240716_074738_R3654,66.0,3657.0
雅渡-庙堰,class3,131.9,28.43,29.0,-0.57,130.05,21455.88,22986.28,22414.76,历史原始实测能耗,1530.4,real,class3,class3,67,67,strong,energy_first,229.2,UP067_20240716_074738_R3654,66.0,3658.0
庙堰-钟公庙,class3,96.0,28.43,29.0,-0.57,94.65,13832.44,16871.15,16645.09,历史原始实测能耗,3038.71,real,class3,class3,84,84,strong,energy_first,232.0,UP067_20240716_074738_R3654,66.0,3659.0
钟公庙-鄞州区政府,class3,90.0,39.22,40.0,-0.78,89.65,11317.67,13866.73,13686.98,历史原始实测能耗,2549.06,real,class3,class3,108,108,strong,energy_first,234.1,UP067_20240716_074738_R3654,66.0,3660.0
鄞州区政府-钱湖南路,class2,128.0,29.41,30.0,-0.59,128.1,20480.06,19128.42,19109.96,历史原始实测能耗,-1351.64,real,class2,class2,45,45,strong,energy_first,235.5,UP067_20240716_074738_R3654,66.0,3661.0
钱湖南路-南高教园区,class3,100.0,34.32,35.0,-0.68,97.15,15379.3,17360.79,17225.04,历史原始实测能耗,1981.49,real,class3,class3,63,63,strong,energy_first,237.5,UP067_20240716_074738_R3654,66.0,3662.0
南高教园区-下应路,class2,110.0,29.41,30.0,-0.59,110.95,22922.57,23182.7,22654.91,历史原始实测能耗,260.13,real,class2,class2,44,44,strong,energy_first,240.7,UP067_20240716_074738_R3654,66.0,3663.0
下应路-大洋江,class2,101.0,28.43,29.0,-0.57,101.1,15208.38,14898.04,14974.57,历史原始实测能耗,-310.34,real,class2,class2,41,41,strong,energy_first,241.5,UP067_20240716_074738_R3654,66.0,3664.0
大洋江-泗港,class3,92.0,28.43,29.0,-0.57,91.5,11648.65,12751.68,12302.6,历史原始实测能耗,1103.03,real,class3,class3,99,99,strong,energy_first,239.4,UP067_20240716_074738_R3654,66.0,3665.0
泗港-曹隘,class4,137.0,29.41,30.0,-0.59,124.55,24937.97,22670.98,22581.66,历史原始实测能耗,-2266.99,real,class4,class4,82,82,strong,energy_first,238.2,UP067_20240716_074738_R3654,67.0,3666.0
曹隘-柳隘,class4,113.0,28.43,29.0,-0.57,110.75,16789.33,19025.37,18477.3,历史原始实测能耗,2236.04,real,class4,class4,1,1,weak,energy_first,242.1,UP067_20240716_074738_R3654,67.0,3667.0
柳隘-海晏北路,class3,92.0,44.12,45.0,-0.88,89.1,12804.24,16230.03,16175.85,历史原始实测能耗,3425.79,real,class3,class3,35,35,strong,energy_first,243.8,UP067_20240716_074738_R3654,67.0,3668.0
海晏北路-民安东路,class4,89.0,30.4,31.0,-0.6,84.1,14325.44,17886.63,17742.73,历史原始实测能耗,3561.19,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,249.6,UP067_20240716_074738_R3654,67.0,3669.0
民安东路-会展中心,class4,83.0,29.41,30.0,-0.59,76.6,7904.68,13314.7,13291.94,历史原始实测能耗,5410.02,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,237.61,UP067_20240716_074738_R3654,66.0,3670.0
会展中心-院士路,class3,115.0,28.43,29.0,-0.57,115.6,15818.5,15681.46,15547.62,历史原始实测能耗,-137.04,real,class3,class3,104,104,strong,energy_first,230.0,UP067_20240716_074738_R3654,66.0,3671.0
院士路-盎孟港,class4,96.0,29.41,30.0,-0.59,91.0,14431.94,20168.77,20019.07,历史原始实测能耗,5736.83,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,222.91,UP067_20240716_074738_R3654,66.0,3672.0
盎孟港-三官堂,class2,132.0,29.41,30.0,-0.59,130.75,17781.87,17949.16,17626.17,历史原始实测能耗,167.29,real,class2,class2,52,52,strong,energy_first,217.82,UP067_20240716_074738_R3654,66.0,3673.0
三官堂-兴庄路,class1,94.0,30.4,31.0,-0.6,98.6,13114.94,11666.1,11432.09,历史原始实测能耗,-1448.84,extrapolated_adjacent,class2,class2,0,46,generated,energy_first,215.94,UP067_20240716_074738_R3654,66.0,3674.0
兴庄路-兴海南路,class2,87.0,28.43,29.0,-0.57,88.7,15833.17,14425.23,14272.91,历史原始实测能耗,-1407.94,real,class2,class2,30,30,strong,energy_first,215.45,UP067_20240716_074738_R3654,66.0,3675.0
兴海南路-梅堰,class3,82.0,28.43,29.0,-0.57,81.2,11310.93,13094.4,13066.24,历史原始实测能耗,1783.47,real,class3,class3,73,73,strong,energy_first,215.44,UP067_20240716_074738_R3654,66.0,3676.0
梅堰-永茂路,class3,313.0,27.45,28.0,-0.55,318.95,29926.01,28987.49,28946.3,历史原始实测能耗,-938.52,real,class3,class3,20,20,strong,energy_first,215.44,UP067_20240716_074738_R3654,52.0,3677.0
永茂路-镇海大道,class2,141.0,27.45,28.0,-0.55,142.55,17124.26,17676.85,17443.76,历史原始实测能耗,552.59,real,class2,class2,59,59,strong,energy_first,215.34,UP067_20240716_074738_R3654,66.0,3678.0
镇海大道-骆驼桥,class2,116.0,0.0,0.0,0.0,116.95,20018.84,20234.49,19906.42,历史原始实测能耗,215.65,real,class2,class2,101,101,strong,energy_first,215.24,UP067_20240716_074738_R3654,66.0,3679.0
--- 总计 ---,节能率: 6.89%,2983.9,758.9000000000001,774.0,-15.1,3742.8,419861.67,450944.08,445639.03,历史原始实测能耗,31082.41,,,,,,,energy_first,,,,
