message,trainID,stationID,time,delay,received_at
trainPass,priority_history,STA_9,29949.0,0.0,2026-07-02T15:05:04
trainPass,priority_history,STA_9,29949.0,0.0,2026-07-02T15:10:50
trainPass,priority_history,STA_9,29949.0,0.0,2026-07-02T15:11:33
trainArrival,priority_history,STA_10,30039.0,-5.0,2026-07-02T15:05:04
trainArrival,priority_history,STA_10,30039.0,-5.0,2026-07-02T15:10:51
trainArrival,priority_history,STA_10,30039.0,-5.0,2026-07-02T15:11:33
trainDeparture,priority_history,STA_10,30074.0,0.0,2026-07-02T15:05:05
trainDeparture,priority_history,STA_10,30074.0,0.0,2026-07-02T15:10:51
trainDeparture,priority_history,STA_10,30074.0,0.0,2026-07-02T15:11:33
trainPass,priority_history,STA_10,30075.0,0.0,2026-07-02T15:05:05
trainPass,priority_history,STA_10,30075.0,0.0,2026-07-02T15:10:51
trainPass,priority_history,STA_10,30075.0,0.0,2026-07-02T15:11:33
trainArrival,priority_history,STA_11,30184.0,0.0,2026-07-02T15:05:05
trainArrival,priority_history,STA_11,30184.0,0.0,2026-07-02T15:10:51
trainArrival,priority_history,STA_11,30184.0,0.0,2026-07-02T15:11:33
trainDeparture,priority_history,STA_11,30214.0,0.0,2026-07-02T15:05:05
trainDeparture,priority_history,STA_11,30214.0,0.0,2026-07-02T15:10:51
trainDeparture,priority_history,STA_11,30214.0,0.0,2026-07-02T15:11:33
trainPass,priority_history,STA_11,30215.0,0.0,2026-07-02T15:05:05
trainPass,priority_history,STA_11,30215.0,0.0,2026-07-02T15:10:51
trainPass,priority_history,STA_11,30215.0,0.0,2026-07-02T15:11:33
trainArrival,priority_history,STA_12,30311.0,-9.0,2026-07-02T15:05:05
trainArrival,priority_history,STA_12,30311.0,-9.0,2026-07-02T15:10:51
trainArrival,priority_history,STA_12,30311.0,-9.0,2026-07-02T15:11:34
trainDeparture,priority_history,STA_12,30350.0,0.0,2026-07-02T15:05:05
trainDeparture,priority_history,STA_12,30350.0,0.0,2026-07-02T15:10:51
trainDeparture,priority_history,STA_12,30350.0,0.0,2026-07-02T15:11:34
trainPass,priority_history,STA_12,30351.0,0.0,2026-07-02T15:05:05
trainPass,priority_history,STA_12,30351.0,0.0,2026-07-02T15:10:51
trainPass,priority_history,STA_12,30351.0,0.0,2026-07-02T15:11:34
trainArrival,priority_history,STA_13,30434.0,-7.0,2026-07-02T15:05:05
trainArrival,priority_history,STA_13,30434.0,-7.0,2026-07-02T15:10:51
trainArrival,priority_history,STA_13,30434.0,-7.0,2026-07-02T15:11:34
trainDeparture,priority_history,STA_13,30471.0,0.0,2026-07-02T15:05:05
trainDeparture,priority_history,STA_13,30471.0,0.0,2026-07-02T15:10:51
trainDeparture,priority_history,STA_13,30471.0,0.0,2026-07-02T15:11:34
trainPass,priority_history,STA_13,30472.0,0.0,2026-07-02T15:05:05
trainPass,priority_history,STA_13,30472.0,0.0,2026-07-02T15:10:51
trainPass,priority_history,STA_13,30472.0,0.0,2026-07-02T15:11:34
trainArrival,priority_history,STA_14,30612.0,6.0,2026-07-02T15:05:05
trainArrival,priority_history,STA_14,30612.0,6.0,2026-07-02T15:10:51
trainArrival,priority_history,STA_14,30612.0,6.0,2026-07-02T15:11:34
trainDeparture,priority_history,STA_14,30642.0,6.0,2026-07-02T15:05:05
trainDeparture,priority_history,STA_14,30642.0,6.0,2026-07-02T15:10:51
trainDeparture,priority_history,STA_14,30642.0,6.0,2026-07-02T15:11:34
trainPass,priority_history,STA_14,30643.0,0.0,2026-07-02T15:05:05
trainPass,priority_history,STA_14,30643.0,0.0,2026-07-02T15:10:51
trainPass,priority_history,STA_14,30643.0,0.0,2026-07-02T15:11:34
trainArrival,priority_history,STA_15,30739.0,-3.0,2026-07-02T15:05:05
trainArrival,priority_history,STA_15,30739.0,-3.0,2026-07-02T15:10:51
trainArrival,priority_history,STA_15,30739.0,-3.0,2026-07-02T15:11:34
trainDeparture,priority_history,STA_15,30772.0,0.0,2026-07-02T15:05:05
trainDeparture,priority_history,STA_15,30772.0,0.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_15,30772.0,0.0,2026-07-02T15:11:34
trainPass,priority_history,STA_15,30773.0,0.0,2026-07-02T15:05:05
trainPass,priority_history,STA_15,30773.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_15,30773.0,0.0,2026-07-02T15:11:34
trainArrival,priority_history,STA_16,30857.0,-5.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_16,30857.0,-5.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_16,30857.0,-5.0,2026-07-02T15:11:35
trainDeparture,priority_history,STA_16,30892.0,0.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_16,30892.0,0.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_16,30892.0,0.0,2026-07-02T15:11:35
trainPass,priority_history,STA_16,30893.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_16,30893.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_16,30893.0,0.0,2026-07-02T15:11:35
trainArrival,priority_history,STA_17,30971.0,-5.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_17,30971.0,-5.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_17,30971.0,-5.0,2026-07-02T15:11:35
trainDeparture,priority_history,STA_17,31006.0,0.0,2026-07-02T15:05:06
trainDeparture,priority_history,STA_17,31006.0,0.0,2026-07-02T15:10:52
trainDeparture,priority_history,STA_17,31006.0,0.0,2026-07-02T15:11:35
trainPass,priority_history,STA_17,31007.0,0.0,2026-07-02T15:05:06
trainPass,priority_history,STA_17,31007.0,0.0,2026-07-02T15:10:52
trainPass,priority_history,STA_17,31007.0,0.0,2026-07-02T15:11:35
trainArrival,priority_history,STA_18,31077.0,-5.0,2026-07-02T15:05:06
trainArrival,priority_history,STA_18,31077.0,-5.0,2026-07-02T15:10:52
trainArrival,priority_history,STA_18,31077.0,-5.0,2026-07-02T15:11:35
