Segment_ID,等级,时长
0,class2,78.7
1,class2,79.45
2,class2,79.15
3,class2,80.0
4,class2,79.0
5,class2,78.9
6,class2,79.95
7,class2,78.8
8,class2,78.85
9,class2,79.25
10,class2,79.6
11,class2,79.15
12,class2,78.85
13,class2,79.8
14,class2,78.75
15,class2,78.95
16,class2,79.3
17,class2,79.95
18,class2,79.25
19,class2,79.5
20,class2,78.85
21,class2,79.8
22,class3,81.05
23,class2,79.95
24,class2,78.9
25,class2,79.75
26,class2,78.65
27,class2,79.85
28,class2,79.65
29,class3,80.25
30,class2,79.9
31,class2,79.95
32,class2,79.85
33,class2,79.85
34,class2,76.9
