trip_no,trip_label,status,target_time_s,run_time_s,dwell_time_s,section_count,dwell_actual_count,dwell_fallback_count,trip_dir
6,trip006,ok,3736.2999999999997,2966.2999999999997,770.0,26,25,0,D:\energy_conservation\output\schedule\batch_trip_reports_refresh_min_dwell_trip6_trip12_20260828\trip006
12,trip012,ok,3807.1499999999996,3023.1499999999996,784.0,26,25,0,D:\energy_conservation\output\schedule\batch_trip_reports_refresh_min_dwell_trip6_trip12_20260828\trip012
