t_arrival,v_peak_opt,E_wh
130.37968535172968,21.271956239990484,25420.409990675194
130.46020206745533,20.720207002188236,24794.586467961577
130.58342160186444,20.324038677295032,24521.75152008133
130.65601351081665,20.001280409314333,24441.540220238956
130.79747970324982,19.723654430286224,24312.134908644788
130.86732123829134,19.477384204475996,24215.404251236327
130.97101596267999,19.254526854112463,24125.31326381174
131.06206282978494,19.050008896810272,24056.0207534176
131.19285779105928,18.860356202962436,23993.98936646065
131.26512656190306,18.68306648523896,23921.79439734923
131.38016086492019,18.516266745864137,23848.041843045026
131.4889573223526,18.35851188258713,23788.13951321972
131.59230395086382,18.208659271245857,23724.717642399635
131.69083656432247,18.065786981730824,23640.315210574558
131.7850769683398,17.929138395905643,23572.802176207937
131.87545965294623,17.79808350322634,23458.565749971523
131.96235095267068,17.672091118625865,23348.876739100695
132.09606311947522,17.550708476759286,23250.11374153864
132.17686486775452,17.5,23123.501844881037
132.25498941549407,17.5,23004.52731454985
132.3806407118934,17.5,22914.938798219642
132.45399832753736,17.5,22830.880639190993
132.57522134220238,17.5,22752.020720947003
132.6944514704782,17.5,22667.90881977949
132.76181560020422,17.5,22585.329707837678
132.8774278731332,17.5,22498.814211896133
132.9913914048255,17.5,22412.419777502517
133.0537997173834,17.5,22324.505303013124
133.16473794152165,17.5,22270.286578979118
133.27428383178693,17.5,22185.436600069654
133.38250862923383,17.5,22124.722382440254
133.48947779865978,17.5,22069.77679278837
133.59525166199023,17.5,22010.39149046648
133.69988594514626,17.5,21923.609255388466
133.75343225240914,17.5,21864.403388540126
133.8559384796909,17.5,21809.184650055788
133.95744917605685,17.5,21754.729954349124
134.05800586120333,17.5,21696.539086901346
134.15764730527292,17.5,21640.250905506557
134.25640977632668,17.5,21612.8593048254
134.35432725992578,17.5,21555.23330070503
134.4514316545691,17.5,21493.633835729015
134.59775294615267,17.5,21433.52731215217
134.69331936413784,17.5,21407.1634454457
134.7881575217177,17.5,21343.180871080556
134.88229254194005,17.5,21315.00324766038
134.97574817146827,17.5,21251.589961613157
135.06854688342878,17.5,21216.494560059735
135.16070997059745,17.5,21156.71822215944
135.2522576300106,17.5,21126.197588110055
135.39320903994525,17.5,21065.33607971362
135.48358243009292,17.5,21031.761996614667
135.57339514564785,17.5,20997.839271806984
135.66266370594184,17.5,20935.59330636197
135.75140385818224,17.5,20903.825153220132
135.88963062678346,17.5,20872.08102915059
135.97735835872538,17.5,20840.00805823016
136.06460076532233,17.5,20807.40115154366
136.15137096074426,17.5,20774.08732485758
136.28768149759256,17.5,20713.258894793064
136.3735443998014,17.5,20681.437842874053
136.45897119310598,17.5,20644.692067109172
136.59397293329383,17.5,20613.0106293626
136.67856023243314,17.5,20584.22738887171
136.76274328325226,17.5,20551.144691324385
136.89653188182677,17.5,20517.97859060637
136.979935448716,17.5,20485.57187788791
137.06296304867556,17.5,20452.738439190995
137.19562340906265,17.5,20449.15966015774
137.27792493703691,17.5,20414.877139794415
137.3598757356529,17.5,20386.813315056388
137.49148361892964,17.5,20351.748129853233
137.57275612597533,17.5,20324.21529997541
137.65370053423945,17.5,20290.263705858553
137.8646329298378,17.5,20254.265570805183
137.99463427207755,17.5,20221.776413409636
138.07433424670202,17.5,20193.341770308783
138.15373899532864,17.5,20186.439648629173
138.28285446236373,17.5,20151.71319086236
138.3616864036821,17.5,20118.3381969033
138.56852183873255,17.5,20086.072409156084
138.69653597309093,17.5,20055.5546995978
138.77428787723795,17.5,20046.455397801525
138.85178247873637,17.5,20012.783125551865
139.05601876212995,17.5,19980.13867019614
139.18276959462247,17.5,19945.589561146215
139.2592814365607,17.5,19942.28296154295
139.3855585437145,17.5,19906.088014428315
139.46160505292016,17.5,19901.59922729424
139.58742498663662,17.5,19867.138595410186
139.66302225728037,17.5,19859.252635384906
139.78840067135195,17.5,19822.191507158837
139.8635639333664,17.5,19810.940023622155
139.98851564959864,17.5,19807.11166188761
140.06325933165434,17.5,19761.356664335402
140.18779839987644,17.5,19745.908036597473
140.26213618659588,17.5,19699.2039555398
140.3862759392357,17.5,19685.6483093809
140.46022082327613,17.5,19669.951915659844
140.5839739250884,17.5,19630.081797859988
140.6575382546442,17.5,19609.643323544635
140.78091674810733,17.5,19569.241899787372
140.85411227031398,17.5,19548.911102193244
140.97712761714706,17.5,19530.482376213986
141.09996551781043,17.5,19483.63229042827
141.1726286370078,17.5,19464.05123770819
141.2951195770313,17.5,19452.444530123154
141.36744087976433,17.5,19403.579945566922
141.4895950286027,17.5,19386.078062344033
141.5615844502983,17.5,19366.862048698313
141.68341151672908,17.5,19348.73182368424
141.75507854659864,17.5,19303.77913969963
141.87658780706923,17.5,19281.440255917223
141.99794151533084,17.5,19264.613676393285
142.06914184010998,17.5,19241.52961231747
142.1901909031203,17.5,19200.084666689272
142.26109078045835,17.5,19180.315267603473
142.38184350394644,17.5,19160.47493887529
142.45245106242584,17.5,19137.519875447288
142.57291540300128,17.5,19114.83585165424
142.69323843224046,17.5,19077.76076308304
142.76342201732928,17.5,19055.110447311563
142.8834679871854,17.5,19035.35624569123
142.95337813353197,17.5,19017.255058406245
143.07315421193292,17.5,18994.409536357518
143.19279794279177,17.5,18975.810554215772
143.26231101231537,17.5,18951.699964878517
143.38169507344412,17.5,18913.734735854683
143.45095174675,17.5,18894.88541486777
