time,velocity,cumulative_energy
0.0,0.0,0.0
0.05,0.025,0.007418696408351311
0.1,0.05,0.019694962288591696
0.15000000000000002,0.07500000000000001,0.04490515050590484
0.2,0.1,0.08702810446341454
0.25,0.125,0.14967091585232506
0.30000000000000004,0.15000000000000002,0.2360994619665162
0.35000000000000003,0.17500000000000002,0.3492666020847293
0.4,0.2,0.491838204806181
0.45,0.225,0.6662171659707623
0.5,0.25,0.874565565395494
0.55,0.275,1.118825100055897
0.6000000000000001,0.30000000000000004,1.4007359214796695
0.65,0.325,1.7218539959495045
0.7000000000000001,0.35000000000000003,2.083567097584495
0.75,0.375,2.487109536441003
0.8,0.4,2.9335757164028253
0.8500000000000001,0.42500000000000004,3.423932610778457
0.9,0.45,3.959031237154348
0.9500000000000001,0.47500000000000003,4.539617207133858
1.0,0.5,5.166340421090941
1.05,0.525,5.839763972956463
1.1,0.55,6.560372325306388
1.1500000000000001,0.5750000000000001,7.3285788106096525
1.2000000000000002,0.6000000000000001,8.144732510395999
1.25,0.625,9.009124560298368
1.3,0.65,9.921993925390408
1.35,0.675,10.883532686958217
1.4000000000000001,0.7000000000000001,11.893890878798922
1.4500000000000002,0.7250000000000001,13.155571072447643
1.5,0.75,14.466317504619479
1.55,0.775,15.8264194190421
1.6,0.8,17.23509903097661
1.6500000000000001,0.8250000000000001,18.69194086992399
1.7000000000000002,0.8500000000000001,20.1966479687977
1.75,0.875,21.74897832808926
1.8,0.9,23.348757218311558
1.85,0.925,24.995909460238767
1.9000000000000001,0.9500000000000001,26.690335687862497
1.9500000000000002,0.9750000000000001,28.431956501806518
2.0,1.0,30.22066742343243
2.0500000000000003,1.0250000000000001,32.0563521103495
2.1,1.05,33.93888421286543
2.15,1.075,35.868147521468856
2.2,1.1,37.844846743300074
2.25,1.125,39.86901618153431
2.3000000000000003,1.1500000000000001,41.940528843407925
2.35,1.175,44.05925008193013
2.4000000000000004,1.2000000000000002,46.22504181739848
2.45,1.225,48.43776878636442
2.5,1.25,50.697290716468096
2.5500000000000003,1.2750000000000001,53.0034650350059
2.6,1.3,55.35618102311867
2.6500000000000004,1.3250000000000002,57.75531014532515
2.7,1.35,60.20071848616344
2.75,1.375,62.69227385559129
2.8000000000000003,1.4000000000000001,65.22984841646232
2.85,1.425,67.81331504956191
2.9000000000000004,1.4500000000000002,70.44254611709778
2.95,1.475,73.11741468729086
3.0,1.5,75.83781591052829
3.0500000000000003,1.5250000000000001,78.60365296829339
3.1,1.55,81.41482809855569
3.1500000000000004,1.5750000000000002,84.27124597151342
3.2,1.6,87.17281421844359
3.25,1.625,90.11944160716683
3.3000000000000003,1.6500000000000001,93.11103940897061
3.35,1.675,96.14751782242318
3.4000000000000004,1.7000000000000002,99.22878821405054
3.45,1.725,102.35476570836147
3.5,1.75,105.52536673409924
3.5500000000000003,1.7750000000000001,108.74051805310349
3.6,1.8,112.0001513446631
3.6500000000000004,1.8250000000000002,115.3041860581854
3.7,1.85,118.6525528081901
3.75,1.875,122.04518514596592
3.8000000000000003,1.9000000000000001,125.4820097045224
3.85,1.925,128.96295486374072
3.9000000000000004,1.9500000000000002,132.4879559420877
3.95,1.975,136.05695636397706
4.0,2.0,139.66988504421855
4.05,2.025,143.32668726731478
4.1000000000000005,2.0500000000000003,147.02735857677118
4.15,2.075,150.77183828080842
4.2,2.1,154.55887075511322
4.25,2.125,158.38615048130282
4.3,2.15,162.253642523693
4.3500000000000005,2.1750000000000003,166.16122871939479
4.4,2.2,170.1087949777738
4.45,2.225,174.09622389917834
4.5,2.25,178.12339787052386
4.55,2.275,182.19019773664988
4.6000000000000005,2.3000000000000003,186.29650133159592
4.65,2.325,190.44218323330284
4.7,2.35,194.6271176342251
4.75,2.375,198.85117776392062
4.800000000000001,2.4000000000000004,203.11430905910254
4.8500000000000005,2.4250000000000003,207.41640580390168
4.9,2.45,211.7573418572153
4.95,2.475,216.13698553429657
5.0,2.5,220.55498679276772
5.050000000000001,2.5250000000000004,225.00966650606475
5.1000000000000005,2.5500000000000003,229.50085011308846
5.15,2.575,234.02836880523031
5.2,2.6,238.59206075895446
5.25,2.625,243.19174444511407
5.300000000000001,2.6500000000000004,247.82724508473936
5.3500000000000005,2.6750000000000003,252.49835289248307
5.4,2.7,257.2048882708397
5.45,2.725,261.9468398724226
5.5,2.75,266.7257958385069
5.550000000000001,2.7750000000000004,271.5418950718223
5.6000000000000005,2.8000000000000003,276.3952495667785
5.65,2.825,281.2865408291629
