time,velocity,acceleration,distance,cumulative_energy
0.0,0.0,0.55,0.0,2.514143
0.05,0.027500000000000004,0.55,0.0013750000000000004,5.033686
0.1,0.05500000000000001,0.55,0.004125000000000001,7.5591674
0.15000000000000002,0.08250000000000002,0.55,0.008250000000000002,10.091013
0.2,0.11000000000000001,0.55,0.013750000000000004,12.629606
0.25,0.1375,0.55,0.020625000000000004,15.175143
0.30000000000000004,0.16500000000000004,0.55,0.028875000000000005,17.728058
0.35000000000000003,0.19250000000000003,0.55,0.038500000000000006,20.288845
0.4,0.22000000000000003,0.55,0.04950000000000001,22.857983
0.45,0.24750000000000003,0.55,0.06187500000000001,25.43588
0.5,0.275,0.55,0.07562500000000001,28.02275
0.55,0.30250000000000005,0.55,0.09075000000000001,30.618492
0.6000000000000001,0.33000000000000007,0.55,0.10725000000000001,33.223843
0.65,0.35750000000000004,0.55,0.12512500000000001,35.83908
0.7000000000000001,0.38500000000000006,0.55,0.14437500000000003,38.464565
0.75,0.41250000000000003,0.55,0.16500000000000004,41.10066
0.8,0.44000000000000006,0.55,0.18700000000000006,43.74777
0.8500000000000001,0.4675000000000001,0.55,0.21037500000000006,46.406406
0.9,0.49500000000000005,0.55,0.23512500000000006,49.07702
0.9500000000000001,0.5225000000000001,0.55,0.26125000000000004,51.75996
1.0,0.55,0.55,0.28875000000000006,54.45555
1.05,0.5775000000000001,0.55,0.31762500000000005,57.1636
1.1,0.6050000000000001,0.55,0.34787500000000005,59.883934
1.1500000000000001,0.6325000000000002,0.55,0.37950000000000006,62.61721
1.2000000000000002,0.6600000000000001,0.55,0.4125000000000001,65.36439
1.25,0.6875,0.55,0.4468750000000001,68.12609
1.3,0.7150000000000001,0.55,0.4826250000000001,70.903046
1.35,0.7425000000000002,0.55,0.51975,73.69387
1.4000000000000001,0.7700000000000001,0.55,0.55825,76.49786
1.4500000000000002,0.7975000000000002,0.55,0.598125,79.315155
1.5,0.8250000000000001,0.55,0.639375,82.145935
1.55,0.8525000000000001,0.55,0.682,84.99108
1.6,0.8800000000000001,0.55,0.7260000000000001,87.85124
1.6500000000000001,0.9075000000000002,0.55,0.7713750000000001,90.726776
1.7000000000000002,0.9350000000000002,0.55,0.8181250000000002,93.61804
1.75,0.9625000000000001,0.55,0.8662500000000002,96.525406
1.8,0.9900000000000001,0.55,0.9157500000000002,99.44964
1.85,1.0175,0.55,0.9666250000000002,102.39119
1.9000000000000001,1.0450000000000002,0.55,1.0188750000000002,105.3504
1.9500000000000002,1.0725000000000002,0.55,1.0725000000000002,108.32768
2.0,1.1,0.55,1.1275000000000002,111.323425
2.0500000000000003,1.1275000000000002,0.55,1.1838750000000002,114.33779
2.1,1.1550000000000002,0.55,1.2416250000000002,117.37043
2.15,1.1825,0.55,1.3007500000000003,120.42177
2.2,1.2100000000000002,0.55,1.3612500000000003,123.492226
2.25,1.2375,0.55,1.4231250000000002,126.582245
2.3000000000000003,1.2650000000000003,0.55,1.4863750000000002,129.69228
2.35,1.2925000000000002,0.55,1.5510000000000002,132.82277
2.4000000000000004,1.3200000000000003,0.55,1.6170000000000002,135.96933
2.45,1.3475000000000001,0.55,1.6843750000000002,139.13232
2.5,1.375,0.55,1.7531250000000003,142.3096
2.5500000000000003,1.4025000000000003,0.55,1.8232500000000003,145.49884
2.6,1.4300000000000002,0.55,1.8947500000000002,148.69986
2.6500000000000004,1.4575000000000002,0.55,1.9676250000000002,151.91257
2.7,1.4850000000000003,0.55,2.041875,155.13708
2.75,1.5125000000000002,0.55,2.1175,158.37369
2.8000000000000003,1.5400000000000003,0.55,2.1945,161.62244
2.85,1.5675000000000001,0.55,2.272875,164.88332
2.9000000000000004,1.5950000000000004,0.55,2.352625,168.16435
2.95,1.6225000000000003,0.55,2.4337500000000003,171.46751
3.0,1.6500000000000001,0.55,2.5162500000000003,174.7928
3.0500000000000003,1.6775000000000002,0.55,2.6001250000000002,178.14056
3.1,1.7050000000000003,0.55,2.685375,181.5097
3.1500000000000004,1.7325000000000004,0.55,2.7720000000000002,184.8983
3.2,1.7600000000000002,0.55,2.8600000000000003,188.30565
3.25,1.7875,0.55,2.9493750000000003,191.73347
3.3000000000000003,1.8150000000000004,0.55,3.040125,195.19771
3.35,1.8425000000000002,0.55,3.13225,198.6973
3.4000000000000004,1.8700000000000003,0.55,3.22575,202.23251
3.45,1.8975000000000002,0.55,3.320625,205.80382
3.5,1.9250000000000003,0.55,3.416875,209.41061
3.5500000000000003,1.9525000000000003,0.55,3.5145,213.05211
3.6,1.9800000000000002,0.55,3.6135,216.72852
3.6500000000000004,2.0075000000000003,0.55,3.7138750000000003,220.43864
3.7,2.035,0.55,3.8156250000000003,224.18115
3.75,2.0625,0.55,3.91875,227.96446
3.8000000000000003,2.0900000000000003,0.55,4.02325,231.79546
3.85,2.1175,0.55,4.129125,235.6744
3.9000000000000004,2.1450000000000005,0.55,4.236375,239.59447
3.95,2.1725000000000003,0.55,4.345,243.55568
4.0,2.2,0.55,4.455,247.55792
4.05,2.2275,0.55,4.566375,251.59772
4.1000000000000005,2.2550000000000003,0.55,4.679125,255.67523
4.15,2.2825,0.55,4.79325,259.79068
4.2,2.3100000000000005,0.55,4.9087499999999995,263.9443
4.25,2.3375000000000004,0.55,5.025625,268.1363
4.3,2.365,0.55,5.1438749999999995,272.3668
4.3500000000000005,2.3925000000000005,0.55,5.2635,276.63596
4.4,2.4200000000000004,0.55,5.3845,280.94394
4.45,2.4475000000000002,0.55,5.506875,285.29092
4.5,2.475,0.55,5.630625,289.68
4.55,2.5025,0.55,5.75575,294.11328
4.6000000000000005,2.5300000000000007,0.55,5.88225,298.5892
4.65,2.5575000000000006,0.55,6.010125,303.1079
4.7,2.5850000000000004,0.55,6.139375,307.66953
4.75,2.6125000000000003,0.55,6.2700000000000005,312.2774
4.800000000000001,2.6400000000000006,0.55,6.402,316.94275
4.8500000000000005,2.6675000000000004,0.55,6.535375,321.6635
4.9,2.6950000000000003,0.55,6.6701250000000005,326.4397
4.95,2.7225,0.55,6.80625,331.27145
5.0,2.75,0.55,6.9437500000000005,336.15912
5.050000000000001,2.7775000000000007,0.55,7.082625,341.10303
5.1000000000000005,2.8050000000000006,0.55,7.222875,346.1032
5.15,2.8325000000000005,0.55,7.3645000000000005,351.1598
5.2,2.8600000000000003,0.55,7.5075,356.27283
5.25,2.8875,0.55,7.651875,361.44232
5.300000000000001,2.9150000000000005,0.55,7.797625,366.66818
5.3500000000000005,2.9425000000000003,0.55,7.94475,371.95032
5.4,2.9700000000000006,0.55,8.09325,377.2888
5.45,2.9975000000000005,0.55,8.243125,382.68365
5.5,3.0250000000000004,0.55,8.394374999999998,388.1314
5.550000000000001,3.0525000000000007,0.55,8.546999999999999,393.63007
5.6000000000000005,3.0800000000000005,0.55,8.700999999999999,399.17957
5.65,3.1075000000000004,0.55,8.856374999999998,404.7801
5.7,3.1350000000000002,0.55,9.013124999999999,410.43185
5.75,3.1625,0.55,9.171249999999999,416.13507
