station_pair,class_name,status,reason,target_time_s,sim_time_s,time_error_s,lambda,theta,direction,peak_speed_kmh,total_dist_m,dist_error_m,T_acc_new_s,T_mid_new_s,T_br_new_s,curve_csv,class2_compare_status,class2_compare_message,class2_real_sample_count,class2_compare_metrics_csv,class2_compare_speed_distance_png,class2_compare_speed_time_png,class2_compare_mean_rmse_speed_mps,class2_compare_mean_mae_speed_mps,class2_compare_mean_corr_speed_shape
雅渡-庙堰,class1,overspeed,最终生成曲线最高速度为 87.933038 km/h，超过 80.0 km/h，删除该等级,123.0,,,,,,87.933,,-0.0,,,,,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_time.png,0.6109131,0.5207389,0.9972668
雅渡-庙堰,class2,generated,最终生成曲线后验检查通过，峰值 76.595232 km/h,129.0,129.0,0.0,1.002871,0.007574,1.0,76.5952,1889.6036,-0.0,32.9443,53.6844,42.3713,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_time.png,0.6109131,0.5207389,0.9972668
雅渡-庙堰,class3,generated,最终生成曲线后验检查通过，峰值 73.326161 km/h,132.0,132.0,0.0,0.969292,1.0,-1.0,73.3262,1891.0784,1.4748,31.8413,59.2061,40.9526,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class3_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_time.png,0.6109131,0.5207389,0.9972668
雅渡-庙堰,class4,generated,最终生成曲线后验检查通过，峰值 65.703354 km/h,139.0,139.0,0.0,0.867429,0.81554,-1.0,65.7034,1889.6036,-0.0,28.495,73.8561,36.6489,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class4_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_time.png,0.6109131,0.5207389,0.9972668
雅渡-庙堰,class5,generated,最终生成曲线后验检查通过，峰值 60.143307 km/h,146.0,146.0,0.0,0.79426,0.861475,-1.0,60.1433,1889.6036,0.0,26.0915,86.3511,33.5575,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class5_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new_v2\雅渡-庙堰\class2_generated_vs_real_speed_time.png,0.6109131,0.5207389,0.9972668
