站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,114.5,114.5,30.0,144.5,1428.3,1428.0,44.91,75.17,44.89,2291,73.01,180,72.37,75.04,15917.85,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,149.85,149.85,30.0,179.85,2021.05,2017.0,48.55,65.13,48.54,2998,64.35,1716,64.96,65.04,18126.97,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,105.45,105.45,30.0,135.45,1332.35,1332.0,45.49,77.08,45.46,2110,76.26,625,76.8,76.96,15324.22,217.72,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,81.45,81.45,30.0,111.45,827.44,827.0,36.57,72.02,36.55,1630,70.76,230,71.8,71.94,12350.38,224.8,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,129.35,129.35,30.0,159.35,1861.06,1860.0,51.8,77.32,51.78,2588,76.71,1111,77.15,77.28,22873.46,227.9,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,94.55,94.55,30.0,124.55,1087.5,1086.0,41.41,77.02,41.38,1892,73.56,442,74.28,76.91,16641.92,229.5,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,88.75,88.75,30.0,118.75,984.69,984.0,39.94,77.27,39.92,1776,74.03,314,74.91,77.15,14394.53,231.1,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,127.7,127.7,30.0,157.7,1812.45,1811.0,51.09,77.13,51.07,2555,76.74,1076,77.05,77.08,19913.39,224.5,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,96.9,96.9,30.0,126.9,1169.47,1155.0,43.45,77.15,43.43,1939,76.36,482,76.97,77.12,16425.83,223.6,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,62,61,07/1571561,71561,5014,UP,工作日高峰,0.0,110.5,110.5,30.0,140.5,1452.52,1452.0,47.32,77.21,47.3,2211,76.66,717,77.13,77.17,21642.88,225.1,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
