t_arrival,v_peak_opt,E_wh
132.5,16.92946563956452,22458.9921875
133.0,15.950939240417613,21480.609375
133.5,15.25174935608494,20815.251953125
134.0,14.691066199948395,20296.326171875
134.5,14.216937087470372,19893.3359375
135.0,13.803330288543224,19484.974609375
135.5,13.435007664453618,19059.392578125
136.0,13.102146022077244,18708.408203125
136.5,12.79797919104681,18353.619140625
137.0,12.517615101424107,18087.390625
137.5,12.257382979139877,17845.68359375
138.0,12.014446428553791,17583.37890625
138.5,11.786560978485916,17358.953125
139.0,11.571915206218883,17165.208984375
139.5,11.369022731597779,16965.11328125
140.0,11.176646499019613,16798.4921875
140.5,10.993744288364732,16605.0078125
141.0,10.81942861006141,16434.994140625
141.5,10.652936603078896,16285.1201171875
142.0,10.493607048731759,16130.7197265625
142.5,10.340862548659542,15950.509765625
143.0,10.194195517700058,15805.830078125
