站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,118.8,118.8,30.0,148.8,1429.41,1428.0,43.32,64.33,43.3,2377,62.61,1107,63.09,64.03,14289.62,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,151.05,151.05,30.0,181.05,2020.09,2017.0,48.15,65.21,48.13,3022,64.06,1751,64.77,64.97,18102.87,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,105.4,105.4,30.0,135.4,1330.48,1332.0,45.44,77.13,45.42,2109,76.43,625,76.99,77.08,15701.21,215.34,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,82.2,82.2,30.0,112.2,827.82,827.0,36.25,74.09,36.23,1645,72.28,180,73.36,73.98,13051.67,215.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,130.2,130.2,30.0,160.2,1859.62,1860.0,51.42,77.34,51.4,2605,76.65,1104,77.11,77.27,21587.11,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,94.5,94.5,30.0,124.5,1086.84,1086.0,41.4,76.43,41.38,1891,73.25,440,73.62,76.29,15266.03,215.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,88.6,88.6,30.0,118.6,984.75,984.0,40.01,77.24,39.99,1773,75.94,281,76.96,77.13,13139.82,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,128.1,128.1,30.0,158.1,1811.76,1811.0,50.92,77.14,50.9,2563,76.69,1078,77.03,77.06,19374.62,215.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,97.15,97.15,30.0,127.15,1168.94,1155.0,43.32,77.16,43.29,1944,76.3,482,76.91,77.1,15792.91,215.54,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,61,60,07/1571560,71560,5014,UP,工作日低峰,0.0,111.65,111.65,30.0,141.65,1453.26,1452.0,46.86,77.18,46.84,2234,76.62,726,77.1,77.14,21046.59,215.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
