站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
雅渡-庙堰,class4,139.0,18167.52,69.0026,real,class4,class4,10,10,strong,real_only,UP015_20240702_210016_R766,14,770,traceability
雅渡-庙堰,class5,146.0,15949.62,62.5936,extrapolated_adjacent,class4,class4,0,10,generated,allow_extrapolated,UP015_20240702_210016_R766,14,770,traceability
庙堰-钟公庙,class3,96.0,12501.13,69.1047,real,class3,class3,84,84,strong,real_only,UP015_20240702_210016_R766,14,771,traceability
庙堰-钟公庙,class4,101.0,10870.51,58.1883,extrapolated_adjacent,class3,class3,0,84,generated,allow_extrapolated,UP015_20240702_210016_R766,14,771,traceability
钟公庙-鄞州区政府,class3,90.0,10331.92,68.6183,real,class3,class3,108,108,strong,real_only,UP015_20240702_210016_R766,14,772,traceability
钟公庙-鄞州区政府,class4,95.0,7975.63,59.8645,real,class4,class4,1,1,weak,real_only,UP015_20240702_210016_R766,14,772,traceability
钟公庙-鄞州区政府,class5,99.0,6122.09,53.292,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP015_20240702_210016_R766,14,772,traceability
鄞州区政府-钱湖南路,class2,128.0,18525.92,77.1065,real,class2,class2,45,45,strong,real_only,UP015_20240702_210016_R766,14,773,traceability
鄞州区政府-钱湖南路,class3,132.1,16079.05,71.1313,real,class3,class3,62,62,strong,real_only,UP015_20240702_210016_R766,14,773,traceability
鄞州区政府-钱湖南路,class4,139.0,15274.56,64.1845,extrapolated_adjacent,class3,class3,0,62,generated,allow_extrapolated,UP015_20240702_210016_R766,14,773,traceability
钱湖南路-南高教园区,class3,100.0,13621.4,70.3357,real,class3,class3,63,63,strong,real_only,UP015_20240702_210016_R766,14,774,traceability
钱湖南路-南高教园区,class4,105.0,11815.57,60.2913,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated,UP015_20240702_210016_R766,14,774,traceability
南高教园区-下应路,class2,110.0,20867.47,78.6937,real,class2,class2,44,44,strong,real_only,UP015_20240702_210016_R766,14,775,traceability
南高教园区-下应路,class3,114.0,18431.79,70.8315,real,class3,class3,63,63,strong,real_only,UP015_20240702_210016_R766,14,775,traceability
南高教园区-下应路,class4,120.0,16613.31,62.5044,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated,UP015_20240702_210016_R766,14,775,traceability
下应路-大洋江,class2,101.0,13296.34,73.0005,real,class2,class2,41,41,strong,real_only,UP015_20240702_210016_R766,14,776,traceability
下应路-大洋江,class3,106.0,11263.65,62.6717,real,class3,class3,65,65,strong,real_only,UP015_20240702_210016_R766,14,776,traceability
下应路-大洋江,class4,111.0,11668.42,58.9497,real,class4,class4,1,1,weak,real_only,UP015_20240702_210016_R766,14,776,traceability
下应路-大洋江,class5,117.0,10664.14,52.235,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP015_20240702_210016_R766,14,776,traceability
大洋江-泗港,class3,92.0,10720.8,60.955,real,class3,class3,99,99,strong,real_only,UP015_20240702_210016_R766,14,777,traceability
大洋江-泗港,class4,96.0,9521.99,53.4127,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated,UP015_20240702_210016_R766,14,777,traceability
泗港-曹隘,class2,128.1,20176.16,78.3111,real,class2,class2,6,6,strong,real_only,UP015_20240702_210016_R766,14,778,traceability
泗港-曹隘,class4,137.0,22925.0,75.5316,real,class4,class4,82,82,strong,real_only,UP015_20240702_210016_R766,14,778,traceability
泗港-曹隘,class5,143.0,21129.12,66.4822,extrapolated_adjacent,class4,class4,0,82,generated,allow_extrapolated,UP015_20240702_210016_R766,14,778,traceability
曹隘-柳隘,class2,106.0,21370.38,79.8019,real,class2,class2,68,68,strong,real_only,UP015_20240702_210016_R766,14,779,traceability
曹隘-柳隘,class3,108.0,19795.01,73.3086,real,class3,class3,38,38,strong,real_only,UP015_20240702_210016_R766,14,779,traceability
曹隘-柳隘,class4,113.0,15909.71,61.633,real,class4,class4,1,1,weak,real_only,UP015_20240702_210016_R766,14,779,traceability
曹隘-柳隘,class5,119.0,13477.62,54.6398,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP015_20240702_210016_R766,14,779,traceability
柳隘-海晏北路,class3,92.0,11439.01,64.8124,real,class3,class3,35,35,strong,real_only,UP015_20240702_210016_R766,14,780,traceability
柳隘-海晏北路,class4,96.0,10231.27,55.7057,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated,UP015_20240702_210016_R766,14,780,traceability
海晏北路-民安东路,class3,85.0,14704.07,67.8617,real,class3,class3,41,41,strong,real_only,UP015_20240702_210016_R766,14,781,traceability
