站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
三官堂-兴庄路,class1,94.0,11833.88,68.6792
三官堂-兴庄路,class2,99.0,10620.86,58.3296
三官堂-兴庄路,class3,104.0,11162.2,52.6337
三官堂-兴庄路,class4,109.0,10320.81,48.0063
三官堂-兴庄路,class5,114.0,8822.42,44.2991
下应路-大洋江,class2,101.0,12212.08,68.6728
下应路-大洋江,class3,106.0,11950.41,60.4503
下应路-大洋江,class4,111.0,10859.96,54.5157
下应路-大洋江,class5,117.0,9976.05,49.3193
会展中心-院士路,class3,115.0,15949.29,74.8857
会展中心-院士路,class4,121.0,14472.64,65.8252
会展中心-院士路,class5,127.0,13700.52,59.5864
兴庄路-兴海南路,class2,87.0,12447.66,67.675
兴庄路-兴海南路,class3,91.0,10823.1,58.8906
兴庄路-兴海南路,class4,96.0,7772.91,51.6862
兴庄路-兴海南路,class5,100.0,6209.99,47.4059
兴海南路-梅堰,class3,82.0,11155.9,61.2691
兴海南路-梅堰,class4,86.0,9825.99,52.3013
兴海南路-梅堰,class5,91.0,8929.85,45.8062
南高教园区-下应路,class2,110.0,21588.57,76.7456
南高教园区-下应路,class3,114.0,21364.27,69.4373
南高教园区-下应路,class4,120.0,19185.34,61.6293
南高教园区-下应路,class5,126.0,17071.73,55.9369
同德路-石碶,class2,104.0,12964.61,75.9784
同德路-石碶,class3,109.0,12412.04,66.1271
同德路-石碶,class4,114.0,11443.1,59.9521
同德路-石碶,class5,120.0,10328.1,53.9381
大洋江-泗港,class3,92.0,11917.72,56.8522
大洋江-泗港,class4,96.0,10155.22,51.0409
大洋江-泗港,class5,101.0,8550.13,45.9943
布政-张家潭,class2,112.0,13784.53,69.8275
布政-张家潭,class3,115.0,13866.1,66.1232
布政-张家潭,class4,121.0,12218.17,59.0785
布政-张家潭,class5,127.0,10894.27,54.0495
庙堰-钟公庙,class2,93.0,15012.99,74.73
庙堰-钟公庙,class3,96.0,12620.71,63.0213
庙堰-钟公庙,class4,101.0,11243.8,55.2728
庙堰-钟公庙,class5,106.0,9571.7,49.9078
张家潭-同德路,class1,140.9,17338.14,72.9951
张家潭-同德路,class2,147.9,17338.27,65.6212
张家潭-同德路,class3,150.9,17208.47,63.861
张家潭-同德路,class4,159.0,15259.86,58.6688
张家潭-同德路,class5,166.1,13258.42,54.9268
曹隘-柳隘,class2,106.0,22392.22,71.4073
曹隘-柳隘,class3,108.0,20993.97,67.2844
曹隘-柳隘,class4,113.0,17870.68,59.8838
曹隘-柳隘,class5,119.0,15499.82,53.755
柳隘-海晏北路,class2,87.0,13268.42,71.7578
柳隘-海晏北路,class3,92.0,11586.35,58.3838
柳隘-海晏北路,class4,96.0,10630.13,52.4862
柳隘-海晏北路,class5,101.0,9798.63,47.189
梅堰-永茂路,class3,313.0,27980.76,66.4603
梅堰-永茂路,class4,329.0,25696.68,57.1832
梅堰-永茂路,class5,345.0,23863.24,52.1206
民安东路-会展中心,class2,76.0,10364.06,59.0672
民安东路-会展中心,class3,79.0,7745.54,50.8119
民安东路-会展中心,class4,83.0,5587.72,44.6243
民安东路-会展中心,class5,88.0,4484.15,39.6449
永茂路-镇海大道,class2,141.1,17726.8,78.1366
永茂路-镇海大道,class3,148.1,16076.74,71.0747
永茂路-镇海大道,class4,155.9,14842.53,64.7735
永茂路-镇海大道,class5,164.1,13960.02,59.6441
泗港-曹隘,class4,137.0,24369.16,72.2896
泗港-曹隘,class5,143.0,22353.24,64.9742
海晏北路-民安东路,class2,83.0,16105.82,64.8924
海晏北路-民安东路,class3,85.0,13600.64,58.6664
海晏北路-民安东路,class4,89.0,11135.46,51.3616
海晏北路-民安东路,class5,94.0,9184.24,45.5309
盎孟港-三官堂,class2,132.1,16231.76,73.5649
盎孟港-三官堂,class3,138.9,16241.71,67.477
盎孟港-三官堂,class4,146.0,15708.06,61.7889
盎孟港-三官堂,class5,153.1,15283.59,56.8936
石碶-雅渡,class2,80.0,11366.82,66.3328
石碶-雅渡,class3,82.0,9878.37,58.8045
石碶-雅渡,class4,86.0,7739.82,50.9268
石碶-雅渡,class5,90.0,6321.79,45.9211
鄞州区政府-钱湖南路,class2,128.0,18585.96,74.2659
鄞州区政府-钱湖南路,class3,132.0,18649.94,70.4995
鄞州区政府-钱湖南路,class4,139.0,17323.09,63.715
鄞州区政府-钱湖南路,class5,146.0,16022.06,58.2133
钟公庙-鄞州区政府,class2,86.0,13584.74,78.2312
钟公庙-鄞州区政府,class3,90.0,9791.86,63.5301
钟公庙-鄞州区政府,class4,95.0,7482.99,54.3217
钟公庙-鄞州区政府,class5,99.0,6598.34,49.5549
钱湖南路-南高教园区,class2,96.0,17959.9,79.9909
钱湖南路-南高教园区,class3,100.0,15196.42,66.5979
钱湖南路-南高教园区,class4,105.0,13210.79,58.7413
钱湖南路-南高教园区,class5,111.0,10145.62,52.4207
镇海大道-骆驼桥,class2,116.0,20210.54,77.4056
镇海大道-骆驼桥,class3,122.0,17504.42,67.8354
镇海大道-骆驼桥,class4,128.0,15175.47,61.3333
镇海大道-骆驼桥,class5,134.0,13964.58,56.43
院士路-盎孟港,class2,88.0,19441.94,76.4121
院士路-盎孟港,class3,91.0,16026.79,63.7239
院士路-盎孟港,class4,96.0,14204.61,54.4365
院士路-盎孟港,class5,100.0,13033.87,49.6633
雅渡-庙堰,class2,129.0,21091.34,76.7037
雅渡-庙堰,class3,132.1,21212.62,73.1827
雅渡-庙堰,class4,139.0,18867.59,65.8147
雅渡-庙堰,class5,145.9,16559.05,60.0996
