站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
三官堂-兴庄路,class1,94.0,12100.48,70.1302
三官堂-兴庄路,class2,99.0,9874.73,58.7595
三官堂-兴庄路,class3,104.0,10642.49,52.7094
三官堂-兴庄路,class4,109.0,9910.85,48.055
三官堂-兴庄路,class5,114.0,8280.58,44.4079
下应路-大洋江,class2,101.0,13728.35,69.7604
下应路-大洋江,class3,106.0,11070.53,60.4562
下应路-大洋江,class4,111.0,10210.11,54.5641
下应路-大洋江,class5,117.0,9240.56,49.3166
会展中心-院士路,class3,115.0,15015.5,75.0606
会展中心-院士路,class4,121.0,12919.89,65.7831
会展中心-院士路,class5,127.0,11911.45,59.5524
兴庄路-兴海南路,class2,87.0,12767.86,68.8464
兴庄路-兴海南路,class3,91.0,10965.87,59.3539
兴庄路-兴海南路,class4,96.0,7794.6,51.8441
兴庄路-兴海南路,class5,100.0,6252.3,47.5989
兴海南路-梅堰,class3,82.0,11049.26,61.214
兴海南路-梅堰,class4,86.0,9768.22,52.4064
兴海南路-梅堰,class5,91.0,8847.31,45.9118
南高教园区-下应路,class2,110.0,20367.77,75.8389
南高教园区-下应路,class3,114.0,18780.4,69.3709
南高教园区-下应路,class4,120.0,17403.26,61.557
南高教园区-下应路,class5,126.0,15003.92,55.9227
同德路-石碶,class2,103.5,14855.12,77.8448
同德路-石碶,class3,109.0,12678.54,66.2902
同德路-石碶,class4,114.0,11886.49,59.9489
同德路-石碶,class5,120.0,10793.23,54.1025
大洋江-泗港,class2,87.0,12390.49,70.402
大洋江-泗港,class3,92.0,10215.54,57.6105
大洋江-泗港,class4,96.0,9288.05,51.9879
大洋江-泗港,class5,101.0,7819.97,46.7906
布政-张家潭,class2,112.0,13520.21,69.2319
布政-张家潭,class3,114.5,13973.53,66.2219
布政-张家潭,class4,121.0,12246.61,58.9987
布政-张家潭,class5,127.0,10896.65,53.9106
庙堰-钟公庙,class2,93.0,14060.9,71.7653
庙堰-钟公庙,class3,96.0,11479.1,64.257
庙堰-钟公庙,class4,101.0,9805.64,56.1415
庙堰-钟公庙,class5,106.0,7990.01,50.7043
张家潭-同德路,class1,141.0,16612.16,73.0308
张家潭-同德路,class2,148.0,17502.96,65.6973
张家潭-同德路,class3,151.0,17478.91,63.8696
张家潭-同德路,class4,159.0,13964.06,58.5158
张家潭-同德路,class5,165.9,11302.31,55.0135
曹隘-柳隘,class2,106.0,19959.35,72.0326
曹隘-柳隘,class3,108.0,18504.27,67.4303
曹隘-柳隘,class4,113.0,15721.75,60.0062
曹隘-柳隘,class5,119.0,13437.98,53.8315
柳隘-海晏北路,class2,86.5,14639.9,78.9027
柳隘-海晏北路,class3,92.0,10410.63,58.2907
柳隘-海晏北路,class4,96.0,9450.41,52.3028
柳隘-海晏北路,class5,101.0,8736.5,46.9315
梅堰-永茂路,class3,313.0,28236.28,66.5559
梅堰-永茂路,class4,329.0,25618.52,57.4622
梅堰-永茂路,class5,345.0,24004.22,52.2807
民安东路-会展中心,class2,76.0,9286.74,58.9598
民安东路-会展中心,class3,79.0,6677.37,50.8228
民安东路-会展中心,class4,83.0,4887.2,44.639
民安东路-会展中心,class5,88.0,3988.78,39.6639
永茂路-镇海大道,class2,141.0,17519.7,77.9489
永茂路-镇海大道,class3,148.0,16080.13,71.1078
永茂路-镇海大道,class4,156.0,14716.23,64.4531
永茂路-镇海大道,class5,164.1,13828.93,59.2947
泗港-曹隘,class4,137.1,22147.65,72.0647
泗港-曹隘,class5,143.0,20392.28,64.9559
