站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
三官堂-兴庄路,class1,94.0,11795.8,68.679
三官堂-兴庄路,class2,99.0,10534.46,58.3293
三官堂-兴庄路,class3,104.0,10943.23,52.6329
三官堂-兴庄路,class4,109.0,10002.62,48.0055
三官堂-兴庄路,class5,114.0,8177.63,44.2986
下应路-大洋江,class2,101.0,11122.21,68.6718
下应路-大洋江,class3,106.0,10988.63,60.45
下应路-大洋江,class4,111.0,10153.78,54.5155
下应路-大洋江,class5,117.0,9218.99,49.3196
会展中心-院士路,class3,115.0,15069.79,74.8857
会展中心-院士路,class4,121.0,13092.96,65.8258
会展中心-院士路,class5,127.0,12149.02,59.587
兴庄路-兴海南路,class2,87.0,12336.32,67.673
兴庄路-兴海南路,class3,91.0,10623.69,58.8901
兴庄路-兴海南路,class4,96.0,7707.58,51.6864
兴庄路-兴海南路,class5,100.0,6202.3,47.406
兴海南路-梅堰,class3,82.0,11200.8,61.2694
兴海南路-梅堰,class4,86.0,9902.26,52.3015
兴海南路-梅堰,class5,91.0,8981.8,45.8063
南高教园区-下应路,class2,110.0,19147.74,76.7455
南高教园区-下应路,class3,114.0,19132.72,69.4364
南高教园区-下应路,class4,120.0,17267.65,61.6292
南高教园区-下应路,class5,126.0,14788.07,55.9369
同德路-石碶,class2,104.0,12719.94,75.9769
同德路-石碶,class3,109.0,12397.88,66.1263
同德路-石碶,class4,114.0,11670.53,59.953
同德路-石碶,class5,120.0,10538.47,53.9379
大洋江-泗港,class3,92.0,10402.19,56.8516
大洋江-泗港,class4,96.0,8967.16,51.0406
大洋江-泗港,class5,101.0,7654.93,45.994
布政-张家潭,class2,112.0,13522.36,69.8276
布政-张家潭,class3,115.0,14010.81,66.1229
布政-张家潭,class4,121.0,12217.36,59.0782
布政-张家潭,class5,127.0,10891.71,54.0493
庙堰-钟公庙,class2,93.0,13848.45,74.7339
庙堰-钟公庙,class3,96.0,11548.66,63.0219
庙堰-钟公庙,class4,101.0,9894.12,55.2728
庙堰-钟公庙,class5,106.0,8167.13,49.9078
张家潭-同德路,class1,140.9,16573.53,72.9935
张家潭-同德路,class2,147.9,17421.68,65.6198
张家潭-同德路,class3,150.9,17367.48,63.8612
张家潭-同德路,class4,159.0,14414.23,58.669
张家潭-同德路,class5,166.1,11625.4,54.9272
曹隘-柳隘,class2,106.0,19662.82,71.4079
曹隘-柳隘,class3,108.0,18442.21,67.2849
曹隘-柳隘,class4,113.0,15592.8,59.884
曹隘-柳隘,class5,119.0,13352.58,53.7548
柳隘-海晏北路,class2,87.0,11703.57,71.7567
柳隘-海晏北路,class3,92.0,10249.24,58.3822
柳隘-海晏北路,class4,96.0,9368.32,52.4852
柳隘-海晏北路,class5,101.0,8659.6,47.1888
梅堰-永茂路,class3,313.0,27918.58,66.4583
梅堰-永茂路,class4,329.0,25694.04,57.1834
梅堰-永茂路,class5,345.0,23823.47,52.1212
民安东路-会展中心,class2,76.0,9097.78,59.0671
民安东路-会展中心,class3,79.0,6503.03,50.812
民安东路-会展中心,class4,83.0,4799.81,44.6243
民安东路-会展中心,class5,88.0,3921.2,39.6449
永茂路-镇海大道,class2,141.1,17765.36,78.1359
永茂路-镇海大道,class3,148.1,15884.09,71.0753
永茂路-镇海大道,class4,155.9,14549.48,64.7747
永茂路-镇海大道,class5,164.1,13554.18,59.645
泗港-曹隘,class4,137.0,22126.16,72.2894
泗港-曹隘,class5,143.0,20192.11,64.9739
海晏北路-民安东路,class2,83.0,14938.28,64.8932
海晏北路-民安东路,class3,85.0,13713.0,58.6668
海晏北路-民安东路,class4,89.0,12200.29,51.3617
海晏北路-民安东路,class5,94.0,10816.69,45.5309
盎孟港-三官堂,class2,132.1,15835.39,73.5643
盎孟港-三官堂,class3,138.9,15989.83,67.4761
盎孟港-三官堂,class4,146.0,15339.35,61.7884
盎孟港-三官堂,class5,153.1,14757.95,56.8933
石碶-雅渡,class2,80.0,11382.63,66.3389
石碶-雅渡,class3,82.0,10232.64,58.8045
石碶-雅渡,class4,86.0,7931.47,50.9268
石碶-雅渡,class5,90.0,6443.33,45.9211
鄞州区政府-钱湖南路,class2,128.0,17673.17,74.2661
鄞州区政府-钱湖南路,class3,132.0,17704.44,70.4999
鄞州区政府-钱湖南路,class4,139.0,16642.0,63.715
鄞州区政府-钱湖南路,class5,146.0,14283.6,58.2132
钟公庙-鄞州区政府,class2,86.0,12528.26,78.2356
钟公庙-鄞州区政府,class3,90.0,9229.9,63.5292
钟公庙-鄞州区政府,class4,95.0,6824.39,54.321
钟公庙-鄞州区政府,class5,99.0,5913.76,49.5544
钱湖南路-南高教园区,class2,96.0,16439.84,79.9896
钱湖南路-南高教园区,class3,100.0,13284.59,66.5979
钱湖南路-南高教园区,class4,105.0,11429.35,58.7409
钱湖南路-南高教园区,class5,111.0,8698.66,52.4203
镇海大道-骆驼桥,class2,116.0,20320.53,77.4058
镇海大道-骆驼桥,class3,122.0,17635.68,67.8354
镇海大道-骆驼桥,class4,128.0,15165.82,61.3329
镇海大道-骆驼桥,class5,134.0,13978.9,56.4294
院士路-盎孟港,class2,88.0,18677.19,76.406
院士路-盎孟港,class3,91.0,15294.61,63.7235
院士路-盎孟港,class4,96.0,13786.98,54.4361
院士路-盎孟港,class5,100.0,12989.27,49.6629
雅渡-庙堰,class2,129.0,20234.04,76.7021
雅渡-庙堰,class3,132.1,20329.15,73.1837
雅渡-庙堰,class4,139.0,18195.59,65.8149
雅渡-庙堰,class5,145.9,16650.11,60.1004
