站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
三官堂-兴庄路,class1,94.0,11940.44,70.0686
三官堂-兴庄路,class2,99.0,9622.7,58.7611
三官堂-兴庄路,class3,104.05,10589.69,52.5984
三官堂-兴庄路,class4,109.0,9957.5,47.9304
三官堂-兴庄路,class5,114.0,8281.16,44.2654
下应路-大洋江,class2,101.0,11046.61,68.7042
下应路-大洋江,class3,106.0,11024.05,60.2464
下应路-大洋江,class4,110.95,10062.22,54.3972
下应路-大洋江,class5,117.0,9306.67,49.1822
会展中心-院士路,class3,115.0,14892.54,74.9539
会展中心-院士路,class4,120.95,12823.69,65.7076
会展中心-院士路,class5,127.0,11850.42,59.481
兴庄路-兴海南路,class2,87.0,13042.42,68.8324
兴庄路-兴海南路,class3,91.0,10779.33,58.9205
兴庄路-兴海南路,class4,96.0,7621.25,51.4755
兴庄路-兴海南路,class5,99.95,6104.37,47.2649
兴海南路-梅堰,class3,82.0,10812.12,60.9608
兴海南路-梅堰,class4,86.0,9697.39,52.3067
兴海南路-梅堰,class5,91.0,8850.88,45.8327
南高教园区-下应路,class2,110.0,18763.48,76.8561
南高教园区-下应路,class3,114.0,18771.67,69.2472
南高教园区-下应路,class4,120.0,17445.51,61.7076
南高教园区-下应路,class5,126.0,14862.29,55.8571
同德路-石碶,class2,104.0,12707.27,75.9348
同德路-石碶,class3,109.0,12580.2,66.208
同德路-石碶,class4,114.0,11840.94,59.8688
同德路-石碶,class5,120.0,10754.3,54.0401
大洋江-泗港,class2,87.0,12227.52,70.3305
大洋江-泗港,class3,92.0,9929.86,57.4942
大洋江-泗港,class4,96.05,9085.15,51.8268
大洋江-泗港,class5,101.0,7751.91,46.7532
布政-张家潭,class2,112.05,13305.27,69.1391
布政-张家潭,class3,115.0,13777.9,65.8215
布政-张家潭,class4,121.0,12234.07,59.0388
布政-张家潭,class5,127.0,10811.35,53.9276
庙堰-钟公庙,class2,93.0,12575.66,71.8922
庙堰-钟公庙,class3,96.0,11130.55,64.2774
庙堰-钟公庙,class4,101.0,9621.04,56.4289
庙堰-钟公庙,class5,106.0,7978.25,50.9722
张家潭-同德路,class1,141.0,16351.86,73.0032
张家潭-同德路,class2,148.0,17333.49,65.6711
张家潭-同德路,class3,151.0,17341.35,63.8236
张家潭-同德路,class4,159.0,13712.12,58.4758
张家潭-同德路,class5,165.95,11165.45,54.9707
曹隘-柳隘,class2,106.0,19657.14,71.2014
曹隘-柳隘,class3,108.0,18496.6,67.0713
曹隘-柳隘,class4,113.0,15638.27,59.8119
曹隘-柳隘,class5,119.0,13417.67,53.6301
柳隘-海晏北路,class2,87.0,11866.44,71.888
柳隘-海晏北路,class3,92.0,10230.94,58.42
柳隘-海晏北路,class4,96.0,9354.47,52.4404
柳隘-海晏北路,class5,101.05,8693.97,47.0688
梅堰-永茂路,class3,313.0,27794.89,66.4841
梅堰-永茂路,class4,329.0,25338.29,57.2181
梅堰-永茂路,class5,345.0,23662.05,52.0189
民安东路-会展中心,class2,75.95,9310.19,58.9893
民安东路-会展中心,class3,78.95,6670.59,50.8523
民安东路-会展中心,class4,83.0,4881.61,44.6653
民安东路-会展中心,class5,87.95,3955.55,39.5312
永茂路-镇海大道,class2,141.05,17480.63,78.2069
永茂路-镇海大道,class3,148.05,15968.35,71.1275
永茂路-镇海大道,class4,156.0,14546.26,64.4758
永茂路-镇海大道,class5,164.0,13662.89,59.3199
泗港-曹隘,class4,137.0,21985.46,71.9754
泗港-曹隘,class5,143.0,20318.6,64.8803
海晏北路-民安东路,class2,82.95,14555.91,64.1916
海晏北路-民安东路,class3,84.95,13574.7,58.2282
海晏北路-民安东路,class4,89.0,12123.67,50.9155
海晏北路-民安东路,class5,94.0,10614.46,45.1893
盎孟港-三官堂,class2,132.0,16125.52,73.9966
盎孟港-三官堂,class3,139.0,16222.16,67.2727
盎孟港-三官堂,class4,146.0,15221.46,61.3689
盎孟港-三官堂,class5,153.0,14937.25,56.8877
石碶-雅渡,class2,80.0,10594.2,65.25
石碶-雅渡,class3,82.0,10102.59,58.4716
石碶-雅渡,class4,85.95,7883.57,50.8881
石碶-雅渡,class5,89.95,6406.24,45.7601
鄞州区政府-钱湖南路,class2,128.0,17182.17,74.19
鄞州区政府-钱湖南路,class3,131.95,17534.84,70.4219
鄞州区政府-钱湖南路,class4,139.0,16246.22,63.44
鄞州区政府-钱湖南路,class5,146.0,14143.51,58.0312
钟公庙-鄞州区政府,class2,86.05,12393.9,78.2253
钟公庙-鄞州区政府,class3,90.0,9167.04,63.8435
钟公庙-鄞州区政府,class4,95.05,6780.86,54.3949
钟公庙-鄞州区政府,class5,99.0,5919.75,49.7972
钱湖南路-南高教园区,class3,100.0,13066.39,66.21
钱湖南路-南高教园区,class4,105.0,11386.03,58.2369
钱湖南路-南高教园区,class5,111.0,8685.18,51.9808
镇海大道-骆驼桥,class2,115.95,19950.08,77.2781
镇海大道-骆驼桥,class3,122.0,17308.95,67.7466
镇海大道-骆驼桥,class4,128.05,15023.82,61.2661
镇海大道-骆驼桥,class5,133.95,13845.2,56.39
院士路-盎孟港,class2,87.95,17983.58,76.0437
院士路-盎孟港,class3,91.0,14872.15,63.2309
院士路-盎孟港,class4,96.0,13538.75,54.1936
院士路-盎孟港,class5,99.95,12718.24,49.3668
雅渡-庙堰,class2,128.95,19978.27,76.3772
雅渡-庙堰,class3,132.0,20103.92,73.0567
雅渡-庙堰,class4,139.0,18135.7,65.6588
雅渡-庙堰,class5,145.95,16648.77,60.1395
