站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
三官堂-兴庄路,class1,94.0,11805.8,68.679
三官堂-兴庄路,class2,99.0,10549.22,58.3293
三官堂-兴庄路,class3,104.0,11029.94,52.6329
三官堂-兴庄路,class4,109.0,10169.14,48.0055
三官堂-兴庄路,class5,114.0,8416.5,44.2986
下应路-大洋江,class2,101.0,11149.53,68.6718
下应路-大洋江,class3,106.0,11014.97,60.45
下应路-大洋江,class4,111.0,10172.81,54.5155
下应路-大洋江,class5,117.0,9236.76,49.3196
会展中心-院士路,class3,115.0,15046.38,74.8857
会展中心-院士路,class4,121.0,13016.95,65.8258
会展中心-院士路,class5,127.0,12101.39,59.587
兴庄路-兴海南路,class2,87.0,12422.8,67.673
兴庄路-兴海南路,class3,91.0,10778.57,58.8901
兴庄路-兴海南路,class4,96.0,7734.13,51.6864
兴庄路-兴海南路,class5,100.0,6211.38,47.406
兴海南路-梅堰,class3,82.0,11163.94,61.2694
兴海南路-梅堰,class4,86.0,9812.32,52.3015
兴海南路-梅堰,class5,91.0,8888.8,45.8063
南高教园区-下应路,class2,110.0,19186.24,76.7455
南高教园区-下应路,class3,114.0,19170.54,69.4364
南高教园区-下应路,class4,120.0,17308.13,61.6292
南高教园区-下应路,class5,126.0,14860.25,55.9369
同德路-石碶,class2,104.0,12719.94,75.9769
同德路-石碶,class3,109.0,12397.88,66.1263
同德路-石碶,class4,114.0,11670.53,59.953
同德路-石碶,class5,120.0,10538.47,53.9379
大洋江-泗港,class3,92.0,10413.32,56.8516
大洋江-泗港,class4,96.0,8977.58,51.0406
大洋江-泗港,class5,101.0,7663.29,45.994
布政-张家潭,class2,112.0,13522.36,69.8276
布政-张家潭,class3,115.0,14010.81,66.1229
布政-张家潭,class4,121.0,12217.36,59.0782
布政-张家潭,class5,127.0,10891.71,54.0493
庙堰-钟公庙,class2,93.0,13860.56,74.7339
庙堰-钟公庙,class3,96.0,11558.39,63.0219
庙堰-钟公庙,class4,101.0,9907.11,55.2728
庙堰-钟公庙,class5,106.0,8186.57,49.9078
张家潭-同德路,class1,140.9,16617.36,72.9935
张家潭-同德路,class2,147.9,17332.22,65.6198
张家潭-同德路,class3,150.9,17365.76,63.8612
张家潭-同德路,class4,159.0,14271.63,58.669
张家潭-同德路,class5,166.1,11574.06,54.9272
曹隘-柳隘,class2,106.0,19676.85,71.4079
曹隘-柳隘,class3,108.0,18457.62,67.2849
曹隘-柳隘,class4,113.0,15606.31,59.884
曹隘-柳隘,class5,119.0,13364.91,53.7548
柳隘-海晏北路,class2,87.0,11696.83,71.7567
柳隘-海晏北路,class3,92.0,10243.35,58.3822
柳隘-海晏北路,class4,96.0,9362.6,52.4852
柳隘-海晏北路,class5,101.0,8653.97,47.1888
梅堰-永茂路,class3,313.0,27995.9,66.4583
梅堰-永茂路,class4,329.0,25708.05,57.1834
梅堰-永茂路,class5,345.0,23837.89,52.1212
民安东路-会展中心,class2,76.0,9137.21,59.0671
民安东路-会展中心,class3,79.0,6542.36,50.812
民安东路-会展中心,class4,83.0,4821.07,44.6243
民安东路-会展中心,class5,88.0,3938.05,39.6449
永茂路-镇海大道,class2,141.1,17732.94,78.1359
永茂路-镇海大道,class3,148.1,16090.26,71.0753
永茂路-镇海大道,class4,155.9,14859.85,64.7747
永茂路-镇海大道,class5,164.1,13975.77,59.645
泗港-曹隘,class4,137.0,22170.02,72.2894
泗港-曹隘,class5,143.0,20247.76,64.9739
海晏北路-民安东路,class2,83.0,14942.61,64.8932
海晏北路-民安东路,class3,85.0,13717.46,58.6668
海晏北路-民安东路,class4,89.0,12201.2,51.3617
海晏北路-民安东路,class5,94.0,10807.51,45.5309
盎孟港-三官堂,class2,132.1,15893.21,73.5643
盎孟港-三官堂,class3,138.9,16010.88,67.4761
盎孟港-三官堂,class4,146.0,15378.84,61.7884
盎孟港-三官堂,class5,153.1,14806.7,56.8933
石碶-雅渡,class2,80.0,11382.63,66.3389
石碶-雅渡,class3,82.0,10232.64,58.8045
石碶-雅渡,class4,86.0,7931.47,50.9268
石碶-雅渡,class5,90.0,6443.33,45.9211
鄞州区政府-钱湖南路,class2,128.0,17691.37,74.2661
鄞州区政府-钱湖南路,class3,132.0,17729.21,70.4999
鄞州区政府-钱湖南路,class4,139.0,16664.37,63.715
鄞州区政府-钱湖南路,class5,146.0,14318.06,58.2132
钟公庙-鄞州区政府,class2,86.0,12528.26,78.2356
钟公庙-鄞州区政府,class3,90.0,9229.9,63.5292
钟公庙-鄞州区政府,class4,95.0,6824.39,54.321
钟公庙-鄞州区政府,class5,99.0,5913.76,49.5544
钱湖南路-南高教园区,class2,96.0,16468.1,79.9896
钱湖南路-南高教园区,class3,100.0,13306.27,66.5979
钱湖南路-南高教园区,class4,105.0,11444.19,58.7409
钱湖南路-南高教园区,class5,111.0,8708.2,52.4203
镇海大道-骆驼桥,class2,116.0,20217.52,77.4058
镇海大道-骆驼桥,class3,122.0,17513.43,67.8354
镇海大道-骆驼桥,class4,128.0,15174.55,61.3329
镇海大道-骆驼桥,class5,134.0,13964.71,56.4294
院士路-盎孟港,class2,88.0,18735.35,76.406
院士路-盎孟港,class3,91.0,15353.61,63.7235
院士路-盎孟港,class4,96.0,13818.34,54.4361
院士路-盎孟港,class5,100.0,13003.11,49.6629
雅渡-庙堰,class2,129.0,20234.04,76.7021
雅渡-庙堰,class3,132.1,20329.15,73.1837
雅渡-庙堰,class4,139.0,18195.59,65.8149
雅渡-庙堰,class5,145.9,16650.11,60.1004
