站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh)
三官堂-兴庄路,class1,94.0,12119.94,70.1303
三官堂-兴庄路,class2,99.0,10925.43,58.7595
三官堂-兴庄路,class3,104.0,10715.87,52.7094
三官堂-兴庄路,class4,109.0,9947.57,48.055
三官堂-兴庄路,class5,114.0,8487.51,44.4079
下应路-大洋江,class2,101.0,15141.77,69.7604
下应路-大洋江,class3,106.0,12038.64,60.4562
下应路-大洋江,class4,111.0,10776.04,54.5641
下应路-大洋江,class5,117.0,9949.47,49.3166
会展中心-院士路,class3,115.0,14793.15,75.0606
会展中心-院士路,class4,121.0,14575.72,65.7831
会展中心-院士路,class5,127.0,13753.79,59.5524
兴庄路-兴海南路,class2,87.0,12770.76,68.8464
兴庄路-兴海南路,class3,91.0,11008.63,59.3539
兴庄路-兴海南路,class4,96.0,7818.25,51.8441
兴庄路-兴海南路,class5,100.0,6243.12,47.5989
兴海南路-梅堰,class3,82.0,11049.26,61.214
兴海南路-梅堰,class4,86.0,9768.21,52.4064
兴海南路-梅堰,class5,91.0,8847.31,45.9118
南高教园区-下应路,class2,110.0,22342.01,75.8389
南高教园区-下应路,class3,114.0,21246.37,69.3709
南高教园区-下应路,class4,120.0,19163.45,61.557
南高教园区-下应路,class5,126.0,17124.99,55.9227
同德路-石碶,class2,103.5,16190.32,77.8448
同德路-石碶,class3,109.0,12705.97,66.2902
同德路-石碶,class4,114.0,11576.16,59.9489
同德路-石碶,class5,120.0,10612.8,54.1025
大洋江-泗港,class2,87.0,13965.25,70.4021
大洋江-泗港,class3,92.0,11394.94,57.6105
大洋江-泗港,class4,96.0,10221.86,51.9879
大洋江-泗港,class5,101.0,8632.52,46.7906
布政-张家潭,class2,112.0,14307.21,69.232
布政-张家潭,class3,114.5,13573.53,66.2219
布政-张家潭,class4,121.0,12246.61,58.9987
布政-张家潭,class5,127.0,10896.65,53.9106
庙堰-钟公庙,class2,93.0,15143.94,71.7653
庙堰-钟公庙,class3,96.0,12502.26,64.257
庙堰-钟公庙,class4,101.0,10963.92,56.1415
庙堰-钟公庙,class5,106.0,9305.82,50.7043
张家潭-同德路,class1,141.0,18621.37,73.0308
张家潭-同德路,class2,148.0,17803.64,65.6973
张家潭-同德路,class3,151.0,16584.91,63.8696
张家潭-同德路,class4,159.0,15095.76,58.5158
张家潭-同德路,class5,165.9,13193.51,55.0135
曹隘-柳隘,class2,106.0,22613.04,72.0326
曹隘-柳隘,class3,108.0,20953.26,67.4303
曹隘-柳隘,class4,113.0,17907.51,60.0062
曹隘-柳隘,class5,119.0,15521.15,53.8315
柳隘-海晏北路,class2,87.0,13268.42,71.7578
柳隘-海晏北路,class3,92.0,11586.35,58.3838
柳隘-海晏北路,class4,96.0,10630.13,52.4862
柳隘-海晏北路,class5,101.0,9798.63,47.189
梅堰-永茂路,class3,313.0,28226.74,66.5559
梅堰-永茂路,class4,329.0,25605.77,57.4622
梅堰-永茂路,class5,345.0,23992.68,52.2807
民安东路-会展中心,class2,76.0,10421.73,58.9598
民安东路-会展中心,class3,79.0,7763.31,50.8228
民安东路-会展中心,class4,83.0,5589.39,44.639
民安东路-会展中心,class5,88.0,4477.54,39.6639
永茂路-镇海大道,class2,141.0,17519.7,77.9489
