class,curve_source,parent_ref,supporting_refs,real_sample_count,sample_reliability,template_source,template_run_id,template_distance_to_median_rmse_mps,center_time_median_s,time_s,samples,peak_v_kmh
class3,real,class3,class3,108,strong,medoid_real_run,07/0170104|70104|5014|UP,0.110604,90.53,90.53,108,67.89
class4,real,class4,class4,1,weak,medoid_real_run,0,0.011425,92.8,92.8,1,64.47
