trip_no,section,global_trip_id,source_run_id,absolute_start,absolute_end,trainset,run_time_s,real_energy_wh,model_energy_wh,mass_t,run_class,quality_label,period
40,布政-张家潭,UP040_20240706_192930_R2142,2142,2024-07-06 19:29:30,2024-07-06 19:31:29,5014,118.95,14175.860345340277,14117.60504194661,215.24,4,0,
40,张家潭-同德路,UP040_20240706_192930_R2142,2143,2024-07-06 19:31:59,2024-07-06 19:34:29,5014,149.3,17501.39736230556,17019.25412692517,215.24,2,0,
40,同德路-石碶,UP040_20240706_192930_R2142,2144,2024-07-06 19:34:58,2024-07-06 19:36:50,5014,111.4,13742.625276395836,13037.379903120378,215.24,3,0,
40,石碶-雅渡,UP040_20240706_192930_R2142,2145,2024-07-06 19:37:24,2024-07-06 19:38:46,5014,81.4,12973.071526847223,12679.460487666036,215.34,3,0,
40,雅渡-庙堰,UP040_20240706_192930_R2142,2146,2024-07-06 19:39:15,2024-07-06 19:41:27,5014,131.35,21666.807938208334,21105.546996255413,215.54,3,0,
40,庙堰-钟公庙,UP040_20240706_192930_R2142,2147,2024-07-06 19:41:57,2024-07-06 19:43:33,5014,96.15,13820.856892555557,13741.05150712467,215.64,3,0,
40,钟公庙-鄞州区政府,UP040_20240706_192930_R2142,2148,2024-07-06 19:44:03,2024-07-06 19:45:32,5014,89.5,12963.915427347221,12478.193965159842,215.34,3,0,
40,鄞州区政府-钱湖南路,UP040_20240706_192930_R2142,2149,2024-07-06 19:46:12,2024-07-06 19:48:24,5014,131.95,16333.6285413125,15739.280410569365,215.84,3,0,
40,钱湖南路-南高教园区,UP040_20240706_192930_R2142,2150,2024-07-06 19:48:55,2024-07-06 19:50:34,5014,98.7,14333.682077749998,14364.615236435073,215.64,3,0,
40,南高教园区-下应路,UP040_20240706_192930_R2142,2151,2024-07-06 19:51:10,2024-07-06 19:53:04,5014,113.6,19853.07069575695,19913.547440804945,215.64,3,0,
40,下应路-大洋江,UP040_20240706_192930_R2142,2152,2024-07-06 19:53:34,2024-07-06 19:55:20,5014,106.1,12766.398199166668,12136.568543881833,215.94,3,0,
40,大洋江-泗港,UP040_20240706_192930_R2142,2153,2024-07-06 19:55:50,2024-07-06 19:57:21,5014,91.7,11751.151760555555,11363.125224821204,215.74,3,0,
40,泗港-曹隘,UP040_20240706_192930_R2142,2154,2024-07-06 19:57:50,2024-07-06 20:00:06,5014,135.4,22978.368320340276,24118.052586307014,215.54,4,0,
40,曹隘-柳隘,UP040_20240706_192930_R2142,2155,2024-07-06 20:00:36,2024-07-06 20:02:23,5014,107.2,20763.769145604165,16683.304311126165,215.54,3,1,
40,柳隘-海晏北路,UP040_20240706_192930_R2142,2156,2024-07-06 20:02:53,2024-07-06 20:04:22,5014,89.4,13995.436725916668,14156.567246560506,215.74,2,1,
40,海晏北路-民安东路,UP040_20240706_192930_R2142,2157,2024-07-06 20:05:07,2024-07-06 20:06:31,5014,84.0,15624.400175243056,14117.903526268412,217.52,2,1,
40,民安东路-会展中心,UP040_20240706_192930_R2142,2158,2024-07-06 20:07:00,2024-07-06 20:08:17,5014,77.4,12284.8073204375,11874.407909705209,217.72,2,1,
40,会展中心-院士路,UP040_20240706_192930_R2142,2159,2024-07-06 20:08:47,2024-07-06 20:10:42,5014,115.35,14921.40289345139,14254.872494372537,217.44,3,1,
40,院士路-盎孟港,UP040_20240706_192930_R2142,2160,2024-07-06 20:11:12,2024-07-06 20:12:42,5014,90.25,18816.829523888893,17567.300156161687,216.84,3,1,
40,盎孟港-三官堂,UP040_20240706_192930_R2142,2161,2024-07-06 20:13:12,2024-07-06 20:15:30,5014,138.1,16644.05859853472,16542.20909646259,216.34,3,1,
40,三官堂-兴庄路,UP040_20240706_192930_R2142,2162,2024-07-06 20:16:05,2024-07-06 20:17:49,5014,104.35,10893.413834722225,11483.016853496152,217.12,3,1,
40,兴庄路-兴海南路,UP040_20240706_192930_R2142,2163,2024-07-06 20:18:20,2024-07-06 20:19:50,5014,90.8,12906.87249896528,12615.250685552599,217.02,3,1,
40,兴海南路-梅堰,UP040_20240706_192930_R2142,2164,2024-07-06 20:20:20,2024-07-06 20:21:42,5014,82.35,12771.283659020832,12569.385646766357,216.62,3,1,
40,梅堰-永茂路,UP040_20240706_192930_R2142,2165,2024-07-06 20:22:17,2024-07-06 20:27:48,5014,330.3,25942.906765743053,25785.77750533817,216.22,4,1,
40,永茂路-镇海大道,UP040_20240706_192930_R2142,2166,2024-07-06 20:28:16,2024-07-06 20:30:38,5014,142.4,17871.157924229166,18155.12698171221,216.12,2,1,
40,镇海大道-骆驼桥,UP040_20240706_192930_R2142,2167,2024-07-06 20:31:05,2024-07-06 20:33:03,5014,117.65,20478.487564979165,19955.268435505197,215.54,2,1,
