time,velocity,acceleration,distance,cumulative_energy
0.0,0.0,0.55,0.0,1.9891795
0.05,0.027500000000000004,0.55,0.0013750000000000004,3.9843495
0.1,0.05500000000000001,0.55,0.004125000000000001,5.985903
0.15000000000000002,0.08250000000000002,0.55,0.008250000000000002,7.994279
0.2,0.11000000000000001,0.55,0.013750000000000004,10.009867
0.25,0.1375,0.55,0.020625000000000004,12.033052
0.30000000000000004,0.16500000000000004,0.55,0.028875000000000005,14.064304
0.35000000000000003,0.19250000000000003,0.55,0.038500000000000006,16.10416
0.4,0.22000000000000003,0.55,0.04950000000000001,18.153154
0.45,0.24750000000000003,0.55,0.06187500000000001,20.211744
0.5,0.275,0.55,0.07562500000000001,22.280355
0.55,0.30250000000000005,0.55,0.09075000000000001,24.35941
0.6000000000000001,0.33000000000000007,0.55,0.10725000000000001,26.4494
0.65,0.35750000000000004,0.55,0.12512500000000001,28.550846
0.7000000000000001,0.38500000000000006,0.55,0.14437500000000003,30.664158
0.75,0.41250000000000003,0.55,0.16500000000000004,32.78966
0.8,0.44000000000000006,0.55,0.18700000000000006,34.92765
0.8500000000000001,0.4675000000000001,0.55,0.21037500000000006,37.07842
0.9,0.49500000000000005,0.55,0.23512500000000006,39.242294
0.9500000000000001,0.5225000000000001,0.55,0.26125000000000004,41.419697
1.0,0.55,0.55,0.28875000000000006,43.611027
1.05,0.5775000000000001,0.55,0.31762500000000005,45.816624
1.1,0.6050000000000001,0.55,0.34787500000000005,48.036835
1.1500000000000001,0.6325000000000002,0.55,0.37950000000000006,50.272053
1.2000000000000002,0.6600000000000001,0.55,0.4125000000000001,52.521366
1.25,0.6875,0.55,0.4468750000000001,54.784443
1.3,0.7150000000000001,0.55,0.4826250000000001,57.06125
1.35,0.7425000000000002,0.55,0.51975,59.35427
1.4000000000000001,0.7700000000000001,0.55,0.55825,61.66484
1.4500000000000002,0.7975000000000002,0.55,0.598125,63.993294
1.5,0.8250000000000001,0.55,0.639375,66.339935
1.55,0.8525000000000001,0.55,0.682,68.704994
1.6,0.8800000000000001,0.55,0.7260000000000001,71.08785
1.6500000000000001,0.9075000000000002,0.55,0.7713750000000001,73.48876
1.7000000000000002,0.9350000000000002,0.55,0.8181250000000002,75.908005
1.75,0.9625000000000001,0.55,0.8662500000000002,78.34584
1.8,0.9900000000000001,0.55,0.9157500000000002,80.80257
1.85,1.0175,0.55,0.9666250000000002,83.27847
1.9000000000000001,1.0450000000000002,0.55,1.0188750000000002,85.77388
1.9500000000000002,1.0725000000000002,0.55,1.0725000000000002,88.2891
2.0,1.1,0.55,1.1275000000000002,90.82446
2.0500000000000003,1.1275000000000002,0.55,1.1838750000000002,93.37626
2.1,1.1550000000000002,0.55,1.2416250000000002,95.944534
2.15,1.1825,0.55,1.3007500000000003,98.52955
2.2,1.2100000000000002,0.55,1.3612500000000003,101.131584
2.25,1.2375,0.55,1.4231250000000002,103.75089
2.3000000000000003,1.2650000000000003,0.55,1.4863750000000002,106.38773
2.35,1.2925000000000002,0.55,1.5510000000000002,109.0424
2.4000000000000004,1.3200000000000003,0.55,1.6170000000000002,111.715195
2.45,1.3475000000000001,0.55,1.6843750000000002,114.4068
2.5,1.375,0.55,1.7531250000000003,117.11742
2.5500000000000003,1.4025000000000003,0.55,1.8232500000000003,119.847244
2.6,1.4300000000000002,0.55,1.8947500000000002,122.59649
2.6500000000000004,1.4575000000000002,0.55,1.9676250000000002,125.36541
2.7,1.4850000000000003,0.55,2.041875,128.15437
2.75,1.5125000000000002,0.55,2.1175,130.96355
2.8000000000000003,1.5400000000000003,0.55,2.1945,133.79314
2.85,1.5675000000000001,0.55,2.272875,136.64336
2.9000000000000004,1.5950000000000004,0.55,2.352625,139.51443
2.95,1.6225000000000003,0.55,2.4337500000000003,142.4047
3.0,1.6500000000000001,0.55,2.5162500000000003,145.31348
3.0500000000000003,1.6775000000000002,0.55,2.6001250000000002,148.24097
3.1,1.7050000000000003,0.55,2.685375,151.18846
3.1500000000000004,1.7325000000000004,0.55,2.7720000000000002,154.15811
3.2,1.7600000000000002,0.55,2.8600000000000003,157.15013
3.25,1.7875,0.55,2.9493750000000003,160.16472
3.3000000000000003,1.8150000000000004,0.55,3.040125,163.20209
3.35,1.8425000000000002,0.55,3.13225,166.26244
3.4000000000000004,1.8700000000000003,0.55,3.22575,169.34598
3.45,1.8975000000000002,0.55,3.320625,172.45316
3.5,1.9250000000000003,0.55,3.416875,175.60461
3.5500000000000003,1.9525000000000003,0.55,3.5145,178.80069
3.6,1.9800000000000002,0.55,3.6135,182.04218
3.6500000000000004,2.0075000000000003,0.55,3.7138750000000003,185.32947
3.7,2.035,0.55,3.8156250000000003,188.66502
3.75,2.0625,0.55,3.91875,192.05669
3.8000000000000003,2.0900000000000003,0.55,4.02325,195.50488
3.85,2.1175,0.55,4.129125,199.00995
3.9000000000000004,2.1450000000000005,0.55,4.236375,202.57216
3.95,2.1725000000000003,0.55,4.345,206.1894
4.0,2.2,0.55,4.455,209.85808
4.05,2.2275,0.55,4.566375,213.57693
4.1000000000000005,2.2550000000000003,0.55,4.679125,217.3463
4.15,2.2825,0.55,4.79325,221.16652
4.2,2.3100000000000005,0.55,4.9087499999999995,225.03784
4.25,2.3375000000000004,0.55,5.025625,228.96039
4.3,2.365,0.55,5.1438749999999995,232.93404
4.3500000000000005,2.3925000000000005,0.55,5.2635,236.95914
4.4,2.4200000000000004,0.55,5.3845,241.03601
4.45,2.4475000000000002,0.55,5.506875,245.16501
4.5,2.475,0.55,5.630625,249.34645
4.55,2.5025,0.55,5.75575,253.58066
4.6000000000000005,2.5300000000000007,0.55,5.88225,257.86792
4.65,2.5575000000000006,0.55,6.010125,262.2085
4.7,2.5850000000000004,0.55,6.139375,266.60266
4.75,2.6125000000000003,0.55,6.2700000000000005,271.05063
4.800000000000001,2.6400000000000006,0.55,6.402,275.5527
4.8500000000000005,2.6675000000000004,0.55,6.535375,280.1092
4.9,2.6950000000000003,0.55,6.6701250000000005,284.7203
4.95,2.7225,0.55,6.80625,289.3863
5.0,2.75,0.55,6.9437500000000005,294.10742
