站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,25.0,116.3,12947.63,13153.35,12973.21,历史原始实测能耗,205.72,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class4,159.0,25.0,150.2,16531.83,17411.96,17362.57,历史原始实测能耗,880.13,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,25.0,111.3,13125.73,11880.66,11693.28,历史原始实测能耗,-1245.07,real,class3,class3,60,60,strong,energy_first,215.34
石碶-雅渡,class2,80.0,25.0,83.45,11150.34,13178.29,13045.3,历史原始实测能耗,2027.95,real,class2,class2,38,38,strong,energy_first,216.44
雅渡-庙堰,class4,139.0,25.0,130.9,18243.53,21344.77,20347.35,历史原始实测能耗,3101.24,real,class4,class4,10,10,strong,energy_first,216.34
庙堰-钟公庙,class4,101.0,25.0,95.3,10958.09,13772.46,13585.14,历史原始实测能耗,2814.37,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,216.32
钟公庙-鄞州区政府,class4,95.0,25.0,90.3,8011.71,10293.17,10190.7,历史原始实测能耗,2281.46,real,class4,class4,1,1,weak,energy_first,216.14
鄞州区政府-钱湖南路,class4,139.0,25.0,132.4,15320.86,17612.23,17122.86,历史原始实测能耗,2291.37,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,216.14
钱湖南路-南高教园区,class4,105.0,25.0,100.1,11823.67,14152.22,13798.52,历史原始实测能耗,2328.55,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,216.02
南高教园区-下应路,class4,120.0,25.0,115.15,16642.59,18949.08,18654.06,历史原始实测能耗,2306.49,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,216.14
下应路-大洋江,class3,106.0,25.0,105.1,11307.4,11138.46,10911.88,历史原始实测能耗,-168.94,real,class3,class3,65,65,strong,energy_first,216.24
大洋江-泗港,class4,96.0,25.0,92.7,9542.7,10057.24,9863.8,历史原始实测能耗,514.54,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.84
泗港-曹隘,class4,137.0,25.0,134.4,22963.08,22707.03,22678.63,历史原始实测能耗,-256.05,real,class4,class4,82,82,strong,energy_first,215.94
曹隘-柳隘,class4,113.0,25.0,106.45,15939.04,20761.08,20654.69,历史原始实测能耗,4822.04,real,class4,class4,1,1,weak,energy_first,215.54
柳隘-海晏北路,class4,96.0,25.0,91.55,10249.61,12094.55,12200.92,历史原始实测能耗,1844.94,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,215.54
海晏北路-民安东路,class4,89.0,25.0,84.0,12319.28,15539.43,15367.98,历史原始实测能耗,3220.15,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,216.04
民安东路-会展中心,class4,83.0,25.0,77.3,6883.84,12235.74,12209.7,历史原始实测能耗,5351.9,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,216.44
会展中心-院士路,class4,121.0,25.0,114.95,13306.0,14957.21,14771.92,历史原始实测能耗,1651.21,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,216.24
院士路-盎孟港,class4,96.0,25.0,89.7,13998.16,18644.4,18500.75,历史原始实测能耗,4646.24,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.94
盎孟港-三官堂,class4,146.0,25.0,136.8,16395.08,18658.77,18192.39,历史原始实测能耗,2263.69,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,215.94
三官堂-兴庄路,class4,109.0,25.0,102.8,9968.64,10654.18,10477.27,历史原始实测能耗,685.54,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,215.94
兴庄路-兴海南路,class4,96.0,25.0,91.3,9478.56,11805.99,11628.71,历史原始实测能耗,2327.43,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.54
兴海南路-梅堰,class4,86.0,25.0,82.1,9599.35,12817.9,12777.41,历史原始实测能耗,3218.55,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.54
梅堰-永茂路,class4,329.0,25.0,329.25,26433.13,26139.14,26339.12,历史原始实测能耗,-293.99,real,class4,class4,26,26,strong,energy_first,215.54
永茂路-镇海大道,class4,156.0,25.0,142.45,15613.83,18061.41,17641.96,历史原始实测能耗,2447.58,real,class4,class4,1,1,weak,energy_first,215.44
镇海大道-骆驼桥,class4,128.0,0.0,116.95,17274.17,20539.68,20176.1,历史原始实测能耗,3265.51,real,class4,class4,1,1,weak,energy_first,215.34
--- 总计 ---,节能率: 12.86%,3149.0,625.0,3773.2,356027.85,408560.4,403166.22,历史原始实测能耗,52532.55,,,,,,,energy_first,
