trip_no,tsvp_file,sections,history_dwell_s,status,valid_for_stats,flag,opentrack_points,history_points,opentrack_duration_s,history_duration_s,duration_error_s,duration_error_pct,opentrack_distance_km,history_distance_km,distance_ratio,distance_error_km,distance_error_pct,opentrack_energy_kwh,history_energy_kwh,energy_error_kwh,energy_error_pct,plot,error
1,D:\OutPut\OT_priority_history_trip001.tsvP,5,30.0,ok,True,ok,559,11844,742.0,711.9499999999999,30.050000000000068,4.220802022613958,7.463,7.46413930555555,0.9998473627689797,-0.0011393055555499743,-0.015263723102032547,74.87822222222222,79.4962692789168,-4.618047056694579,-5.809136829417643,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip001_vs_history_trip001_vt_vs_et_es.jpg,
2,D:\OutPut\OT_priority_history_trip002.tsvP,5,30.0,ok,True,ok,535,11505,725.0,695.0,30.0,4.316546762589928,7.463,7.466773888888886,0.9994945757103343,-0.003773888888885857,-0.050542428966567264,80.04761111111111,85.50690038372211,-5.459289272611002,-6.384618373618749,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip002_vs_history_trip002_vt_vs_et_es.jpg,
3,D:\OutPut\OT_priority_history_trip003.tsvP,5,30.0,ok,True,ok,554,11895,745.0,714.5,30.5,4.268719384184744,7.463,7.466930138888888,0.9994736606857457,-0.003930138888887491,-0.05263393142542932,75.51597222222223,78.09392513596524,-2.5779529137430046,-3.3010927665047776,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip003_vs_history_trip003_vt_vs_et_es.jpg,
4,D:\OutPut\OT_priority_history_trip004.tsvP,5,30.0,ok,True,ok,553,11887,744.0,714.1000000000001,29.899999999999864,4.187088643047172,7.463,7.4676001388888995,0.9993839869833223,-0.00460013888889943,-0.06160130166776555,74.9961388888889,78.02536900925003,-3.0292301203611345,-3.8823656444380474,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip004_vs_history_trip004_vt_vs_et_es.jpg,
5,D:\OutPut\OT_priority_history_trip005.tsvP,5,30.0,ok,True,ok,555,11828,741.0,711.15,29.850000000000023,4.197426703227171,7.463,7.468578888888873,0.9992530186837589,-0.005578888888872591,-0.0746981316241085,74.25408333333334,76.50115950860406,-2.2470761752707205,-2.9373099567438485,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip005_vs_history_trip005_vt_vs_et_es.jpg,
6,D:\OutPut\OT_priority_history_trip006.tsvP,5,30.0,ok,True,ok,550,11717,736.0,705.6,30.399999999999977,4.3083900226757335,7.463,7.468972777777772,0.9992003213888337,-0.005972777777771832,-0.07996786111662466,76.94830555555555,79.80679999100686,-2.8584944354513055,-3.5817680144717228,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip006_vs_history_trip006_vt_vs_et_es.jpg,
7,D:\OutPut\OT_priority_history_trip007.tsvP,5,30.0,ok,True,ok,551,11841,742.0,711.8000000000001,30.199999999999932,4.242764821579086,7.463,7.468870833333331,0.9992139597183647,-0.005870833333331049,-0.07860402816353054,76.03152777777778,79.79480545510413,-3.763277677326343,-4.716193812194604,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip007_vs_history_trip007_vt_vs_et_es.jpg,
8,D:\OutPut\OT_priority_history_trip008.tsvP,5,30.0,ok,True,ok,553,11848,742.0,712.15,29.850000000000023,4.19153268272134,7.463,7.469025694444438,0.9991932422392227,-0.006025694444438123,-0.08067577607773013,74.3665,76.96651592100683,-2.600015921006829,-3.3781130533117905,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip008_vs_history_trip008_vt_vs_et_es.jpg,
9,D:\OutPut\OT_priority_history_trip009.tsvP,5,30.0,ok,True,ok,546,11700,735.0,704.75,30.25,4.292302234835048,7.463,7.466666805555554,0.9995089099793731,-0.003666805555553765,-0.0491090020626806,78.85813888888889,82.67986340647906,-3.8217245175901695,-4.622315954734254,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip009_vs_history_trip009_vt_vs_et_es.jpg,
10,D:\OutPut\OT_priority_history_trip010.tsvP,5,30.0,ok,True,ok,552,11848,742.0,712.1500000000001,29.84999999999991,4.1915326827213235,7.463,7.468851111111102,0.9992165982392665,-0.005851111111101481,-0.07834017607335919,74.68263888888889,79.46790405184026,-4.785265162951376,-6.021632532084583,output\opentrack_tsvp_compare\batch_history_trip001_070\plots\priority_history_trip010_vs_history_trip010_vt_vs_et_es.jpg,
