station_pair,selected_class,target_time(s),energy(Wh)
布政-张家潭,Class1,107.0,13838.234375
张家潭-同德路,Class1,141.0,17253.974609375
同德路-石碶,Class1,99.0,14658.271484375
石碶-雅渡,Class4,86.0,7435.8466796875
雅渡-庙堰,Class1,123.0,20962.748046875
庙堰-钟公庙,Class3,96.0,12025.1923828125
钟公庙-鄞州区政府,Class3,90.0,8816.310546875
鄞州区政府-钱湖南路,Class1,122.0,17843.21484375
钱湖南路-南高教园区,Class2,96.0,13950.9248046875
南高教园区-下应路,Class3,114.0,17585.890625
下应路-大洋江,Class3,106.0,11166.216796875
大洋江-泗港,Class1,83.0,13358.16015625
泗港-曹隘,Class3,130.0,22458.9921875
曹隘-柳隘,Class3,108.0,15165.84375
柳隘-海晏北路,Class1,83.0,13186.6474609375
海晏北路-民安东路,Class1,79.0,14211.923828125
民安东路-会展中心,Class4,83.0,6623.81982421875
会展中心-院士路,Class1,107.0,14841.09765625
院士路-盎孟港,Class3,91.0,15156.978515625
盎孟港-三官堂,Class1,126.0,17877.59375
三官堂-兴庄路,Class1,94.0,11731.87890625
兴庄路-兴海南路,Class5,100.0,5375.3681640625
兴海南路-梅堰,Class1,75.0,12616.51953125
梅堰-永茂路,Class4,329.0,30115.1953125
永茂路-镇海大道,Class2,141.0,15106.7421875
镇海大道-骆驼桥,Class1,111.0,19141.11328125
