Segment_ID,等级,时长
0,class1,128.6
1,class3,136.2
2,class3,137.7
3,class3,136.25
4,class1,128.65
5,class1,128.85
6,class3,138.0
7,class1,128.5
8,class1,128.45
9,class3,136.85
10,class3,136.9
11,class3,139.0
12,class1,128.5
13,class3,136.75
14,class1,125.45
15,class1,128.55
16,class1,128.75
17,class3,137.7
18,class3,136.45
19,class2,129.6
20,class1,128.5
21,class3,135.9
22,class3,138.0
23,class3,136.35
24,class1,128.45
25,class3,138.15
26,class2,130.5
27,class3,136.8
28,class2,134.4
29,class3,137.25
30,class2,134.35
31,class3,136.0
32,class3,136.15
33,class3,137.7
34,class1,126.75
