趟次,规划方式,代码节能量(kWh),代码节能率(%),新版Simu节能量(kWh),新版Simu节能率(%),OpenTrack节能量(kWh),OpenTrack节能率(%)
1,标准 DP,16.402025,3.860609,5.925604,1.423997,3.074361,0.768824
1,Energy First,20.778455,4.890706,8.902412,2.139362,5.413139,1.353696
1,停站放宽 5% DP,33.613135,7.911655,21.874034,5.256605,19.666028,4.918001
3,标准 DP,15.830453,3.873250,10.058021,2.474751,7.746472,1.979337
3,Energy First,37.184883,9.098055,32.637526,8.030383,25.342583,6.475400
3,停站放宽 5% DP,21.727543,5.316096,16.885356,4.154600,16.731111,4.275043
4,标准 DP,13.842822,3.390806,6.583105,1.628900,3.941611,1.016485
4,Energy First,35.629732,8.727521,29.708802,7.351040,20.988639,5.412669
4,停站放宽 5% DP,19.782822,4.845812,13.784297,3.410737,11.876861,3.062872
5,标准 DP,9.219650,2.274174,6.078757,1.504700,6.421111,1.644029
5,Energy First,33.690100,8.310200,30.013588,7.429389,24.021111,6.150243
5,停站放宽 5% DP,18.729350,4.619893,14.696487,3.637883,16.155472,4.136365
6,标准 DP,18.159025,4.068904,10.690436,2.420590,6.888888,1.640173
6,Energy First,21.180535,4.745936,12.689048,2.873127,18.552972,4.417270
6,停站放宽 5% DP,38.042675,8.524246,33.368116,7.555400,24.723861,5.886494
8,标准 DP,10.550045,2.586022,6.657097,1.648242,4.771389,1.223276
8,Energy First,21.849605,5.355764,17.754380,4.395836,12.344166,3.164763
8,停站放宽 5% DP,20.585535,5.045916,14.219602,3.520655,15.285028,3.918733
10,标准 DP,16.023576,3.906118,8.780569,2.164489,5.053750,1.295935
10,Energy First,32.590136,7.944602,26.103310,6.434700,17.373611,4.455120
10,停站放宽 5% DP,23.028386,5.613703,15.713125,3.873426,14.249584,3.654025
12,标准 DP,11.990265,2.932390,4.129292,1.018963,9.443611,2.411914
12,Energy First,23.373145,5.716236,19.148080,4.725070,22.700334,5.797702
12,停站放宽 5% DP,21.458455,5.247971,15.263405,3.766470,14.077806,3.595495
14,标准 DP,26.782656,6.005399,19.144545,4.336244,7.214639,1.725042
14,Energy First,30.343246,6.803780,24.646166,5.582363,12.054167,2.882188
14,停站放宽 5% DP,39.229086,8.796227,33.963756,7.692799,22.925584,5.481578
15,标准 DP,7.017290,1.740056,1.438453,0.360194,1.263361,0.327793
15,Energy First,23.242100,5.763273,17.717074,4.436417,11.891611,3.085412
15,停站放宽 5% DP,16.658760,4.130822,10.055491,2.517930,10.994834,2.852733
16,标准 DP,24.743004,5.637989,12.583325,2.900833,5.625611,1.360130
16,Energy First,25.891174,5.899613,13.244364,3.053222,3.792833,0.917010
16,停站放宽 5% DP,44.488184,10.137163,34.502361,7.953826,26.459389,6.397207
19,标准 DP,14.419254,3.563268,4.067639,1.015218,4.751500,1.222786
19,Energy First,28.112284,6.947072,22.064142,5.506857,17.488472,4.500611
19,停站放宽 5% DP,20.904844,5.165979,10.894727,2.719150,13.737555,3.535322
21,标准 DP,17.567851,3.897786,11.573855,2.600492,6.417194,1.508054
21,Energy First,22.057111,4.893820,17.944274,4.031840,9.982083,2.345810
21,停站放宽 5% DP,38.136651,8.461394,34.272064,7.700478,26.946416,6.332463
35,标准 DP,17.790672,4.303663,10.539995,2.569063,6.094694,1.546961
35,Energy First,28.123482,6.803227,23.052598,5.618939,14.506027,3.681933
35,停站放宽 5% DP,27.274612,6.597881,18.283057,4.456390,17.446611,4.428315
40,标准 DP,26.729131,6.382685,19.204921,4.619780,9.821222,2.490062
40,Energy First,41.409701,9.888278,36.448483,8.767751,22.086916,5.599892
40,停站放宽 5% DP,33.665651,8.039066,25.658641,6.172234,19.312222,4.896399
42,标准 DP,15.261160,3.358491,24.163460,5.166712,2.787917,0.644409
42,Energy First,36.405800,8.011748,47.078580,10.066499,20.217362,4.673110
42,停站放宽 5% DP,37.222570,8.191492,48.247428,10.316426,25.615667,5.920893
44,标准 DP,18.040020,4.445805,22.963630,5.489215,11.510084,2.924479
44,Energy First,29.531890,7.277876,38.480451,9.198349,21.715473,5.517461
44,停站放宽 5% DP,23.009200,5.670416,28.412308,6.791665,19.660584,4.995355
49,标准 DP,21.209837,4.874657,25.111919,5.627524,8.291472,1.992075
49,Energy First,26.017027,5.979494,31.878856,7.143979,12.438639,2.988456
49,停站放宽 5% DP,40.970467,9.416243,47.023592,10.537879,29.124139,6.997246
50,标准 DP,17.562700,3.964138,26.364944,5.810007,3.044611,0.726935
50,Energy First,22.516370,5.082248,32.027611,7.057882,8.059861,1.924381
50,停站放宽 5% DP,37.914470,8.557806,47.549557,10.478432,25.074639,5.986849
53,标准 DP,3.210884,0.802130,9.352202,2.269489,3.537778,0.898071
53,Energy First,5.914414,1.477516,11.194399,2.716533,3.812917,0.967916
53,停站放宽 5% DP,17.148724,4.284027,22.740346,5.518375,19.484945,4.946288
57,标准 DP,21.819798,4.942040,34.547447,7.610478,14.783833,3.499693
57,Energy First,24.790718,5.614934,36.565496,8.055035,15.158694,3.588432
57,停站放宽 5% DP,37.914988,8.587494,49.110025,10.818476,30.240166,7.158584
60,标准 DP,-14.008064,-3.778648,-0.719970,-0.183399,13.005889,3.339836
60,Energy First,0.486196,0.131150,15.567046,3.965424,22.336083,5.735775
60,停站放宽 5% DP,-12.993004,-3.504837,2.276126,0.579802,15.175167,3.896894
62,标准 DP,19.680013,4.368904,14.153219,3.166285,6.717806,1.579393
62,Energy First,33.104353,7.349067,29.597467,6.621392,17.740695,4.170934
62,停站放宽 5% DP,38.665953,8.583725,36.084045,8.072536,26.678278,6.272209
66,标准 DP,18.214061,4.068861,13.290637,2.999048,-0.278972,-0.066844
66,Energy First,23.391131,5.225372,19.097999,4.309486,4.680278,1.121441
66,停站放宽 5% DP,38.869881,8.683189,34.659475,7.820952,21.846111,5.234543
67,标准 DP,9.334954,2.070091,1.316577,0.294827,5.635000,1.314465
67,Energy First,31.082414,6.892742,24.943060,5.585612,17.128194,3.995459
67,停站放宽 5% DP,31.746844,7.040084,26.304719,5.890534,22.526555,5.254724
