趟次,场景,场景名称,区间数,最大载重(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),Simu机械能耗(kWh),OpenTrack机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),OT-代码(kWh),OT相对代码误差(%),OT-Simu(kWh),OT相对Simu误差(%),代码未逐点复现区间数,图文件
8,energy_first,Energy First,26,216.440000,3024.200000,780.000000,386.114660,386.136478,377.706056,0.021818,0.005651,-8.408604,-2.177748,-8.430422,-2.183275,1,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip008\02_energy_first.png
8,dwell5_dp,停站放宽 5% DP,26,216.440000,3024.200000,780.000000,387.378730,389.671256,374.765194,2.292526,0.591805,-12.613536,-3.256125,-14.906062,-3.825292,1,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip008\03_dwell5_dp.png
10,history,历史运行,26,216.940000,3021.100000,792.000000,410.217376,405.664784,389.969528,-4.552592,-1.109800,-20.247848,-4.935883,-15.695256,-3.869021,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip010\00_history.png
10,standard_dp,标准 DP,26,216.940000,3021.100000,792.000000,394.193800,396.884215,384.915778,2.690415,0.682511,-9.278022,-2.353670,-11.968437,-3.015599,1,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip010\01_standard_dp.png
10,energy_first,Energy First,26,216.940000,3021.100000,792.000000,377.627240,379.561474,372.595917,1.934234,0.512207,-5.031323,-1.332352,-6.965557,-1.835159,1,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip010\02_energy_first.png
10,dwell5_dp,停站放宽 5% DP,26,216.940000,3021.100000,792.000000,387.188990,389.951659,375.719944,2.762669,0.713519,-11.469046,-2.962131,-14.231714,-3.649610,1,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip010\03_dwell5_dp.png
12,history,历史运行,26,216.720000,3023.150000,784.000000,408.890515,405.244352,391.540167,-3.646163,-0.891721,-17.350349,-4.243275,-13.704185,-3.381709,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip012\00_history.png
12,standard_dp,标准 DP,26,216.720000,3023.150000,784.000000,396.900250,401.115060,382.096556,4.214810,1.061932,-14.803694,-3.729827,-19.018505,-4.741409,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip012\01_standard_dp.png
12,energy_first,Energy First,26,216.720000,3023.150000,784.000000,385.517370,386.096272,368.839833,0.578902,0.150162,-16.677537,-4.326014,-17.256438,-4.469465,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip012\02_energy_first.png
12,dwell5_dp,停站放宽 5% DP,26,216.720000,3023.150000,784.000000,387.432060,389.980947,377.462361,2.548887,0.657893,-9.969699,-2.573277,-12.518585,-3.210051,0,D:\energy_conservation\output\simu_ot_code_trip_compare_complete25\trip012\03_dwell5_dp.png
