Segment_ID,等级,时长
0,class2,98.9
1,class2,103.05
2,class3,106.25
3,class2,102.85
4,class2,99.05
5,class2,100.55
6,class3,104.0
7,class2,99.35
8,class2,99.15
9,class2,103.0
10,class3,103.85
11,class3,103.9
12,class2,99.25
13,class3,104.05
14,class1,94.55
15,class2,99.2
16,class2,99.65
17,class3,104.15
18,class3,103.9
19,class2,100.85
20,class2,99.85
21,class2,102.95
22,class2,103.25
23,class2,102.95
24,class2,99.9
25,class3,103.95
26,class2,99.55
27,class3,105.15
28,class2,103.25
29,class3,104.2
30,class3,105.4
31,class2,102.35
32,class2,103.45
33,class1,96.95
