t_local,v_ms,s_local
3.6500000000000004,2.0075000000000003,3.7138750000000003
3.7,2.035,3.8156250000000003
3.75,2.0625,3.91875
3.8000000000000003,2.0900000000000003,4.02325
3.85,2.1175,4.129125
3.9000000000000004,2.1450000000000005,4.236375
3.95,2.1725000000000003,4.345
4.0,2.2,4.455
4.05,2.2275,4.566375
4.1000000000000005,2.2550000000000003,4.679125
4.15,2.2825,4.79325
4.2,2.3100000000000005,4.9087499999999995
4.25,2.3375000000000004,5.025625
4.3,2.365,5.1438749999999995
4.3500000000000005,2.3925000000000005,5.2635
4.4,2.4200000000000004,5.3845
4.45,2.4475000000000002,5.506875
4.5,2.475,5.630625
4.55,2.5025,5.75575
4.6000000000000005,2.5300000000000007,5.88225
4.65,2.5575000000000006,6.010125
4.7,2.5850000000000004,6.139375
4.75,2.6125000000000003,6.2700000000000005
4.800000000000001,2.6400000000000006,6.402
4.8500000000000005,2.6675000000000004,6.535375
4.9,2.6950000000000003,6.6701250000000005
4.95,2.7225,6.80625
5.0,2.75,6.9437500000000005
5.050000000000001,2.7775000000000007,7.082625
5.1000000000000005,2.8050000000000006,7.222875
5.15,2.8325000000000005,7.3645000000000005
5.2,2.8600000000000003,7.5075
5.25,2.8875,7.651875
5.300000000000001,2.9150000000000005,7.797625
5.3500000000000005,2.9425000000000003,7.94475
5.4,2.9700000000000006,8.09325
5.45,2.9975000000000005,8.243125
5.5,3.0250000000000004,8.394374999999998
5.550000000000001,3.0525000000000007,8.546999999999999
5.6000000000000005,3.0800000000000005,8.700999999999999
5.65,3.1075000000000004,8.856374999999998
5.7,3.1350000000000002,9.013124999999999
5.75,3.1625,9.171249999999999
5.800000000000001,3.190000000000001,9.330749999999998
5.8500000000000005,3.2175000000000007,9.491624999999999
5.9,3.2450000000000006,9.653875
5.95,3.2725000000000004,9.817499999999999
6.0,3.3000000000000003,9.982499999999998
6.050000000000001,3.3275000000000006,10.148874999999999
6.1000000000000005,3.3550000000000004,10.316624999999998
6.15,3.3825000000000003,10.485749999999998
6.2,3.4100000000000006,10.656249999999998
6.25,3.4375000000000004,10.828124999999998
6.300000000000001,3.4650000000000007,11.001374999999998
6.3500000000000005,3.4925000000000006,11.175999999999998
6.4,3.5200000000000005,11.351999999999999
6.45,3.5475000000000003,11.529374999999998
6.5,3.575,11.708124999999999
6.550000000000001,3.6025000000000005,11.88825
6.6000000000000005,3.630000000000001,12.069749999999999
6.65,3.6575000000000006,12.252624999999998
6.7,3.6850000000000005,12.436874999999999
6.75,3.7125000000000004,12.622499999999999
6.800000000000001,3.7400000000000007,12.809499999999998
6.8500000000000005,3.7675000000000005,12.997874999999999
6.9,3.7950000000000004,13.187624999999999
6.95,3.8225000000000002,13.378749999999998
7.0,3.8500000000000005,13.57125
7.050000000000001,3.877500000000001,13.765125
7.1000000000000005,3.9050000000000007,13.960374999999999
7.15,3.9325000000000006,14.157
7.2,3.9600000000000004,14.355
7.25,3.9875000000000003,14.554375
7.300000000000001,4.015000000000001,14.755125
7.3500000000000005,4.0425,14.95725
7.4,4.07,15.16075
7.45,4.0975,15.365625
7.5,4.125,15.571875
7.550000000000001,4.152500000000001,15.7795
7.6000000000000005,4.180000000000001,15.9885
7.65,4.2075000000000005,16.198875
7.7,4.235,16.410625
7.75,4.2625,16.62375
7.800000000000001,4.290000000000001,16.838250000000002
7.8500000000000005,4.317500000000001,17.054125000000003
7.9,4.345000000000001,17.271375000000003
7.95,4.3725000000000005,17.490000000000002
8.0,4.4,17.71
8.05,4.427500000000001,17.931375
8.1,4.455,18.154125
8.15,4.482500000000001,18.37825
8.200000000000001,4.510000000000001,18.60375
8.25,4.5375000000000005,18.830625
8.3,4.565,19.058875
8.35,4.5925,19.2885
8.4,4.620000000000001,19.5195
8.450000000000001,4.647500000000001,19.751875000000002
8.5,4.675000000000001,19.985625000000002
8.55,4.702500000000001,20.220750000000002
8.6,4.73,20.457250000000002
8.65,4.7575,20.695125
8.700000000000001,4.785000000000001,20.934375
8.75,4.8125,21.175
8.8,4.840000000000001,21.417
8.85,4.867500000000001,21.660375000000002
8.9,4.8950000000000005,21.905125
8.950000000000001,4.922500000000001,22.15125
9.0,4.95,22.39875
9.05,4.977500000000001,22.647625
9.1,5.005,22.897875000000003
9.15,5.032500000000001,23.149500000000003
9.200000000000001,5.060000000000001,23.402500000000003
9.25,5.0875,23.656875000000003
9.3,5.115000000000001,23.912625000000002
9.35,5.1425,24.16975
9.4,5.170000000000001,24.428250000000002
9.450000000000001,5.197500000000001,24.688125000000003
9.5,5.2250000000000005,24.949375000000003
9.55,5.2525,25.212000000000003
9.600000000000001,5.280000000000001,25.476000000000003
9.65,5.307500000000001,25.741375
9.700000000000001,5.335000000000001,26.008125
9.75,5.362500000000001,26.27625
9.8,5.390000000000001,26.54575
9.850000000000001,5.417500000000001,26.816625000000002
9.9,5.445,27.088875
9.950000000000001,5.472500000000001,27.3625
10.0,5.5,27.6375
10.05,5.527500000000001,27.913875
