序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,3,165,2024-07-01 12:37:53,2024-07-01 12:39:50,traceability-cache,cache,2352,117.55,1.428844305555559,215.34,14.20810524457639,14.297971940496518,0.08986669592012914,0.6325030281883197
2,张家潭-同德路,3,166,2024-07-01 12:40:19,2024-07-01 12:42:50,traceability-cache,cache,3009,150.4,2.020853750000007,215.24,17.933609435388888,17.238617350317,-0.6949920850718881,-3.875360883573393
3,同德路-石碶,3,167,2024-07-01 12:43:19,2024-07-01 12:45:09,traceability-cache,cache,2208,110.35,1.3303066666666639,215.24,12.148842407770832,11.817085667064303,-0.3317567407065308,-2.7307683281357518
4,石碶-雅渡,3,168,2024-07-01 12:45:44,2024-07-01 12:47:08,traceability-cache,cache,1676,83.75,0.8273476388888887,215.34,13.098342913930555,13.280687062042333,0.18234414811177704,1.3921161578221282
5,雅渡-庙堰,3,169,2024-07-01 12:47:37,2024-07-01 12:49:49,traceability-cache,cache,2642,132.05,1.86024777777778,215.44,20.638427340916667,20.08635777716694,-0.5520695637497302,-2.6749594561172105
6,庙堰-钟公庙,3,170,2024-07-01 12:50:19,2024-07-01 12:51:54,traceability-cache,cache,1910,95.45,1.08696486111111,215.64,12.912192101145836,12.95328082913238,0.04108872798654375,0.31821651710786975
7,钟公庙-鄞州区政府,3,171,2024-07-01 12:52:24,2024-07-01 12:53:55,traceability-cache,cache,1828,91.35,0.9846523611111139,215.54,10.123191110152778,10.801601680630784,0.6784105704780049,6.701548583801915
8,鄞州区政府-钱湖南路,3,172,2024-07-01 12:54:35,2024-07-01 12:56:47,traceability-cache,cache,2640,131.95,1.811756805555548,215.74,16.37913986776389,15.14069209552571,-1.238447772238178,-7.5611282536001285
9,钱湖南路-南高教园区,3,173,2024-07-01 12:57:16,2024-07-01 12:58:57,traceability-cache,cache,2009,100.4,1.1688149999999988,215.74,13.66139782951389,13.625758520008095,-0.03563930950579561,-0.2608760095456773
10,南高教园区-下应路,3,174,2024-07-01 12:59:31,2024-07-01 13:01:26,traceability-cache,cache,2301,115.0,1.452944166666663,215.84,18.71901139676389,17.732569641625318,-0.9864417551385705,-5.269732114747816
