Segment_ID,等级,时长
0,class2,139.85
1,class2,139.9
2,class2,140.0
3,class2,139.9
4,class2,139.85
5,class2,139.75
6,class2,139.95
7,class2,139.35
8,class2,139.7
9,class2,139.65
10,class2,139.55
11,class2,139.7
12,class2,139.65
13,class2,139.6
14,class2,138.1
15,class2,139.7
16,class2,140.3
17,class2,140.45
18,class2,140.4
19,class2,139.7
20,class2,139.55
21,class2,139.85
22,class2,139.85
23,class2,139.65
24,class2,139.6
25,class2,139.9
26,class3,145.35
27,class2,140.6
28,class2,140.35
29,class2,140.25
30,class2,140.55
31,class2,140.45
32,class2,140.6
33,class2,140.7
34,class2,138.05
