序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,41,2252,2024-07-08 07:32:51,2024-07-08 07:34:48,traceability-cache,cache,2337,116.8,1.450641666666667,215.24,13.470934845312502,13.732166941369622,0.2612320960571196,1.9392276709587153
2,张家潭-同德路,41,2253,2024-07-08 07:35:18,2024-07-08 07:37:48,traceability-cache+mass,cache+mass,3017,150.8,2.053638750000007,215.94,17.564428082777777,17.121040448618707,-0.4433876341590694,-2.524349964994412
3,同德路-石碶,41,2254,2024-07-08 07:38:18,2024-07-08 07:40:04,traceability-cache+mass,cache+mass,2124,106.15,1.352435972222219,216.42,16.328435277284722,16.386642003141663,0.058206725856940464,0.35647460928429964
4,石碶-雅渡,41,2255,2024-07-08 07:40:38,2024-07-08 07:41:57,traceability-cache+mass,cache+mass,1586,79.25,0.8403262500000008,220.6,12.340667102354166,13.395493934975807,1.0548268326216421,8.547567354931877
5,雅渡-庙堰,41,2256,2024-07-08 07:42:26,2024-07-08 07:44:40,traceability-cache+mass,cache+mass,2675,133.7,1.889597500000006,222.3,20.805038229868057,20.954761769163717,0.14972353929566087,0.7196503925703693
6,庙堰-钟公庙,41,2257,2024-07-08 07:45:09,2024-07-08 07:46:43,traceability-cache+mass,cache+mass,1890,94.45,1.103863472222221,225.9,17.132492907180556,17.607763106866578,0.47527019968602324,2.7740866566291027
7,钟公庙-鄞州区政府,41,2258,2024-07-08 07:47:12,2024-07-08 07:48:42,traceability-cache+mass,cache+mass,1797,89.8,0.999149166666665,228.2,12.508217278368054,13.457279226465937,0.9490619480978821,7.587507691757223
8,鄞州区政府-钱湖南路,41,2259,2024-07-08 07:49:21,2024-07-08 07:51:30,traceability-cache+mass,cache+mass,2570,128.45,1.839784861111109,231.4,19.610142009736112,19.016685369589833,-0.5934566401462799,-3.026274056820386
9,钱湖南路-南高教园区,41,2260,2024-07-08 07:51:59,2024-07-08 07:53:36,traceability-cache+mass,cache+mass,1942,97.05,1.187124305555556,233.6,17.206484881736113,17.75594078073957,0.5494558990034603,3.1933070745128322
10,南高教园区-下应路,41,2261,2024-07-08 07:54:11,2024-07-08 07:56:01,traceability-cache+mass,cache+mass,2198,109.85,1.473710138888883,236.7,23.055009680868057,22.50989265008063,-0.5451170307874272,-2.364419006250891
11,下应路-大洋江,41,2262,2024-07-08 07:56:31,2024-07-08 07:58:12,traceability-cache+mass,cache+mass,2026,101.25,1.233169583333334,238.6,15.086756072909724,15.505789769860352,0.4190336969506279,2.7774936833707984
12,大洋江-泗港,41,2263,2024-07-08 07:58:42,2024-07-08 08:00:13,traceability-cache+mass,cache+mass,1837,91.8,0.9727413888888886,238.5,12.4338299616875,12.997432920772884,0.5636029590853832,4.532818615197564
