站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,class3,115.0,12947.95,67.1428,real,class3,class3,80,80,strong,real_only,UP035_20240706_081839_R1868,34,1868,traceability
布政-张家潭,class4,121.0,14024.15,63.0459,real,class4,class4,25,25,strong,real_only,UP035_20240706_081839_R1868,34,1868,traceability
布政-张家潭,class5,127.0,12627.54,56.8733,extrapolated_adjacent,class4,class4,0,25,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1868,traceability
张家潭-同德路,class1,141.0,18365.43,73.6007,extrapolated_adjacent,class2,class2,0,8,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1869,traceability
张家潭-同德路,class2,148.0,17497.75,66.7619,real,class2,class2,8,8,strong,real_only,UP035_20240706_081839_R1868,34,1869,traceability
张家潭-同德路,class3,151.0,17675.44,65.3684,real,class3,class3,54,54,strong,real_only,UP035_20240706_081839_R1868,34,1869,traceability
张家潭-同德路,class4,158.9,16286.72,59.5931,extrapolated_adjacent,class3,class3,0,54,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1869,traceability
同德路-石碶,class3,109.0,12898.41,69.8832,real,class3,class3,60,60,strong,real_only,UP035_20240706_081839_R1868,34,1870,traceability
同德路-石碶,class4,114.0,12864.72,64.3981,real,class4,class4,9,9,strong,real_only,UP035_20240706_081839_R1868,34,1870,traceability
同德路-石碶,class5,120.0,11317.5,56.6438,extrapolated_adjacent,class4,class4,0,9,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1870,traceability
石碶-雅渡,class2,80.0,11125.49,64.028,real,class2,class2,38,38,strong,real_only,UP035_20240706_081839_R1868,34,1871,traceability
石碶-雅渡,class3,82.0,11356.08,71.4001,real,class3,class3,63,63,strong,real_only,UP035_20240706_081839_R1868,34,1871,traceability
石碶-雅渡,class4,86.0,11709.18,61.45,real,class4,class4,8,8,strong,real_only,UP035_20240706_081839_R1868,34,1871,traceability
石碶-雅渡,class5,90.0,9102.26,50.8958,extrapolated_adjacent,class4,class4,0,8,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1871,traceability
雅渡-庙堰,class2,129.0,20879.37,79.0115,real,class2,class2,32,32,strong,real_only,UP035_20240706_081839_R1868,34,1872,traceability
雅渡-庙堰,class3,131.9,20051.8,75.5114,real,class3,class3,67,67,strong,real_only,UP035_20240706_081839_R1868,34,1872,traceability
雅渡-庙堰,class4,139.0,18706.69,69.0026,real,class4,class4,10,10,strong,real_only,UP035_20240706_081839_R1868,34,1872,traceability
雅渡-庙堰,class5,146.0,16437.22,62.5936,extrapolated_adjacent,class4,class4,0,10,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1872,traceability
庙堰-钟公庙,class3,96.0,12889.43,69.1047,real,class3,class3,84,84,strong,real_only,UP035_20240706_081839_R1868,34,1873,traceability
庙堰-钟公庙,class4,101.0,11150.7,58.1883,extrapolated_adjacent,class3,class3,0,84,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1873,traceability
钟公庙-鄞州区政府,class3,90.0,10230.86,68.6183,real,class3,class3,108,108,strong,real_only,UP035_20240706_081839_R1868,34,1874,traceability
钟公庙-鄞州区政府,class4,95.0,7821.31,59.8645,real,class4,class4,1,1,weak,real_only,UP035_20240706_081839_R1868,34,1874,traceability
钟公庙-鄞州区政府,class5,99.0,5936.71,53.292,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1874,traceability
鄞州区政府-钱湖南路,class2,128.0,18778.31,77.1065,real,class2,class2,45,45,strong,real_only,UP035_20240706_081839_R1868,34,1875,traceability
鄞州区政府-钱湖南路,class3,132.1,16370.99,71.1313,real,class3,class3,62,62,strong,real_only,UP035_20240706_081839_R1868,34,1875,traceability
鄞州区政府-钱湖南路,class4,139.0,15530.96,64.1845,extrapolated_adjacent,class3,class3,0,62,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1875,traceability
钱湖南路-南高教园区,class3,100.0,14070.2,70.3357,real,class3,class3,63,63,strong,real_only,UP035_20240706_081839_R1868,34,1876,traceability
钱湖南路-南高教园区,class4,105.0,12498.57,60.2913,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1876,traceability
南高教园区-下应路,class2,110.0,21449.5,78.6937,real,class2,class2,44,44,strong,real_only,UP035_20240706_081839_R1868,34,1877,traceability
南高教园区-下应路,class3,114.0,19162.31,70.8315,real,class3,class3,63,63,strong,real_only,UP035_20240706_081839_R1868,34,1877,traceability
南高教园区-下应路,class4,120.0,17228.14,62.5044,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1877,traceability
下应路-大洋江,class2,101.0,13177.06,73.0005,real,class2,class2,41,41,strong,real_only,UP035_20240706_081839_R1868,34,1878,traceability
下应路-大洋江,class3,106.0,11204.61,62.6717,real,class3,class3,65,65,strong,real_only,UP035_20240706_081839_R1868,34,1878,traceability
下应路-大洋江,class4,111.0,11531.74,58.9497,real,class4,class4,1,1,weak,real_only,UP035_20240706_081839_R1868,34,1878,traceability
下应路-大洋江,class5,117.0,10425.74,52.235,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1878,traceability
大洋江-泗港,class3,92.0,10651.45,60.955,real,class3,class3,99,99,strong,real_only,UP035_20240706_081839_R1868,34,1879,traceability
大洋江-泗港,class4,96.0,9471.15,53.4127,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1879,traceability
泗港-曹隘,class2,128.1,20003.66,78.3111,real,class2,class2,6,6,strong,real_only,UP035_20240706_081839_R1868,34,1880,traceability
泗港-曹隘,class4,137.0,24323.05,75.5316,real,class4,class4,82,82,strong,real_only,UP035_20240706_081839_R1868,34,1880,traceability
泗港-曹隘,class5,143.0,22248.24,66.4822,extrapolated_adjacent,class4,class4,0,82,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1880,traceability
曹隘-柳隘,class2,106.0,18209.41,79.8019,real,class2,class2,68,68,strong,real_only,UP035_20240706_081839_R1868,34,1881,traceability
曹隘-柳隘,class3,108.0,16205.67,73.3086,real,class3,class3,38,38,strong,real_only,UP035_20240706_081839_R1868,34,1881,traceability
曹隘-柳隘,class4,113.0,12259.01,61.633,real,class4,class4,1,1,weak,real_only,UP035_20240706_081839_R1868,34,1881,traceability
曹隘-柳隘,class5,119.0,10593.01,54.6398,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1881,traceability
柳隘-海晏北路,class3,92.0,11639.09,64.8124,real,class3,class3,35,35,strong,real_only,UP035_20240706_081839_R1868,34,1882,traceability
柳隘-海晏北路,class4,96.0,10311.91,55.7057,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1882,traceability
海晏北路-民安东路,class3,85.0,14041.75,67.8617,real,class3,class3,41,41,strong,real_only,UP035_20240706_081839_R1868,34,1883,traceability
海晏北路-民安东路,class4,89.0,12494.99,54.6404,extrapolated_adjacent,class3,class3,0,41,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1883,traceability
民安东路-会展中心,class2,76.0,15662.21,79.546,real,class2,class2,96,96,strong,real_only,UP035_20240706_081839_R1868,34,1884,traceability
民安东路-会展中心,class3,79.0,11713.42,60.2777,real,class3,class3,8,8,strong,real_only,UP035_20240706_081839_R1868,34,1884,traceability
民安东路-会展中心,class4,83.0,7588.71,48.5512,extrapolated_adjacent,class3,class3,0,8,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1884,traceability
会展中心-院士路,class3,115.0,14409.7,77.6321,real,class3,class3,104,104,strong,real_only,UP035_20240706_081839_R1868,34,1885,traceability
会展中心-院士路,class4,121.0,12811.29,67.4907,extrapolated_adjacent,class3,class3,0,104,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1885,traceability
院士路-盎孟港,class3,91.0,16570.41,72.2139,real,class3,class3,99,99,strong,real_only,UP035_20240706_081839_R1868,34,1886,traceability
院士路-盎孟港,class4,96.0,13374.19,56.5362,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1886,traceability
盎孟港-三官堂,class2,132.0,17811.68,76.317,real,class2,class2,52,52,strong,real_only,UP035_20240706_081839_R1868,34,1887,traceability
盎孟港-三官堂,class3,138.9,17262.58,68.9399,real,class3,class3,52,52,strong,real_only,UP035_20240706_081839_R1868,34,1887,traceability
盎孟港-三官堂,class4,146.0,16364.13,63.6563,extrapolated_adjacent,class3,class3,0,52,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1887,traceability
三官堂-兴庄路,class1,94.0,13538.82,76.0601,extrapolated_adjacent,class2,class2,0,46,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1888,traceability
三官堂-兴庄路,class2,99.0,12368.95,61.7533,real,class2,class2,46,46,strong,real_only,UP035_20240706_081839_R1868,34,1888,traceability
三官堂-兴庄路,class3,104.0,11340.87,53.7287,real,class3,class3,58,58,strong,real_only,UP035_20240706_081839_R1868,34,1888,traceability
三官堂-兴庄路,class4,109.0,10763.95,48.7312,extrapolated_adjacent,class3,class3,0,58,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1888,traceability
兴庄路-兴海南路,class2,87.0,16357.2,79.8469,real,class2,class2,30,30,strong,real_only,UP035_20240706_081839_R1868,34,1889,traceability
兴庄路-兴海南路,class4,96.0,9251.17,53.818,extrapolated_adjacent,class3,class3,0,72,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1889,traceability
兴海南路-梅堰,class3,82.0,11140.28,69.8334,real,class3,class3,73,73,strong,real_only,UP035_20240706_081839_R1868,34,1890,traceability
兴海南路-梅堰,class4,86.0,9442.0,53.8927,extrapolated_adjacent,class3,class3,0,73,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1890,traceability
梅堰-永茂路,class3,313.0,30276.09,67.3094,real,class3,class3,20,20,strong,real_only,UP035_20240706_081839_R1868,27,1891,traceability
梅堰-永茂路,class4,329.0,26065.87,57.9722,real,class4,class4,26,26,strong,real_only,UP035_20240706_081839_R1868,27,1891,traceability
梅堰-永茂路,class5,345.1,23426.66,52.7569,extrapolated_adjacent,class4,class4,0,26,generated,allow_extrapolated,UP035_20240706_081839_R1868,27,1891,traceability
永茂路-镇海大道,class2,141.0,18116.79,79.6934,real,class2,class2,59,59,strong,real_only,UP035_20240706_081839_R1868,34,1892,traceability
永茂路-镇海大道,class3,148.0,17272.79,72.5627,interpolated,class2,class2|class4,0,59,generated,allow_interpolated,UP035_20240706_081839_R1868,34,1892,traceability
永茂路-镇海大道,class4,156.0,16030.81,66.5855,real,class4,class4,1,1,weak,real_only,UP035_20240706_081839_R1868,34,1892,traceability
永茂路-镇海大道,class5,164.1,15007.58,61.0206,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1892,traceability
镇海大道-骆驼桥,class2,116.0,19925.7,79.6939,real,class2,class2,101,101,strong,real_only,UP035_20240706_081839_R1868,34,1893,traceability
镇海大道-骆驼桥,class3,122.0,19057.47,71.8166,real,class3,class3,1,1,weak,real_only,UP035_20240706_081839_R1868,34,1893,traceability
镇海大道-骆驼桥,class4,128.0,17093.79,65.0024,real,class4,class4,1,1,weak,real_only,UP035_20240706_081839_R1868,34,1893,traceability
镇海大道-骆驼桥,class5,134.0,15664.19,59.131,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP035_20240706_081839_R1868,34,1893,traceability
