station_pair,t_arrival(s),v_peak_opt(m/s),energy(Wh),dwell_time(s)
布政-张家潭,107.6,21.37999999999989,15242.339156636825,30.0
张家潭-同德路,141.1,19.699999999999903,17907.30275380875,30.0
同德路-石碶,104.85,20.059999999999903,12876.727652074136,30.0
石碶-雅渡,88.45,13.339999999999948,7183.5962241329225,30.0
雅渡-庙堰,126.1,22.279999999999887,21295.061071205477,30.0
庙堰-钟公庙,91.65,21.019999999999897,12761.46667443441,30.0
钟公庙-鄞州区政府,93.6,15.61999999999993,7099.365172464245,30.0
鄞州区政府-钱湖南路,127.55,20.659999999999897,17168.398336336646,30.0
钱湖南路-南高教园区,110.5,14.23999999999994,9021.364590579193,30.0
南高教园区-下应路,108.9,21.25999999999989,18709.793833495554,30.0
下应路-大洋江,98.8,20.1799999999999,12833.367994078224,30.0
大洋江-泗港,85.65,20.5399999999999,11911.043900847624,30.0
泗港-曹隘,123.25,22.279999999999887,19166.056129222357,30.0
曹隘-柳隘,101.0,22.15999999999989,16242.74228471225,30.0
柳隘-海晏北路,87.25,19.939999999999905,12033.625560103244,30.0
海晏北路-民安东路,82.6,18.019999999999914,13570.391828641224,30.0
民安东路-会展中心,81.2,13.099999999999948,5493.819853908003,30.0
会展中心-院士路,112.15,22.21999999999989,14985.033257680365,30.0
院士路-盎孟港,87.85,20.059999999999903,15739.820956063018,30.0
盎孟港-三官堂,126.9,22.279999999999887,17926.267297584975,30.0
三官堂-兴庄路,94.0,18.55999999999991,12119.386917191518,30.0
兴庄路-兴海南路,98.05,13.459999999999944,7096.816382516239,30.0
兴海南路-梅堰,81.25,17.599999999999916,10429.93774051726,30.0
梅堰-永茂路,284.5,14.53999999999994,25419.82036199639,30.0
永茂路-镇海大道,138.45,22.279999999999887,16272.889140072244,30.0
镇海大道-骆驼桥,121.3,18.85999999999991,16508.76526490451,30.0
总计,2904.5,,367015.20033520757,780.0
